"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Buenos días ! #aprendiz #alejandrosanz #danibarrios #danibarriosenmiami #danibarriosporelmundo #cubanosenmiami… https://t.co/ivQ7ae3yI8",FALSE,0,,2018-07-11 08:08:36,TRUE,,"1016957412732030976",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","danibarrios_voz",0,FALSE,FALSE,"-80.192","25.7752"
"Buenos días ! #aprendiz #alejandrosanz #danibarrios #danibarriosenmiami #danibarriosporelmundo #cubanosenmiami… https://t.co/EkwCbJQ9Jl",FALSE,0,,2018-07-11 08:06:10,TRUE,,"1016956802083315712",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","danibarrios_voz",0,FALSE,FALSE,"-80.192","25.7752"
"RT @RegioSanz: Pero es que eso es así @AlejandroSanz #IdiomaSanz #AlejandroSanz https://t.co/lujm3UgkRE",FALSE,0,,2018-07-11 07:36:58,FALSE,,"1016949453968699393",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cydie28",4,TRUE,FALSE,,
"RT @RegioSanz: #LasRedesDeSanz @AlejandroSanz vía Instgram #AlejandroSanz
Cuando lo urbano se apodera de ti <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @alfonsoperezmusic @JulioR…",FALSE,0,,2018-07-11 07:36:48,FALSE,,"1016949411065106433",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cydie28",3,TRUE,FALSE,,
"RT @esthergp13: Ya sabes que a mi con poquito que me toques las palmas....
\"A veces lo urbano se apodera de mi\" #RetoAceptado DESAFÍO #ElDi…",FALSE,0,,2018-07-11 07:16:37,FALSE,,"1016944331670917120",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lusabo14",1,TRUE,FALSE,,
"RT @AQueNoMeSuenAS: Nuestra soñadora Bárbara tiene nuevo #TatuajeSanzero! #AlejandroSanz #Vive  #ASMusicDesigner @AlejandroSanz https://t.c…",FALSE,0,,2018-07-11 07:09:31,FALSE,,"1016942545685897218",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kissifurmas",1,TRUE,FALSE,,
"RT @MeSumerjo_Chile: Hermoso<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #AlejandroSanz #ElDisco #LaEspera #LaEsperaDesespera https://t.co/qEC6BiPPn4",FALSE,0,,2018-07-11 07:01:57,FALSE,,"1016940643384479744",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","barbaraaraya17",3,TRUE,FALSE,,
"Nuestra soñadora Bárbara tiene nuevo #TatuajeSanzero! #AlejandroSanz #Vive  #ASMusicDesigner @AlejandroSanz https://t.co/i7KcnEDuSK",FALSE,2,,2018-07-11 06:51:51,FALSE,,"1016938098477993984",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AQueNoMeSuenAS",1,FALSE,FALSE,,
"Ya sabes que a mi con poquito que me toques las palmas....
\"A veces lo urbano se apodera de mi\" #RetoAceptado DESAF… https://t.co/t86VmylLYG",FALSE,1,,2018-07-11 06:39:18,TRUE,,"1016934940066418689",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","esthergp13",1,FALSE,FALSE,,
"RT @OpticaliAlcoraz: Disfruta el #verano como #AlejandroSanz con las  #gafasdesol de la #nuevacolección #Custo by Opticalia <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> (ref. CB 1811…",FALSE,0,,2018-07-11 05:49:35,FALSE,,"1016922429954768896",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cydie28",10,TRUE,FALSE,,
"RT @MeSumerjo_Chile: Hermoso<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #AlejandroSanz #ElDisco #LaEspera #LaEsperaDesespera https://t.co/qEC6BiPPn4",FALSE,0,,2018-07-11 05:20:30,FALSE,,"1016915110273667072",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Suiny2006",3,TRUE,FALSE,,
"RT @MeSumerjo_Chile: Hermoso<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #AlejandroSanz #ElDisco #LaEspera #LaEsperaDesespera https://t.co/qEC6BiPPn4",FALSE,0,,2018-07-11 05:04:06,FALSE,,"1016910984827555840",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SomyNavarrete",3,TRUE,FALSE,,
"RT @diane_gp13: Solo puedo pensar en lo maravilloso que será #ElDisco <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0099><U+2601><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>  !!!
@AlejandroSanz <U+2764>....
@AlejandroSanz <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>
@AlejandroSanz <U+2764>
#ale…",FALSE,0,,2018-07-11 04:36:36,FALSE,,"1016904064481857536",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Yucasanzeros",1,TRUE,FALSE,,
"Solo puedo pensar en lo maravilloso que será #ElDisco <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B8><U+0099><U+2601><ed><U+00A0><U+00BC><ed><U+00BC><U+009E>  !!!
@AlejandroSanz <U+2764>....
@AlejandroSanz <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>… https://t.co/rjwHNSibLD",FALSE,0,,2018-07-11 04:30:45,TRUE,,"1016902590636978176",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","diane_gp13",1,FALSE,FALSE,,
"Hermoso<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #AlejandroSanz #ElDisco #LaEspera #LaEsperaDesespera https://t.co/qEC6BiPPn4",FALSE,3,,2018-07-11 04:30:39,FALSE,,"1016902567228575749",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","MeSumerjo_Chile",3,FALSE,FALSE,,
