"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT RT ibobalcinn #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:55,FALSE,,"1016955481141719040",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT RT Duygusoydan6 #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:54,FALSE,,"1016955478931369984",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT RT Damsasar #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:54,FALSE,,"1016955476376989696",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"https://t.co/aUUFbOC5dT

#INeedSomebody aumentiamo le views! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#EmmaMuscat #SelenaGomez #ArianaGrande #Beyonce… https://t.co/FFJZrgvjHQ",FALSE,0,,2018-07-11 08:00:54,TRUE,,"1016955475898888192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","donatellab3",1,FALSE,FALSE,,
"RT RT balikcialii #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:53,FALSE,,"1016955471964590080",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT RT omerahnn #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:52,FALSE,,"1016955469473173505",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT RT archidecors #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:52,FALSE,,"1016955467103391744",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT RT KACUV1 #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:51,FALSE,,"1016955464020570114",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT mmmchrisp #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:49,FALSE,,"1016955454537289728",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","savagesvotin",0,FALSE,FALSE,,
"RT owebdevelopment #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:40,FALSE,,"1016955419594575873",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","letmevisuals",0,FALSE,FALSE,,
"RT DogMarChe #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:39,FALSE,,"1016955415786082304",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","letmevisuals",0,FALSE,FALSE,,
"RTT hubbcanta #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 08:00:34,FALSE,,"1016955394374152192",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","welcogrande",0,FALSE,FALSE,,
"RT mmmchrisp #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:28,FALSE,,"1016955115037773825",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","StarsArianavote",0,FALSE,FALSE,,
"RT DogMarChe #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:27,FALSE,,"1016955112948977664",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","ariananises",0,FALSE,FALSE,,
"RT thehouseoflh #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:27,FALSE,,"1016955110314913793",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","ariananises",0,FALSE,FALSE,,
"RT owebdevelopment #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:26,FALSE,,"1016955107785703425",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","ariananises",0,FALSE,FALSE,,
"RT HygieJAU #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:25,FALSE,,"1016955103553695744",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","ariananises",0,FALSE,FALSE,,
"RT HygieJAU #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:59:11,FALSE,,"1016955044682452992",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","arianapoppings",0,FALSE,FALSE,,
"RT HygieJAU #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:58:27,FALSE,,"1016954859881451520",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","inmybloodvibes",0,FALSE,FALSE,,
"RT kricoulbe #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:58:26,FALSE,,"1016954857255849984",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","inmybloodvibes",0,FALSE,FALSE,,
"RT GuardBEM #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:58:25,FALSE,,"1016954853841620992",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","inmybloodvibes",0,FALSE,FALSE,,
"RTT real_women #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:58:11,FALSE,,"1016954792252465152",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","AlarmsAriana",0,FALSE,FALSE,,
"RTT SuperabrasiveTR #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:58:10,FALSE,,"1016954788905398273",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","AlarmsAriana",0,FALSE,FALSE,,
"RT trevordevage #KCAMexico #KCAArgentina #ArianaGrande #NoTearsLeftToCry #VeranoMTV2018 Ariana Grande",FALSE,0,,2018-07-11 07:57:57,FALSE,,"1016954734375251968",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","regetwellsoon",0,FALSE,FALSE,,
"RT @barks_news: <U+30A2><U+30EA><U+30A2><U+30CA>·<U+30B0><U+30E9><U+30F3><U+30C7><U+306E><U+51FA><U+6F14><U+3082><U+6C7A><U+5B9A><U+3001>Amazon<U+300C><U+30D7><U+30E9><U+30A4><U+30E0><U+30C7><U+30FC><U+300D><U+97F3><U+697D><U+30A4><U+30D9><U+30F3><U+30C8><U+3092><U+751F><U+914D><U+4FE1>

https://t.co/4v19zAFdbR
#ArianaGrande #AlessiaCara #KelseaBallerini #JuliaMichael…",FALSE,0,,2018-07-11 07:57:22,FALSE,,"1016954587859726336",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>","matttttane",6,TRUE,FALSE,,
