"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I'm in love ith this picture omg @AvrilLavigne #AvrilLavigne #AL6 #Album #WeAreReadyForAL6 #abbeydawnbyavrillavigne… https://t.co/JLuQcInofI",FALSE,0,,2018-07-11 08:28:55,TRUE,,"1016962526565879808",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","aviesbeech",0,FALSE,FALSE,,
"Bella notizia per i fan di #AvrilLavigne
La cantante ha confermato un nuovo album in uscita nel 2018

https://t.co/MJF6xDQbZ5

@AvrilLavigne",FALSE,1,,2018-07-11 07:35:03,FALSE,,"1016948972202545158",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","wonderchannel_",0,FALSE,FALSE,,
"Hello everyone I have another ORIGINAL SONG. This one is for my Dream Girl @AvrilLavigne To be honest i been fan gi… https://t.co/Kl6NxFH03c",FALSE,2,,2018-07-11 07:34:17,TRUE,,"1016948779247984641",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","SkippyEvil",1,FALSE,FALSE,,
"RT @avrilitis: Avril Lavigne: \"Losing Grip\"
@AvrilLavigne #avrillavigne #avrilramonalavigne #losinggrip #letgo #lg #teenager #avrilsmicroph…",FALSE,0,,2018-07-11 07:19:52,FALSE,,"1016945150919102464",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","YuriRodriguesA7",4,TRUE,FALSE,,
"#TB 
Cuando fui #AvrilLavigne el #Halloween del 2014 LOOOOOL primera y última vez que me visto de mujer <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #kawaii https://t.co/Ems56v40Xq",FALSE,0,,2018-07-11 04:14:12,FALSE,,"1016898425990852608",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","toothdown",0,FALSE,FALSE,,
"pedazo de tema
este de su actual disco #Avrillavigne HOMONIMO
Y ESTE TEMA #Smile que significa #SONRISA… https://t.co/Ik0PJ4xCDK",FALSE,1,,2018-07-11 03:45:15,TRUE,,"1016891141831225353",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PauRuniano1994",0,FALSE,FALSE,,
"MI TEMA FAVORITO DE SU PRIMER DISCO 
2002
#LetGo
y este tema titulado #imWithyou ( yo con tigo )
#ImWithYouVideo… https://t.co/qicqWsdLUe",FALSE,1,,2018-07-11 03:27:52,TRUE,,"1016886766765334528",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PauRuniano1994",0,FALSE,FALSE,,
"mi tema favorito del disco #UnderMySkin
#DontTellMe
#DontTellMeVideo
#AvrilLavigneOnYoutube
#AvrilLavigne
#AL6… https://t.co/WY5RIfpgiO",FALSE,2,,2018-07-11 03:22:42,TRUE,,"1016885465327259648",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PauRuniano1994",0,FALSE,FALSE,,
"RT @staremo_27: Forever young <U+2763><U+2763><U+2763><U+2763><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><U+2605><U+2605><U+2605><U+2606><U+2606><U+2606><U+2606><U+261C>
I Love u so fuckin' much<ed><U+00A0><U+00BD><ed><U+00B1><U+0091> @AvrilLavigne #AvrilLavigne hey AVRIL IS BACK #AL6 @ReinaAvrilDawn…",FALSE,0,,2018-07-11 03:19:17,FALSE,,"1016884605977268225",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ReinaAvrilDawn",3,TRUE,FALSE,,
"*<U+FF61><U+5B9A><U+671F><U+FF61>*-#AshleyTisdale/#LucasGrabeel/#AvrilLavigne/#LadyGAGA/#HilaryDuff/#TaylorSwift/#EmilyOsment/#VanassaHudgens/… https://t.co/awNzKGmadY",FALSE,0,,2018-07-11 02:48:56,TRUE,,"1016876968829059072",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","tszms45",0,FALSE,FALSE,,
"RT @PauRuniano1994: PARA IR APRONTANDONOS PARA LO QUE SERA #AL6
RECORDEMOS SU ACTUAL DISCO
#AvrilLavigne
que cuenta con este tema junto a s…",FALSE,0,,2018-07-11 02:42:32,FALSE,,"1016875356148588544",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ConAbraham",1,TRUE,FALSE,,
