"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Pakistan Mother of All Islamic #Terrorists [ #ReligionofPeace ]  Group
#Balochistan #Pok #GilgitBaltistan #CPEC… https://t.co/7IoZSqvw88",FALSE,0,,2018-07-11 02:24:12,TRUE,,"1016870741935919105",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BMSURANA",0,FALSE,FALSE,,
"#bbcnews #HRW #bbcbreaking RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-11 00:16:05,FALSE,,"1016838500140937216",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"#rich MAMAG MODERN ART MUSEUM https://t.co/9eLSTrvtlY
  BBC Breaking News #BBCBreaking #vogue n24 #elle nbc #cnn design",FALSE,1,,2018-07-10 11:40:03,FALSE,,"1016648238621970433",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PaksGallery",0,FALSE,FALSE,,
"#bbcnews #HRW #bbcbreaking RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-10 08:07:03,FALSE,,"1016594637094518784",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/DA7PHROaxM",FALSE,0,,2018-07-10 00:45:51,TRUE,,"1016483604539424768",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @vestelshirley: #nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake #BBCBreaking #S…",FALSE,0,,2018-07-09 22:38:28,FALSE,,"1016451549902594049",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/vSVl1gl3Vu",FALSE,0,,2018-07-09 22:33:24,TRUE,,"1016450274699988994",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",1,FALSE,FALSE,,
"#bbcnews #HRW #bbcbreaking RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,1,,2018-07-09 15:46:04,FALSE,,"1016347764685451265",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"#bbcnews #HRW #bbcbreaking RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-08 23:34:04,FALSE,,"1016103152465137665",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"David Davis has resigned #bbcbreaking",FALSE,0,,2018-07-08 22:41:15,FALSE,,"1016089859914698752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MarkWallaceGlos",0,FALSE,FALSE,,
"#bbcnews #HRW #bbcbreaking RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-08 07:17:04,FALSE,,"1015857281093816321",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
