1,"pakistan mother of all islamic terroristsreligionofpeacegroup
balochistan pok gilgitbaltistan cpec…"
2,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
3,"rich mamag modern art museum 
bbc breaking news bbcbreaking vogue n elle nbc cnn design"
4,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
5,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
6,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
7,david davis has resigned bbcbreaking
8,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
9,"bring out the gimp 

bbcbreaking loyalist calls on loyalists to defend probs murder some di…"
10,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
11,"rich mamag modern art museum 
bbc breaking news bbcbreaking vogue n elle nbc cnn design"
12,"rtsouth korean antijapan hatekill demo

cnn abc msnbc foxtv pbs bbcnews bbcbreaking bbcworld un…"
13,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
14,"south korean antijapan hatekill demo

cnn abc msnbc foxtv pbs bbcnews bbcbreaking bbcworld un trump"
15,"let us kill all japanese rally
in south korea

cnn abc msnbc foxtv pbs bbcnews bbcbreakingbbcworldun"
16,"rtbbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
…"
17,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
18,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
19,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
20,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
21,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
22,stupid crazy women bbcbreaking
23,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
24,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
25,"bbcnews hrw bbcbreaking rtrt this pr its a humanity amp justice case thaarjustice 
"
26,rich mamag modern art museumbbc breaking news bbcbreaking vogue n elle nbc cnn
