"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@RealDonaldTrump “GERMANY CONTROLLED BY RUSSIA!” #FoxNews @rushlimbaugh @AndrewCMcCarthy @KatiePavlich… https://t.co/JKyM43BaDu",FALSE,0,"realDonaldTrump",2018-07-11 08:14:22,TRUE,,"1016958866439987200","25073877","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jaazee1",0,FALSE,FALSE,,
"#QAnon #MAGA #tcot #BBCWorld #foxandfriends #Reuters #bloomberg #cnbc #pjnet @RedEyeRadioNet @wmalDC https://t.co/FcR72gFgz7",FALSE,0,,2018-07-11 08:10:01,FALSE,,"1016957770082541568",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jaazee1",0,FALSE,FALSE,,
"#BBCworld #putin #HRW #RT #CNN RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-11 05:54:04,FALSE,,"1016923558092689408",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"#RT #BBCworld #putin #HRW #CNN RT=RT This PR, its a #humanity &amp; #Justice case #thaarjustice https://t.co/w8xXACQQMy
https://t.co/6mmyfuR6I6",FALSE,0,,2018-07-11 05:22:05,FALSE,,"1016915509927972864",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"@BBCWorld If you want to post something be more fair for everyone who help us !!! Help it’s help !!! #bbcworld !!!",FALSE,1,"BBCWorld",2018-07-11 04:32:40,FALSE,"1016885469882277889","1016903073845764096","742143","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SueSueZein06",0,FALSE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 02:26:17,FALSE,,"1016871268065267712",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","lomitalady",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 02:21:15,FALSE,,"1016870002375512064",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SusanSt08942260",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 02:18:25,FALSE,,"1016869286512480257",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ShellyKennisto1",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 02:02:12,FALSE,,"1016865206616674305",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","bustacaptx",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 01:50:04,FALSE,,"1016862154685911040",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","speakersamerica",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 01:47:12,FALSE,,"1016861432770695171",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CAWPBT",11,TRUE,FALSE,,
"RT @jaazee1: IMPORTANT!
Illegal border crossing would become felony offense under proposed GOP bill https://t.co/UPgJOhR2BA 
#MAGA,#FoxandF…",FALSE,0,,2018-07-11 01:46:04,FALSE,,"1016861145305702400",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","howardmclainjr",11,TRUE,FALSE,,
