"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 08:01:08,FALSE,,"1016955537538371584",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PrettyBoyFine1",87,TRUE,FALSE,,
"#WednesdayWisdom #steelpulse fans... #BarackObama song. #memories to enjoy #sidmills #spimusicinc https://t.co/3LsK0F3WmY",FALSE,0,,2018-07-11 07:57:55,FALSE,,"1016954724413792256",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sid_mills",0,FALSE,FALSE,,
"#AjitPai's FCC Doesn't Want to Hear Your Complaints Unless You Pay Them $225 #BarackObama... https://t.co/ZyDPr4q1tw https://t.co/rORcBcIZNF",FALSE,0,,2018-07-11 07:55:29,FALSE,,"1016954112594804736",,"<a href=\"http://leadstories.com\" rel=\"nofollow\">Lead Stories Feed Publisher</a>","obamolizer",0,FALSE,FALSE,,
"RT @billslater: #Yuge #DeepStateNews
Over 40,000 #SealedIndictments &amp; growing every day!
2006 only had 1,000 indictments total. 
What's hap…",FALSE,0,,2018-07-11 07:53:03,FALSE,,"1016953499681198080",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MOMAGAMAVEN",105,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 07:51:32,FALSE,,"1016953119631183872",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NyashaGeri",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 07:45:08,FALSE,,"1016951508464799744",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Nhlakah_tsa",87,TRUE,FALSE,,
"RT @billslater: #Yuge #DeepStateNews
Over 40,000 #SealedIndictments &amp; growing every day!
2006 only had 1,000 indictments total. 
What's hap…",FALSE,0,,2018-07-11 07:43:14,FALSE,,"1016951032771837952",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","victhebear1",105,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 07:20:09,FALSE,,"1016945220787884032",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sipho50670666",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 07:03:45,FALSE,,"1016941094850920449",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kclintonkatleho",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 07:02:12,FALSE,,"1016940705925779458",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Kabelo54515613",87,TRUE,FALSE,,
"RT @billslater: #Yuge #DeepStateNews
Over 40,000 #SealedIndictments &amp; growing every day!
2006 only had 1,000 indictments total. 
What's hap…",FALSE,0,,2018-07-11 07:01:45,FALSE,,"1016940592088133643",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TeresaM24212961",105,TRUE,FALSE,,
"RT @javierespinosa2: The Maps of Israeli Settlements That Shocked #BarackObama #Israel https://t.co/jdwgjpDTzB",FALSE,0,,2018-07-11 07:01:23,FALSE,,"1016940497682747392",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MistralS",12,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:53:58,FALSE,,"1016938632479936513",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BenLaFresh",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:50:34,FALSE,,"1016937775390756865",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","IamSamJnr",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:50:13,FALSE,,"1016937689814364160",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BridgLee",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:50:00,FALSE,,"1016937634902499328",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Nkosina35101585",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:49:53,FALSE,,"1016937603264892928",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","hendrivanwyk13",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:42:37,FALSE,,"1016935777694027776",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","hustlevill",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:34:02,FALSE,,"1016933617061257216",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","shirindasj",87,TRUE,FALSE,,
"RT @HighCrimes_: @POTUS
@FBI
@TheJusticeDept

Re: #ChuckSchumer, #BarackObama, #HillaryClinton, #BillClinton
&amp;
#UraniumOne #TREASON

&gt; #NoO…",FALSE,0,,2018-07-11 06:22:31,FALSE,,"1016930719778500609",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Eyeswid66270087",9,TRUE,FALSE,,
"#LETTER: @Potus44 @BarackObama #Obamas ’s significant visit in #Southafrica next week https://t.co/RSs5xT6baF via… https://t.co/5lgwU8rK1w",FALSE,1,,2018-07-11 06:19:57,TRUE,,"1016930073381924864",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","AktionDemograph",1,FALSE,FALSE,,
"RT @TC_Africa: Barack Obama will next week give a speech which he views as the most important since leaving the White House https://t.co/HV…",FALSE,0,,2018-07-11 06:18:53,FALSE,,"1016929805202264064",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","nkanyezi_kud",1,TRUE,FALSE,,
"Barack Obama will next week give a speech which he views as the most important since leaving the White House… https://t.co/34hZLHrSMJ",FALSE,5,,2018-07-11 06:18:32,TRUE,,"1016929713959337986",,"<a href=\"https://www.echobox.com\" rel=\"nofollow\">Echobox Social</a>","TC_Africa",1,FALSE,FALSE,,
"RT @OverTheMoonbat: @TruePundit \"#Russia\"--#ObamaGate | #BarackObama #HillaryClinton #DeepState #FBICorruption | #Rosenstein #AndrewWeissma…",FALSE,0,,2018-07-11 06:17:04,FALSE,,"1016929348106895360",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rebelfever2",2,TRUE,FALSE,,
"RT @WillemBod: RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djs…",FALSE,0,,2018-07-11 06:14:42,FALSE,,"1016928749382758400",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mjay4sheeza",12,TRUE,FALSE,,
"RT @SMaurizi: remember when #BarackObama  promised the truth abt the US #dronestrike which killed #GiovanniLoPorto? Today we revealed how t…",FALSE,0,,2018-07-11 06:12:30,FALSE,,"1016928195499749377",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","padesig",17,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:12:09,FALSE,,"1016928109940101120",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Skudz1012",87,TRUE,FALSE,,
"RT @billslater: #Yuge #DeepStateNews
Over 40,000 #SealedIndictments &amp; growing every day!
2006 only had 1,000 indictments total. 
What's hap…",FALSE,0,,2018-07-11 06:09:24,FALSE,,"1016927418194460672",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","EversFam",105,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:02:36,FALSE,,"1016925705345564673",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lukhwarenitc",87,TRUE,FALSE,,
"RT @ennockmartZA: Have finish this. 

Pen magic. 
My name is Ennock Mlangeni. YOU DON'T KNOW ME YET. 
#artbyennock #art #djsbu #YoTalent #T…",FALSE,0,,2018-07-11 06:02:21,FALSE,,"1016925644737974272",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Tuksmila",87,TRUE,FALSE,,
"RT @Baby___Del: #ArrestObama 
#ObamaGate 
#FISAGate 
#BarackObama 
#Corruption 
#Treason 
#Scandalous 
#DACA 
#TicTocNews 
#Narcissist 
#Th…",FALSE,0,,2018-07-11 05:59:31,FALSE,,"1016924928656924672",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RhondaVeggie",41,TRUE,FALSE,,
"@StephenKing \"Mega-cool\" brought us #BarackObama - twice. No, thanks.  

