"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Brunos_Claire: THE MORNING AFTER @BrunoMars @SpookyMagoo @84vanessab @SueMansfield12 @melly_hooligan @HooliganBarbara 
#Hooligans #glas…",FALSE,0,,2018-07-11 08:00:18,FALSE,,"1016955325264433152",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Bruno_Cardi_Fan",1,TRUE,FALSE,,
"THE MORNING AFTER @BrunoMars @SpookyMagoo @84vanessab @SueMansfield12 @melly_hooligan @HooliganBarbara 
#Hooligans… https://t.co/C4w035TfNL",FALSE,4,,2018-07-11 07:57:04,TRUE,,"1016954512446230528",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Brunos_Claire",1,FALSE,FALSE,,
"RT @DairoEmilina: I can't get enough of you, sweetheart <U+2764>
#BrunoMars
#teammartir #mechanicladyelites #amistakenloveaffair",FALSE,0,,2018-07-11 07:56:26,FALSE,,"1016954354086002688",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","sdcvhasz",3,TRUE,FALSE,,
"RT @brunomarsorg: Retweet this to bless someone’s timeline. <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #LOOH #brunomars https://t.co/rRgwIHIoVs",FALSE,0,,2018-07-11 07:55:45,FALSE,,"1016954180563603456",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KadieMars",103,TRUE,FALSE,,
"RT @ConnorGillies: #BrunoMars confirms the stage went on fire here at Glasgow Green due to a pyrotechnic which forced a temporary pause in…",FALSE,0,,2018-07-11 07:53:07,FALSE,,"1016953517062287361",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mowarner88",59,TRUE,FALSE,,
"Que tal se comezamos o día cun baile e un libro?https://t.co/5XtWqOerl9
#BoDía #FelizMércores #BrunoMars #FunkyTime #Libros #Bibliotecas",FALSE,0,,2018-07-11 07:50:26,FALSE,,"1016952844405047297",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","bpsanxelcasal",0,FALSE,FALSE,,
"RT @pgs_teens: <U+3010><U+4E88><U+7D04><U+5546><U+54C1><U+3011> #BRUNOMARS - <U+30BB><U+30EB><U+30D0><U+30EC><U+30A4> / <U+30DB><U+30EF><U+30A4><U+30C8> 
#<U+30D6><U+30EB><U+30FC><U+30CE>·<U+30DE><U+30FC><U+30BA> <U+304C><U+30E9><U+30E0><U+611B><U+597D><U+8005>3<U+4EBA><U+3068><U+30BF><U+30C3><U+30B0><U+3092><U+7D44><U+3093><U+3067><U+9020><U+308A><U+51FA><U+3057><U+305F><U+30D7><U+30EC><U+30DF><U+30A2><U+30E0><U+30E9><U+30E0><U+300C>SELVAREY(<U+30BB><U+30EB><U+30D0><U+30EC><U+30A4>)<U+300D><U+3002>

 1922<U+5E74><U+88FD><U+306E><U+9285><U+88FD><U+9023><U+7D9A><U+5F0F><U+84B8><U+7559><U+6A5F><U+3067><U+84B8><U+7559><U+3002> <U+30A2><U+30E1><U+30EA><U+30AB><U+30F3><U+30AA><U+30FC><U+30AF><U+3067> 3…",FALSE,0,,2018-07-11 07:49:43,FALSE,,"1016952661428482048",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","green_kuniko",1,TRUE,FALSE,,
"#BrunoMars forced to stop gig after stage blaze https://t.co/iJtFrUgUPN #mybeat",FALSE,0,,2018-07-11 07:47:43,FALSE,,"1016952159836033024",,"<a href=\"http://www.stashimi.com\" rel=\"nofollow\">My Beat</a>","beat2music",0,FALSE,FALSE,,
"RT @ConnorGillies: #BrunoMars confirms the stage went on fire here at Glasgow Green due to a pyrotechnic which forced a temporary pause in…",FALSE,0,,2018-07-11 07:45:42,FALSE,,"1016951653063446528",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MagicBrunz",59,TRUE,FALSE,,
"I can't get enough of you, sweetheart <U+2764>
#BrunoMars
#teammartir #mechanicladyelites #amistakenloveaffair",FALSE,0,,2018-07-11 07:45:33,FALSE,,"1016951613057978370",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DairoEmilina",3,FALSE,FALSE,,
"RT @ConnorGillies: Show stopped here at Glasgow Green as @BrunoMars is forced to leave the stage. Lights and music switched off. #brunomars…",FALSE,0,,2018-07-11 07:44:09,FALSE,,"1016951261260926982",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","VictoriaWallen1",64,TRUE,FALSE,,
"RT @ConnorGillies: Show stopped here at Glasgow Green as @BrunoMars is forced to leave the stage. Lights and music switched off. #brunomars…",FALSE,0,,2018-07-11 07:43:22,FALSE,,"1016951063885197312",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Yozies_Max",64,TRUE,FALSE,,
"RT @ConnorGillies: Show stopped here at Glasgow Green as @BrunoMars is forced to leave the stage. Lights and music switched off. #brunomars…",FALSE,0,,2018-07-11 07:42:06,FALSE,,"1016950746669989889",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","hisdejavuskye",64,TRUE,FALSE,,
"RT @jbsmcp_agtssgfh: <U+306F><U+3058><U+3081><U+307E><U+3057><U+305F><U+30FC>
<U+3044><U+308D><U+3093><U+306A><U+60C5><U+5831><U+77E5><U+308A><U+305F><U+3044>
<U+3088><U+308D><U+3057><U+304F><U+304A><U+9858><U+3044><U+3057><U+307E><U+3059><ed><U+00A0><U+00BD><ed><U+00B9><U+008F>
#<U+6D0B><U+697D><U+597D><U+304D><U+306A><U+4EBA><U+3068><U+7E4B><U+304C><U+308A><U+305F><U+3044>
#<U+6D77><U+5916><U+597D><U+304D><U+306A><U+4EBA><U+3068><U+7E4B><U+304C><U+308A><U+305F><U+3044>
#<U+6D0B><U+697D><U+597D><U+304D><U+306A><U+4EBA>RT 
#<U+6D0B><U+697D><U+57A2>
#JustinBieber 
#ShawnMendes
#CharliePuth
#B…",FALSE,0,,2018-07-11 07:38:35,FALSE,,"1016949861080449024",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ari_kazu01",63,TRUE,FALSE,,
"RT @shioshioshio1: <U+30BF><U+30A4><U+30C8><U+30EB><U+300C><U+8D70><U+3063><U+3066><U+308B><U+6210><U+5BAE><U+304F><U+3093><U+304C><U+597D><U+304D><U+3059><U+304E><U+308B><U+52D5><U+753B><U+300D>25<U+79D2>
#<U+6210><U+5BAE><U+5BDB><U+8CB4> #<U+6210><U+5BAE><U+304F><U+3093> #<U+5E73><U+5BAE><U+535A><U+91CD> #BrunoMars  #<U+99C6><U+3051><U+308B><U+738B><U+5B50> https://t.co/3QPRsQVLtN",FALSE,0,,2018-07-11 07:37:57,FALSE,,"1016949703395536897",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","IkSG5rsvJNMKa4s",1,TRUE,FALSE,,
"RT @brunomarsorg: Retweet this to bless someone’s timeline. <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #LOOH #brunomars https://t.co/rRgwIHIoVs",FALSE,0,,2018-07-11 07:37:28,FALSE,,"1016949578162229248",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","anaisurfananas",103,TRUE,FALSE,,
"#BrunoMars forced off stage following fire scare Glasgow, Scotland
#24KMagicTour
https://t.co/MjfEtrhY00 https://t.co/tm4vGpYc0d",FALSE,0,,2018-07-11 07:36:06,FALSE,,"1016949235739185152",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","fpjindia",0,FALSE,FALSE,,
"Such an awesome gig!!  #BrunoMars rocks!!! <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BC><ed><U+00BF><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00A7><ed><U+00AD><U+0080><ed><U+00B1><U+00A2><ed><U+00AD><U+0080><ed><U+00B1><U+00B3><ed><U+00AD><U+0080><ed><U+00B1><U+00A3><ed><U+00AD><U+0080><ed><U+00B1><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00BF><ed><U+00A0><U+00BC><ed><U+00BF><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00A7><ed><U+00AD><U+0080><ed><U+00B1><U+00A2><ed><U+00AD><U+0080><ed><U+00B1><U+00B3><ed><U+00AD><U+0080><ed><U+00B1><U+00A3><ed><U+00AD><U+0080><ed><U+00B1><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00BF><ed><U+00A0><U+00BC><ed><U+00BF><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00A7><ed><U+00AD><U+0080><ed><U+00B1><U+00A2><ed><U+00AD><U+0080><ed><U+00B1><U+00B3><ed><U+00AD><U+0080><ed><U+00B1><U+00A3><ed><U+00AD><U+0080><ed><U+00B1><U+00B4><ed><U+00AD><U+0080><ed><U+00B1><U+00BF> https://t.co/LPcuQNgymi",FALSE,0,,2018-07-11 07:35:59,FALSE,,"1016949206446231552",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MissMcN",0,FALSE,FALSE,,
"RT @ConnorGillies: Show stopped here at Glasgow Green as @BrunoMars is forced to leave the stage. Lights and music switched off. #brunomars…",FALSE,0,,2018-07-11 07:35:52,FALSE,,"1016949176020754433",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","IVYXMOON",64,TRUE,FALSE,,
"<U+30BF><U+30A4><U+30C8><U+30EB><U+300C><U+8D70><U+3063><U+3066><U+308B><U+6210><U+5BAE><U+304F><U+3093><U+304C><U+597D><U+304D><U+3059><U+304E><U+308B><U+52D5><U+753B><U+300D>25<U+79D2>
#<U+6210><U+5BAE><U+5BDB><U+8CB4> #<U+6210><U+5BAE><U+304F><U+3093> #<U+5E73><U+5BAE><U+535A><U+91CD> #BrunoMars  #<U+99C6><U+3051><U+308B><U+738B><U+5B50> https://t.co/3QPRsQVLtN",FALSE,6,,2018-07-11 07:34:27,FALSE,,"1016948819659853824",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","shioshioshio1",1,FALSE,FALSE,,
