"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 07:46:34,FALSE,,"1016951870122790912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",24,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B7><U+00A3><ed><U+00A0><U+00BC><ed><U+00BC><U+008A>

KOSH - Open Format Mix | 2nd Quarter | 2018

feat. #CalvinHarris #Drake #SwaeLee #JHus #Beyonce #JorjaSmith… https://t.co/ye1lPr2gIk",FALSE,0,,2018-07-11 07:16:45,TRUE,,"1016944365657378816",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","kamikazekosh",0,FALSE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 05:15:07,FALSE,,"1016913756419309568",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AmuraoVonn",24,TRUE,FALSE,,
"#nowplaying #calvinharris ~ Calvin Harris | My Way ||| BB RADIO - In #Wittstock #Brandenburg #GER auf 104.3",FALSE,0,,2018-07-11 05:05:08,FALSE,,"1016911243024756737",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 03:51:50,FALSE,,"1016892796609888262",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","00OPO",24,TRUE,FALSE,,
"#nowplaying #calvinharris #dualipa ~ Calvin Harris &amp; Dua Lipa | One Kiss ||| BB RADIO - In #Perleberg #Brandenburg #GER auf 104.3",FALSE,0,,2018-07-11 03:21:58,FALSE,,"1016885281289658368",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"#RolasQueMePonenDeBuenas 
.- How deep is your love --------&gt; #CalvinHarris <ed><U+00A0><U+00BD><ed><U+00B4><U+009B><ed><U+00A0><U+00BC><ed><U+00BE><U+00A7>
https://t.co/PS437B2CGA",FALSE,0,,2018-07-11 03:17:21,FALSE,,"1016884119043739648",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","V_Threex",0,FALSE,FALSE,,
"RT @fm1ph: It's CHOOSE-DAY and we got today's noise of your CHOICE!

Here's how you can vote for your fave song: Leave a comment, send us a…",FALSE,0,,2018-07-11 03:07:25,FALSE,,"1016881617925595136",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","NewHopeCarlo",2,TRUE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 02:14:52,FALSE,,"1016868395420127232",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","7eights2nine10",24,TRUE,FALSE,,
"My Love Hate Relationship with #beachparty #calvinharris #cirquedusoleil #dj #drinks #gambling #hooters #ti #travel  https://t.co/pHzTBsrsU5",FALSE,1,,2018-07-11 02:01:53,FALSE,,"1016865127981707265",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","TheyTravel",0,FALSE,FALSE,,
