"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:35:22,FALSE,,"1016964150965211137",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Nikolef56",6,TRUE,FALSE,,
"RT @PistogolBlasta: La #Juventus ha vinto gli ultimi 7 scudetti senza #Ronaldo. Spendere 31mln netti all'anno di stipendio per un sol gioca…",FALSE,0,,2018-07-11 08:34:41,FALSE,,"1016963977786650630",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MisterAlex90",25,TRUE,FALSE,,
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:34:32,FALSE,,"1016963939954053120",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cindychahine",6,TRUE,FALSE,,
"RT @OnefootballEN: When you leave @juventusfc after 17 years at the club and they sign @Cristiano <ed><U+00A0><U+00BE><ed><U+00B4><U+00A6><U+200D><U+2642>

#CR7Juve #CR7 #Juventus #Buffon #Gig…",FALSE,0,,2018-07-11 08:34:26,FALSE,,"1016963914339311617",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","NZP_",18,TRUE,FALSE,,
"https://t.co/VP97hperRq CALCIOMERCATO | Ultime ore in biancoceleste per Felipe Anderson, posticipate le sue visite… https://t.co/yanOsdc45j",FALSE,0,,2018-07-11 08:34:07,TRUE,,"1016963834521833472",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","uefachampionsIT",0,FALSE,FALSE,,
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:34:02,FALSE,,"1016963816935055360",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Borck80",6,TRUE,FALSE,,
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:32:34,FALSE,,"1016963446510964736",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AnthonyGuen",6,TRUE,FALSE,,
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:32:23,FALSE,,"1016963401434697728",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","touraine2point0",6,TRUE,FALSE,,
"RT @gould_nigel: In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie with @Lud…",FALSE,0,,2018-07-11 08:31:41,FALSE,,"1016963222816088065",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","DTCountryNews",3,TRUE,FALSE,,
"The #LaLigaSantander could become less interesting without #Ronaldo<ed><U+00A0><U+00BD><ed><U+00B8><U+00B6>..Will he bring one of these to the #SerieA sid… https://t.co/jIJ1gfHumc",FALSE,0,,2018-07-11 08:31:37,TRUE,,"1016963208911912960",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Henrikbliss",0,FALSE,FALSE,,
"RT @gould_nigel: In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie with @Lud…",FALSE,0,,2018-07-11 08:31:37,FALSE,,"1016963208719097857",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","downtownradio",3,TRUE,FALSE,,
"RT @MORG4NTIPS: Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je rédige le…",FALSE,0,,2018-07-11 08:31:34,FALSE,,"1016963194018058240",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SmartThom",6,TRUE,FALSE,,
"RT @gould_nigel: In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie with @Lud…",FALSE,0,,2018-07-11 08:31:34,FALSE,,"1016963193393082368",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","coolfm",3,TRUE,FALSE,,
"In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie wi… https://t.co/IOZobXX8Am",FALSE,0,,2018-07-11 08:31:28,TRUE,,"1016963167396691973",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","newsoncool",0,FALSE,FALSE,,
"Cristiano Ronaldo kutoka Real Madrid amejiunga na Juventus na kuwa mmoja kati ya wachezaji wanne wa bei ghari muda… https://t.co/h0kSgnf3k3",FALSE,1,,2018-07-11 08:31:02,TRUE,,"1016963060148338688",,"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>","MeridianBetTZ",0,FALSE,FALSE,,
"Salut mes Poulets !!!

J'ai 2 putains de Côtes!!! 2.75 pour #Wimbledon et 1.95 pour la #ChampionsLeague !!!

<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> Je r… https://t.co/JDRTQIE4m2",FALSE,10,,2018-07-11 08:30:55,TRUE,,"1016963031115423744",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MORG4NTIPS",6,FALSE,FALSE,,
"In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie wi… https://t.co/xy2q1DGrBP",FALSE,0,,2018-07-11 08:30:53,TRUE,,"1016963020612829187",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","newsondowntown",0,FALSE,FALSE,,
"In sport: we've been catching up with Stephen Baxter ahead of @CrusadersFC #ChampionsLeague qualifying round tie wi… https://t.co/8pNYYVOgSf",FALSE,1,,2018-07-11 08:30:16,TRUE,,"1016962868594561024",,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","gould_nigel",3,FALSE,FALSE,,
"RT @FORASTrust: We are very proud to have lead our club back in to the #ChampionsLeague , A huge thanks to every single person that worked…",FALSE,0,,2018-07-11 08:29:58,FALSE,,"1016962790320410624",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","davemacardle",30,TRUE,FALSE,,
"RT @HybridBetting: Tomorrow the #ChampionsLeague @HybridBetting tournament will be back! Join us and challenge our top performing beta test…",FALSE,0,,2018-07-11 08:25:22,FALSE,,"1016961635980840960",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rohitsharma1572",40,TRUE,FALSE,,
"RT @HybridBetting: Tonight on the @HybridBetting platform we host the #ChampionsLeague Tournament! #liverpoolfc vs #ASRoma place your bets…",FALSE,0,,2018-07-11 08:25:08,FALSE,,"1016961573540302849",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rohitsharma1572",39,TRUE,FALSE,,
