"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Fun fact: During last year's @TeamCoco taping at SDCC @bavarianerin stood during every commercial cut away so she c… https://t.co/VcuUtnTSw5",FALSE,6,,2018-07-11 03:49:06,TRUE,,"1016892109603782656",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","SignedInPodcast",0,FALSE,FALSE,,
"Watching #conanobrien just to see #djkahled is capable of... \"why am I yelling?\"",FALSE,0,,2018-07-11 03:25:49,FALSE,,"1016886250559688704",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NateVH",0,FALSE,FALSE,,
"Here’s a closer look at this year’s #SDCC #ConanCon figures. Peep that tiny Ant-Man Conan. <ed><U+00A0><U+00BD><ed><U+00B1><U+0080>
.
@TeamCoco… https://t.co/1AhGRn85EI",FALSE,4,,2018-07-11 02:25:48,TRUE,,"1016871147776995329",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","funkofinderz",1,FALSE,FALSE,,
"The Conan’s are revealed!!!!! #funko #conan #conanobrien #teamcoco #displaygeek https://t.co/wK4bCPoF9z",FALSE,0,,2018-07-11 02:03:16,FALSE,,"1016865476423684097",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","DisplayGeek",0,FALSE,FALSE,,
"Gonna be a whole lotta #funkofiends shit at #conan on #wednesday !!! #squad #conanobrien #sdcc #FGV #funkogoodvibes… https://t.co/MBtqenJt5P",FALSE,0,,2018-07-10 19:46:23,TRUE,,"1016770627850702848",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ScottFooMusic",0,FALSE,FALSE,,
"#ConanOBrien's favorite vacation spot! https://t.co/tfE1cr0yPn",FALSE,0,,2018-07-10 14:43:08,FALSE,,"1016694313663844352",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MartinRedmonddd",0,FALSE,FALSE,,
"Twitter, why do you keep shoving random tweets in my face? I like #FamilyGuy but #SethMacfarlane hasnt directed tha… https://t.co/dLsn8v59Vn",FALSE,1,,2018-07-10 11:20:01,TRUE,,"1016643198821658624",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ManicWinters",0,FALSE,FALSE,,
"#BeingSalmanKhan #KAKA #Adele #realmadrid #EmmaWatson #NASA #ConanOBrien #ActuallyNPH #danieltosh #pitbull… https://t.co/acKhkzzDx5",FALSE,0,,2018-07-10 00:46:01,TRUE,,"1016483648231571456",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"#BeingSalmanKhan #KAKA #Adele #realmadrid #EmmaWatson #NASA #ConanOBrien #ActuallyNPH #danieltosh #pitbull… https://t.co/EfQmnFGrlR",FALSE,0,,2018-07-09 22:33:35,TRUE,,"1016450318958198785",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"@1iota i'm like totally super waitlisted for #ConanCon.  please, PLEASE select me... you guys will not be like, dis… https://t.co/SC71VEDgo9",FALSE,0,"1iota",2018-07-09 18:16:03,TRUE,,"1016385507394064384","36088191","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","htnguyen",0,FALSE,FALSE,,
"@1tallmidget #conanobrien evidently. Time for a return trip to the non shithole.",FALSE,0,"1tallmidget",2018-07-09 11:30:36,FALSE,"1016270007624445952","1016283475425492992","233189797","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","1happybirdy",0,FALSE,FALSE,,
"#humor #humour #funny #jokes #ConanOBrien #Beethoven #Schubert #music #musicology https://t.co/K0DXebLzG3",FALSE,0,,2018-07-07 22:59:23,FALSE,,"1015732035841810432",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","JulesFDelorme",0,FALSE,FALSE,,
"The Conan Collector Box is live for preorder online! No Funko related items spotted.
.
https://t.co/aKCADMfh3R
.… https://t.co/O5xfu4rH1j",FALSE,2,,2018-07-07 19:44:42,TRUE,,"1015683041195450375",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","DisFunko",0,FALSE,FALSE,,
"Here’s a look at the GameStop exclusive Conan box! Doesn’t look like anything Funko related may be in it like state… https://t.co/Pa8a5U1Mww",FALSE,2,,2018-07-07 19:44:40,TRUE,,"1015683035138797568",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","DisFunko",0,FALSE,FALSE,,
"**UPDATE** GameStop Exclusive Conan Collector’s Box posted earlier this month appears to NOT be Funko-themed. See p… https://t.co/ubXEhQ5l5F",FALSE,1,,2018-07-07 19:41:14,TRUE,,"1015682169258364929",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","funkofinderz",0,FALSE,FALSE,,
"Sugar Skull Conan Pop! art spotted on a San Diego escalator. Pic cred Junot I.
.
@ConanOBrien #conanobrien #funko… https://t.co/kSxjO1dosg",FALSE,0,,2018-07-06 11:35:27,TRUE,,"1015197532576669696",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","funkofinderz",0,FALSE,FALSE,,
"Sugar Skull Conan Pop! art spotted on a San Diego escalator. Pic cred Junot I.
.
@ConanOBrien #conanobrien #funko… https://t.co/0xrRmqx9aU",FALSE,1,,2018-07-06 11:25:41,TRUE,,"1015195074391564290",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","funkofinderz",0,FALSE,FALSE,,
"I just wanna have the best time, #tbt like a #throwback <ed><U+00A0><U+00BD><ed><U+00B1><U+0080><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Shout out to @ConanOBrien <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF>
•
#RECKLESSTALK out now e… https://t.co/9IHHl17M3R",FALSE,0,,2018-07-05 23:38:48,TRUE,,"1015017178838511616",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","41heis",0,FALSE,FALSE,,
"RT @nerd_collab: #SanDiegoComicCon  is coming up &amp; we'll have some post on the #con! 1st a reflection post of Jeremy's return to the #SDCC!…",FALSE,0,,2018-07-05 21:06:23,FALSE,,"1014978821919989760",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jeremydizon",3,TRUE,FALSE,,
"RT @nerd_collab: #SanDiegoComicCon  is coming up &amp; we'll have some post on the #con! 1st a reflection post of Jeremy's return to the #SDCC!…",FALSE,0,,2018-07-05 19:08:52,FALSE,,"1014949247471497221",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DVamptriss",3,TRUE,FALSE,,
"RT @nerd_collab: #SanDiegoComicCon  is coming up &amp; we'll have some post on the #con! 1st a reflection post of Jeremy's return to the #SDCC!…",FALSE,0,,2018-07-05 18:30:05,FALSE,,"1014939488085331968",,"<a href=\"http://BounceDeal.com\" rel=\"nofollow\">StarWarsRocks</a>","StarWars4Fans",3,TRUE,FALSE,,
"#SanDiegoComicCon  is coming up &amp; we'll have some post on the #con! 1st a reflection post of Jeremy's return to the… https://t.co/wIhGw88p9t",FALSE,9,,2018-07-05 18:12:37,TRUE,,"1014935092878143488",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","nerd_collab",3,FALSE,FALSE,,
"RT @JensenAckles: #2 no big deal!  #wbsdcc #conanobrien https://t.co/ChVADgQYU6",FALSE,0,,2018-07-05 17:28:39,FALSE,,"1014924028501471232",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","n4txta",3116,TRUE,FALSE,,
"RT @FunkoPOPsNews: Conan O Brien Clark Kent Funko POP! Now on sale ~ #FPN #FunkoPOPNews #Funko #POP #Funkos #POPVinyl #Conan #ConanOBrien #…",FALSE,0,,2018-07-05 16:32:18,FALSE,,"1014909847995904000",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","GetTheseHands18",18,TRUE,FALSE,,
"RT @FunkoPOPsNews: Conan O Brien in Suit Funko POP! Now on sale ~ #FPN #FunkoPOPNews #Funko #POP #Funkos #POPVinyl #Conan #ConanOBrien #SDC…",FALSE,0,,2018-07-05 16:32:14,FALSE,,"1014909831583535104",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","GetTheseHands18",19,TRUE,FALSE,,
"RT @FunkoPOPsNews: Conan O Brien in Super Suit Funko POP! Now on sale ~ #FPN #FunkoPOPNews #Funko #POP #Funkos #POPVinyl #Conan #ConanOBrie…",FALSE,0,,2018-07-05 16:32:09,FALSE,,"1014909808963702784",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","GetTheseHands18",20,TRUE,FALSE,,
