"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @tsemtulku: Must save and keep #art of #Tibet

#buddha 
#buddhism
#buddhist
#dharma
#dalailama
#spiritual
#goddess
#hindu
#yoga
#zen
#sa…",FALSE,0,,2018-07-11 07:55:02,FALSE,,"1016954000967495680",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","choisheem",6,TRUE,FALSE,,
"RT @tsemtulku: Beautiful offerings to the enlightened ones.

#TibetCause
#TheLieLama
#DalaiLama
#humanrights
#Tibetan
#bhodrangzen
#china
#…",FALSE,0,,2018-07-11 07:51:41,FALSE,,"1016953156326965248",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","choisheem",20,TRUE,FALSE,,
"RT @TrainingMindful: \"If you don't love yourself, you cannot love others. You will not be able to #love others.\" ~ #DalaiLama #people",FALSE,0,,2018-07-11 07:46:02,FALSE,,"1016951733665214466",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","burtonlee",13,TRUE,FALSE,,
"What are your top 3 #values? Practice to apply them to as many things as possible that you do today. Get creative.… https://t.co/FYiYxdIPYK",FALSE,0,,2018-07-11 07:34:03,TRUE,,"1016948721865633792",,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","marionancker",0,FALSE,FALSE,,
"RT @me_aahana: With an attitude of respect and concern for other beings, we can create an atmosphere of happiness, real harmony and real br…",FALSE,0,,2018-07-11 07:33:07,FALSE,,"1016948483310247936",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Ripudam51654310",3,TRUE,FALSE,,
"RT @KarifyDE: \"Denke daran, dass etwas, was du nicht bekommst, manchmal eine wunderbare Fügung des Schicksals sein kann\", Dalai Lama

#ehea…",FALSE,0,,2018-07-11 07:31:47,FALSE,,"1016948150291128320",,"<a href=\"https://www.linkedin.com/in/brianmmulder/\" rel=\"nofollow\">datadrivencare_helper</a>","datadrivencare",1,TRUE,FALSE,,
"RT @TrainingMindful: \"…your enemies are your best spiritual teachers because their presence provides you with the opportunity to enhance an…",FALSE,0,,2018-07-11 07:31:35,FALSE,,"1016948101158981632",,"<a href=\"http://mypathreading.com\" rel=\"nofollow\">MyPathReading</a>","mypathreading",11,TRUE,FALSE,,
"RT @tsemtulku: My doggies super funny!!

#buddha 
#buddhism
#buddhist
#dharma
#dalailama
#spiritual
#goddess
#hindu
#yoga
#zen
#sangha
#dha…",FALSE,0,,2018-07-11 07:27:06,FALSE,,"1016946970370322432",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","LimHanNee",7,TRUE,FALSE,,
"RT @tsemtulku: My previous residence in #Nepal

#buddha 
#buddhism
#buddhist
#dharma
#dalailama
#spiritual
#goddess
#hindu
#yoga
#zen
#sang…",FALSE,0,,2018-07-11 07:26:45,FALSE,,"1016946880868044800",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","LimHanNee",9,TRUE,FALSE,,
"RT @tsemtulku: My sacred shrine in my home.

#buddha 
#buddhism
#buddhist
#dharma
#dalailama
#spiritual
#goddess
#hindu
#yoga
#zen
#sangha…",FALSE,0,,2018-07-11 07:26:10,FALSE,,"1016946736114233344",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","LimHanNee",7,TRUE,FALSE,,
"RT @TrainingMindful: \"…your enemies are your best spiritual teachers because their presence provides you with the opportunity to enhance an…",FALSE,0,,2018-07-11 07:23:38,FALSE,,"1016946098420768768",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lyncrumlish1",11,TRUE,FALSE,,
"RT @RealJannaWeiss: Secular ethics is an approach to #ethics that does not make any recourse to religion and can be equally acceptable for…",FALSE,0,,2018-07-11 07:18:00,FALSE,,"1016944679516979200",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","It_is_NunyaDB",2,TRUE,FALSE,,
"RT @RealJannaWeiss: Secular ethics is an approach to #ethics that does not make any recourse to religion and can be equally acceptable for…",FALSE,0,,2018-07-11 07:16:28,FALSE,,"1016944296006733824",,"<a href=\"https://anethicalthirst.co.uk/\" rel=\"nofollow\">Ethics retweet bot</a>","EthicsRetweet",2,TRUE,FALSE,,
"RT @tsemtulku: My doggies meet friends!

#buddha 
#buddhism
#buddhist
#dharma
#dalailama
#spiritual
#goddess
#hindu
#yoga
#zen
#sangha
#dha…",FALSE,0,,2018-07-11 07:15:31,FALSE,,"1016944057723940864",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","zkong25",7,TRUE,FALSE,,
"RT @TrainingMindful: \"All major religious traditions carry basically the same message; that is love, compassion, and forgiveness. The impor…",FALSE,0,,2018-07-11 07:13:33,FALSE,,"1016943561164673026",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lyncrumlish1",12,TRUE,FALSE,,
