"x"
"RTDralqarnee
<U+0627><U+0644><U+0644><U+0647><U+0645> <U+0635><U+0644> <U+0648><U+0633><U+0644><U+0645> <U+0639><U+0644><U+0649> <U+0646><U+0628><U+064A><U+0646><U+0627> <U+0645><U+062D><U+0645><U+062F> <U+0648><U+0639><U+0644><U+0649> <U+0622><U+0644><U+0647> <U+0648><U+0635><U+062D><U+0628><U+0647> <U+0648><U+0633><U+0644><U+0645> <U+062A><U+0633><U+0644><U+064A><U+0645><U+0627> <U+0643><U+062B><U+064A><U+0631><U+0627>
<U+0627><U+0644><U+062C><U+0645><U+0639><U+0629>" "rtdralqarnee
<U+0627><U+0644><U+0644><U+0647><U+0645> <U+0635><U+0644> <U+0648><U+0633><U+0644><U+0645> <U+0639><U+0644><U+0649> <U+0646><U+0628><U+064A><U+0646><U+0627> <U+0645><U+062D><U+0645><U+062F> <U+0648><U+0639><U+0644><U+0649> <U+0622><U+0644><U+0647> <U+0648><U+0635><U+062D><U+0628><U+0647> <U+0648><U+0633><U+0644><U+0645> <U+062A><U+0633><U+0644><U+064A><U+0645><U+0627> <U+0643><U+062B><U+064A><U+0631><U+0627>
<U+0627><U+0644><U+062C><U+0645><U+0639><U+0629>"
"Dralqarnee
<U+0627><U+0644><U+0644><U+0647><U+0645> <U+0635><U+0644> <U+0648><U+0633><U+0644><U+0645> <U+0639><U+0644><U+0649> <U+0646><U+0628><U+064A><U+0646><U+0627> <U+0645><U+062D><U+0645><U+062F> <U+0648><U+0639><U+0644><U+0649> <U+0622><U+0644><U+0647> <U+0648><U+0635><U+062D><U+0628><U+0647> <U+0648><U+0633><U+0644><U+0645> <U+062A><U+0633><U+0644><U+064A><U+0645><U+0627> <U+0643><U+062B><U+064A><U+0631><U+0627>
<U+0627><U+0644><U+062C><U+0645><U+0639><U+0629>" "dralqarnee
<U+0627><U+0644><U+0644><U+0647><U+0645> <U+0635><U+0644> <U+0648><U+0633><U+0644><U+0645> <U+0639><U+0644><U+0649> <U+0646><U+0628><U+064A><U+0646><U+0627> <U+0645><U+062D><U+0645><U+062F> <U+0648><U+0639><U+0644><U+0649> <U+0622><U+0644><U+0647> <U+0648><U+0635><U+062D><U+0628><U+0647> <U+0648><U+0633><U+0644><U+0645> <U+062A><U+0633><U+0644><U+064A><U+0645><U+0627> <U+0643><U+062B><U+064A><U+0631><U+0627>
<U+0627><U+0644><U+062C><U+0645><U+0639><U+0629>"
