"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Rapseedtv1: #NASA just can't seat this one out <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #Drake https://t.co/iZ4skuEns9",FALSE,0,,2018-07-11 08:02:15,FALSE,,"1016955818355372033",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ayzo_kay",9,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 08:01:12,FALSE,,"1016955550909849600",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","EdFordy",186,TRUE,FALSE,,
"RT @itsspotty321: YALL RETWEET TF OUT THIS HOE<ed><U+00A0><U+00BD><ed><U+00B0><U+00A4><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Josh From Walmart<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> w/ the #InMyFeelingsChallenge #Drake #KekeDoYouLoveMe COMMENT YALL…",FALSE,0,,2018-07-11 08:01:06,FALSE,,"1016955525617991680",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","zoolehma",557,TRUE,FALSE,,
"On the Charts, Drake Is Bigger Than All of Rock &amp; Roll
 https://t.co/dg3WY8AwZ9 via @RollingStone. #drake… https://t.co/BOejx9aeyz",FALSE,0,,2018-07-11 08:00:28,TRUE,,"1016955366532403200",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","KarmaClubLdn",0,FALSE,FALSE,,
"RT @itsspotty321: YALL RETWEET TF OUT THIS HOE<ed><U+00A0><U+00BD><ed><U+00B0><U+00A4><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Josh From Walmart<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> w/ the #InMyFeelingsChallenge #Drake #KekeDoYouLoveMe COMMENT YALL…",FALSE,0,,2018-07-11 08:00:09,FALSE,,"1016955286777712641",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Isaiah4912",557,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:57:40,FALSE,,"1016954662799503360",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","andrewa4js",186,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:56:21,FALSE,,"1016954330623160320",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mhairi35",186,TRUE,FALSE,,
"RT @mochaCapa: Y’all know I had to do the challenge ... he practically said my name <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #inmyfeelings #keke #doyouloveme #areyouriding #kiki…",FALSE,0,,2018-07-11 07:55:52,FALSE,,"1016954211135868929",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mwayi_XO",7,TRUE,FALSE,,
"RT @cast_sound: Nice For What - Drake <U+3010>Chipmunks ver<U+3011>#NiceForWhat #drake

https://t.co/C3Hv3GRR4z",FALSE,0,,2018-07-11 07:55:44,FALSE,,"1016954175337271297",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","beaucrir",1,TRUE,FALSE,,
"Nice For What - Drake <U+3010>Chipmunks ver<U+3011>#NiceForWhat #drake

https://t.co/C3Hv3GRR4z",FALSE,3,,2018-07-11 07:55:24,FALSE,,"1016954094190116864",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","cast_sound",1,FALSE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:55:08,FALSE,,"1016954023885369344",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ryan_smithy_",186,TRUE,FALSE,,
"Clean #Foamposite Tank! 

#kicks #drake #nike #summer #love #beach #fun #vacation https://t.co/66q9l8oiom",FALSE,0,,2018-07-11 07:54:44,FALSE,,"1016953925042401280",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","YoussefDisla",0,FALSE,FALSE,,
"RT @JnzBeats: Hahahahaha!!! OOOOHHhhh SHIiiiit <ed><U+00A0><U+00BD><ed><U+00B2><U+00A9><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>

i didnt see this one coming OMG<ed><U+00A0><U+00BD><ed><U+00B8><U+0086>
#Drake #PushaT 

https://t.co/rU4Oh9BsOw",FALSE,0,,2018-07-11 07:54:10,FALSE,,"1016953783094476800",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sabelo78030965",1569,TRUE,FALSE,,
"RT @REALDEAL7786: Me everytime In My Feelings comes on by Drake #drake #inmyfeelings lit <ed><U+00A0><U+00BE><ed><U+00B6><U+0089>#KIKIDOYOULOVEME #Kiki https://t.co/Bj3GKx1lDU",FALSE,0,,2018-07-11 07:54:10,FALSE,,"1016953780875776000",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","GendelFox",226,TRUE,FALSE,,
"RT @GADoneEmpire: Check out this mashup of Wizkid's \"Come Closer\" and Drake's \"Controlla\" by upcoming and sensational artist Kofi Jamar. ht…",FALSE,0,,2018-07-11 07:53:27,FALSE,,"1016953601577582592",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","adriel_quansah",1,TRUE,FALSE,,
"RT @A_Jxxs: <ed><U+00A0><U+00BD><ed><U+00B8><U+0085> I mean I just thought why not ... #inmyfeelingchallenge #drake @Drake https://t.co/V1gWAG21qj",FALSE,0,,2018-07-11 07:52:00,FALSE,,"1016953236983615488",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Adelyde5",25,TRUE,FALSE,,
"RT @Nickvillamizarr: Childish Gambino - This Is America 

#ChildishGambino #drake #future #drums #berklee #ThisIsAmerica https://t.co/sD1qg…",FALSE,0,,2018-07-11 07:51:26,FALSE,,"1016953095039995904",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ayzo_kay",37,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:51:00,FALSE,,"1016952986076090368",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BancroftShona",186,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:50:21,FALSE,,"1016952820543770625",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Cara_LWatson",186,TRUE,FALSE,,
"RT @KwibMagazine: Read this article for a real-life #Drake story https://t.co/1ItIvyZ2JN https://t.co/Me5eWzdC5C",FALSE,0,,2018-07-11 07:48:06,FALSE,,"1016952256661524481",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SuzannaBailes",1,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:47:53,FALSE,,"1016952199602147329",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","PhilippaA26",186,TRUE,FALSE,,
"#Drake Cheering On #SerenaWilliams At #Wimbledon, Exes Can Be Friends!! https://t.co/NvRvdM8x80… https://t.co/x9Bj8cIzC3",FALSE,0,,2018-07-11 07:47:40,TRUE,,"1016952146829369344",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","SportsHideout",0,FALSE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:47:26,FALSE,,"1016952089581441024",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_masonx",186,TRUE,FALSE,,
"RT @MIKEC25: You know I had to take it international for the one time!!!!!  @theshiggster @Drake #dotheshiggy #dance #NY #shiggy #drake #in…",FALSE,0,,2018-07-11 07:46:47,FALSE,,"1016951926079086592",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","thecurlyflower1",1,TRUE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 07:46:34,FALSE,,"1016951870122790912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",24,TRUE,FALSE,,
"Gems <ed><U+00A0><U+00BD><ed><U+00B2><U+008E> Kanye Type beat available now!<ed><U+00A0><U+00BD><ed><U+00B8><U+008E> website link in bio @kxcbeats .
.
.
Headphones <ed><U+00A0><U+00BC><ed><U+00BE><U+00A7> on for 808 <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+0088>
.
.
#gems… https://t.co/CaRY0mkDgm",FALSE,0,,2018-07-11 07:46:01,TRUE,,"1016951730813263872",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","kxcbeats",0,FALSE,FALSE,,
"RT @TheNewMJProject: NUEVO RECORD!

De acuerdo a #Billboard:

#MichaelJackson obtiene su ''Top 10'' numero 30! dentro de la lista #Hot100 p…",FALSE,0,,2018-07-11 07:45:50,FALSE,,"1016951685846102016",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GermnSevilla98",2,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:45:34,FALSE,,"1016951618720403458",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","GeorginaNM",186,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:45:28,FALSE,,"1016951593793703936",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","lambert_ali",186,TRUE,FALSE,,
"Somebody needs to hurry up and make another hit because this #Kiki  song has gone too far by Interrupting my prayer… https://t.co/E8cipv1cum",FALSE,0,,2018-07-11 07:44:57,TRUE,,"1016951462344224768",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ShotsOfLYFE",0,FALSE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:44:23,FALSE,,"1016951322061533184",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LukeJonesyJones",186,TRUE,FALSE,,
"RT @itsspotty321: YALL RETWEET TF OUT THIS HOE<ed><U+00A0><U+00BD><ed><U+00B0><U+00A4><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Josh From Walmart<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> w/ the #InMyFeelingsChallenge #Drake #KekeDoYouLoveMe COMMENT YALL…",FALSE,0,,2018-07-11 07:44:02,FALSE,,"1016951231300997121",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sryansmith1997",557,TRUE,FALSE,,
"@RapUp How about a reply to @PUSHA_T or better yet how about he get out the booth and go see his son #deadbeatdad #Drake",FALSE,0,"RapUp",2018-07-11 07:44:01,FALSE,"1016823681232670720","1016951230243975169","14076329","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Evil_C83",0,FALSE,FALSE,,
"#Drake Has the #1 Album in 92 countries #Dope #Billboards #Charts #Congrats",FALSE,0,,2018-07-11 07:43:46,FALSE,,"1016951164582146049",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FarealDoe",0,FALSE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:43:18,FALSE,,"1016951049700151297",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","danisharratt",186,TRUE,FALSE,,
"RT @itsspotty321: YALL RETWEET TF OUT THIS HOE<ed><U+00A0><U+00BD><ed><U+00B0><U+00A4><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B1><U+0088><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> Josh From Walmart<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> w/ the #InMyFeelingsChallenge #Drake #KekeDoYouLoveMe COMMENT YALL…",FALSE,0,,2018-07-11 07:42:19,FALSE,,"1016950802194288641",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LockedFreedom_",557,TRUE,FALSE,,
"RT @kyliesnapsongs: #Drake - Preach (feat. #PARTYNEXTDOOR)
with #JustineSkye

#throwback #KylieJenner

Copyrighted music, video with sound…",FALSE,0,,2018-07-11 07:41:30,FALSE,,"1016950594584576000",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @lucy_meck: Yess #Drake <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> 
#ComeOnEngland https://t.co/5IPTbVhEne",FALSE,0,,2018-07-11 07:41:21,FALSE,,"1016950556772962304",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PaigeLonghurst",186,TRUE,FALSE,,
"RT @_cityboyjr: Drake- In My Feelings!

#InmyfeelingsChallange #inmyfeelings  #drake @Drake https://t.co/NEac6mWHfm",FALSE,0,,2018-07-11 07:41:14,FALSE,,"1016950529816252417",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Xthekidd1",14,TRUE,FALSE,,
"#Drake #blacklivesmatter https://t.co/UjUsdBjPjm #battlerap #disstrack #worldstarhiphop #djakademiks #ukhiphop… https://t.co/6kU7hiAofl",FALSE,0,,2018-07-11 07:40:05,TRUE,,"1016950238458929152",,"<a href=\"https://www.sweetertweet.com\" rel=\"nofollow\">SweeterTweet</a>","AVALANCHE_RAP",0,FALSE,FALSE,,
"RT @JamesDeaneDance: 53 people in class and we all got hype <ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B9><U+008C>!!!
•
@Drake @theshiggster @CHONKIEFTUTZ 
•
#JamesDeaneDance #InMyFeelingsCha…",FALSE,0,,2018-07-11 07:39:49,FALSE,,"1016950169357750272",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kay_kay886",8,TRUE,FALSE,,
"***LINK IN BIO**
New Beat \"Geronimo\" from my latest beat pack. Check it out.

