"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HAZ: „Habt ihr mich vermisst in Deutschland?“ So war das #Eminem-Konzert in Hannover. #eminemhannover https://t.co/oKXtTbcFkb",FALSE,0,,2018-07-11 08:32:59,FALSE,,"1016963550751920129",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","farfalle111",4,TRUE,FALSE,,
"RT @EminemShadyZone: #EMINEM - REVIVAL TOUR - MILANO 
18.30 ROYCE 5’ 9’’
19.15 PROPHETS OF RAGE 
21.00 EMINEM
#ExperienceMilano 
#RevivalTo…",FALSE,0,,2018-07-11 08:30:04,FALSE,,"1016962817516335104",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","omphile80033496",35,TRUE,FALSE,,
"RT @EminemShadyZone: Eminem tonight at Roskilde Festival #RoskildeFestival #Denmark #Eminem #RevivalEuropeanTour https://t.co/dNdkmAQIF8",FALSE,0,,2018-07-11 08:28:48,FALSE,,"1016962497474187266",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","omphile80033496",20,TRUE,FALSE,,
"Jetzt kann ich glaube sterben, #Eminem live gesehen zu haben war Bombe und es hat sich gelohnt! <U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F> https://t.co/EBGiM8aFAh",FALSE,0,,2018-07-11 08:27:09,FALSE,,"1016962081940213762",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MichiTearS",0,FALSE,FALSE,,
"This is still available if anyone wants it, standing ticket worth £109, I'll take £70 #Eminem #Twickenham https://t.co/p7x7mEjYhv",FALSE,0,,2018-07-11 08:26:59,FALSE,,"1016962041217798145",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Joe_A_95",0,FALSE,FALSE,,
"Man alive, you watch Ass Like That ONE TIME, late at night when you need something random to clear your mind, and i… https://t.co/NKLyDNs7U4",FALSE,0,,2018-07-11 08:23:30,TRUE,,"1016961165895688192",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","banjois",0,FALSE,FALSE,,
"RT @Southpawer: \"Revival Tour\" best moments in Italy, Milan, featuring @Eminem &amp; @Royceda59 <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
#Eminem #Royce59 #RevivalTour https…",FALSE,0,,2018-07-11 08:23:03,FALSE,,"1016961049692524544",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Rap_God_17",15,TRUE,FALSE,,
"Only
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
3
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Days
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
Left!!!
<ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#Eminem #RevivalTour #RevivalEuropeanTour #Twickenham https://t.co/xcmpOYMqk6",FALSE,0,,2018-07-11 08:19:38,FALSE,,"1016960190707531776",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iamsvenja_",0,FALSE,FALSE,,
"RT @TheIndulgeMag: The capsule line will feature three different #Tshirt designs called The Kamikaze, Success and Graffiti, as well as a li…",FALSE,0,,2018-07-11 08:18:09,FALSE,,"1016959817326288896",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Rehnak",2,TRUE,FALSE,,
"#Eminem #eminemhannover #eminemrevivaltour #RevivalTour #revivaltour2018 
Gestern Abend ist ein Traum wahr geworden… https://t.co/uArP2HxOFG",FALSE,1,,2018-07-11 08:18:00,TRUE,,"1016959778629783554",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sun_ny_me",0,FALSE,FALSE,,
"RT @Southpawer: \"Revival Tour\" best moments in Italy, Milan, featuring @Eminem &amp; @Royceda59 <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
#Eminem #Royce59 #RevivalTour https…",FALSE,0,,2018-07-11 08:16:19,FALSE,,"1016959358356226049",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","VishnuTalwar6",15,TRUE,FALSE,,
"#Eminem #eminemhannover #eminemrevivaltour #RevivalTour #RevivalTour2018 https://t.co/vi3sCGLfr0",FALSE,1,,2018-07-11 08:13:52,FALSE,,"1016958738354225152",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sun_ny_me",0,FALSE,FALSE,,
"Bei den Fotos von #Eminem habe ich mich gefragt, ob @janboehm die Maske wohl noch fallen gelassen hat oder damit bi… https://t.co/vWmg5fI7t6",FALSE,0,,2018-07-11 08:13:03,TRUE,,"1016958534746099712",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Gossenpocke",0,FALSE,FALSE,,
"13-14 hours of queuing up in the pissing rain..
WORTH EVERY FUCKING MINUTE! #revivaltour #Eminem @ HANNOVER MESSE https://t.co/9faMYpAR4C",FALSE,2,,2018-07-11 08:12:31,FALSE,,"1016958401371365382",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Gorey96599903",0,FALSE,FALSE,,
"RT @Southpawer: \"Revival Tour\" best moments in Italy, Milan, featuring @Eminem &amp; @Royceda59 <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
#Eminem #Royce59 #RevivalTour https…",FALSE,0,,2018-07-11 08:10:12,FALSE,,"1016957818983759873",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","iam_chethan25",15,TRUE,FALSE,,
"RT @MasterJam0: #Eminem Fazit:
Leider nur 90min gespielt und das Messegelände in #Hannover ist kacke. Hockenheimring wäre besser  gewesen.…",FALSE,0,,2018-07-11 08:10:04,FALSE,,"1016957785584668672",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FinnBlo",4,TRUE,FALSE,,
"RT @arsalanXvshady: #Eminem used his German accent and skills to spit some German swear words. #RevivalTour #Hannover https://t.co/OuxzDd4v…",FALSE,0,,2018-07-11 08:07:42,FALSE,,"1016957189406289920",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Michaelaval82",73,TRUE,FALSE,,
"RT @TheIndulgeMag: The capsule line will feature three different #Tshirt designs called The Kamikaze, Success and Graffiti, as well as a li…",FALSE,0,,2018-07-11 08:06:42,FALSE,,"1016956937437507584",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","NewIndianXpress",2,TRUE,FALSE,,
