"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#EmmaWatson - Enjoy the current journey you are on, no matter where you are, take a breath and relax. #life #happy… https://t.co/KFmZ8oVxbp",FALSE,0,,2018-07-11 08:01:08,TRUE,,"1016955535525142530",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","omgtweetroundup",0,FALSE,FALSE,,
"Bebeklerimm <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>
@EmmaWatson @TomFelton 
#EmmaWatson #TomFelton #Feltson https://t.co/1pjRThj6dD",FALSE,1,,2018-07-11 07:59:27,FALSE,,"1016955112164651008",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","bestofzey",0,FALSE,FALSE,,
"I Crown You The Queen of My Heart <U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> 
#emmawatson #mylove #emma #hermionegranger #beauty #smile #love #like4like… https://t.co/ulYG2ZSuLG",FALSE,2,,2018-07-11 06:27:21,TRUE,,"1016931934449164289",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","shivam_suthar7",0,FALSE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+009B> #EmmaWatson Interview <ed><U+00A0><U+00BD><ed><U+00B2><U+009B>

Instagram : https://t.co/8pnStdW2Wo

Passate dal nostro gruppo ; https://t.co/vDUIQQ4EpX… https://t.co/4AxQ1lTI2Q",FALSE,3,,2018-07-11 06:05:30,TRUE,,"1016926436886761472",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GiacomaGs",0,FALSE,FALSE,,
"#EmmaWatson is always herself, something so valued in an individual person. 
#quote #celeb #beyou #loveyourself… https://t.co/52AekrcVFa",FALSE,0,,2018-07-11 06:00:22,TRUE,,"1016925143317311488",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","omgtweetroundup",0,FALSE,FALSE,,
"RT @farangsuoy: #EmmaWatson <U+0E01><U+0E31><U+0E1A><U+0E19><U+0E49><U+0E2D><U+0E07><U+0E0A><U+0E32><U+0E22> Alex Watson <U+0E2D><U+0E32><U+0E22><U+0E38><U+0E2B><U+0E48><U+0E32><U+0E07><U+0E01><U+0E31><U+0E19> 2 <U+0E1B><U+0E35> <U+0E1E><U+0E35><U+0E48><U+0E40><U+0E01><U+0E34><U+0E14> 1990 <U+0E19><U+0E49><U+0E2D><U+0E07><U+0E40><U+0E01><U+0E34><U+0E14> 1992 <U+0E41><U+0E15><U+0E48><U+0E2B><U+0E19><U+0E49><U+0E32><U+0E04><U+0E25><U+0E49><U+0E32><U+0E22><U+0E01><U+0E31><U+0E19><U+0E08><U+0E19><U+0E41><U+0E17><U+0E1A><U+0E08><U+0E30><U+0E41><U+0E1D><U+0E14> <U+0E04><U+0E25><U+0E49><U+0E32><U+0E22><U+0E01><U+0E31><U+0E19><U+0E43><U+0E19><U+0E41><U+0E1A><U+0E1A><U+0E17><U+0E35><U+0E48>…",FALSE,0,,2018-07-11 04:57:57,FALSE,,"1016909436189749249",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TanaerngExol",2990,TRUE,FALSE,,
"RT @CiudadJovenec: #CallejónDiagon 2018 reunió a los fans de #HarryPotter el fin de semana en #Guayaquil
Nota disponible en nuestro canal …",FALSE,0,,2018-07-11 01:19:15,FALSE,,"1016854398104940544",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","chamaidan_juan",2,TRUE,FALSE,,
"RT @CiudadJovenec: #CallejónDiagon 2018 reunió a los fans de #HarryPotter el fin de semana en #Guayaquil
Nota disponible en nuestro canal …",FALSE,0,,2018-07-11 01:12:49,FALSE,,"1016852777501450245",,"<a href=\"http://wuxi.cuxibamba.com\" rel=\"nofollow\">wuxi-speaker-2</a>","CerroSantaAna",2,TRUE,FALSE,,
"#CallejónDiagon 2018 reunió a los fans de #HarryPotter el fin de semana en #Guayaquil
Nota disponible en nuestro ca… https://t.co/mtufkcCO7r",FALSE,1,,2018-07-11 00:37:34,TRUE,,"1016843907559194627",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","CiudadJovenec",2,FALSE,FALSE,,
"Enjoy the rest of your day. 
#taylorswift #justinbieber #selenagomez #arianagrande  #EmmaWatson… https://t.co/VQBmYa2sek",FALSE,0,,2018-07-11 00:11:19,TRUE,,"1016837303690412032",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TatuhikoAizawa",0,FALSE,FALSE,,
"Emma Watson Hair Cut Photoshoot Hd 4K And 8K Wallpaper #wallpaper #emmawatson #emma #watson #wallpapers https://t.co/1K9tTzVawI",FALSE,0,,2018-07-11 00:00:05,FALSE,,"1016834475374899200",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","Wallpapersden",0,FALSE,FALSE,,
"RT @tccandler: KIM TAE-YEON (South Korea), BANITA SANDHU (UK / India) &amp; EMMA WATSON (UK / France) -- All Official Nominees for the 100 Most…",FALSE,0,,2018-07-10 23:47:35,FALSE,,"1016831328245858306",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TAEYEONKlNG",649,TRUE,FALSE,,
"RT @Karielle89: New cosplay prints available for sale!

Go check out: https://t.co/6xyOedXZtz

#Hermione #HermioneGranger #Cosplay #HarryPo…",FALSE,0,,2018-07-10 23:47:34,FALSE,,"1016831325683273728",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","waynehpf",3,TRUE,FALSE,,
"RT @valentinesmini1: #jkrowling #harrypotterstudios #HarryPotter20 #LeakyCon #Hogwarts #HogwartsMysteryTH #dumbeldoree #oliverphelps #emmaw…",FALSE,0,,2018-07-10 23:25:15,FALSE,,"1016825709770215430",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","HPCollectorUK",3,TRUE,FALSE,,
"This Is The End – Premiere, USA #2013 #emmawatson https://t.co/MRcUEJzNaN",FALSE,0,,2018-07-10 20:38:03,FALSE,,"1016783632944549890",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","B_EmmaW",0,FALSE,FALSE,,
"Teen People #2002 #emmawatson https://t.co/mkkui4gK8v",FALSE,0,,2018-07-10 20:38:03,FALSE,,"1016783631283519488",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","B_EmmaW",0,FALSE,FALSE,,
"RT @mindtrumpslove: Who is the most annoying female celebrity 'activist' around today?

See their obnoxious tweets to make up your minds.…",FALSE,0,,2018-07-10 20:16:11,FALSE,,"1016778128134307841",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","mindtrumpslove",1,TRUE,FALSE,,
"#Repost @NicoleFabreDes @EmmaWatson in The Beauty and the Beast wearing an apron with Emilie hand screen print on I… https://t.co/kAwQnpo2NK",FALSE,0,,2018-07-10 20:15:04,TRUE,,"1016777848118489088",,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","Wells_Abbott",0,FALSE,FALSE,,
"Words of wisdom from the beautiful Emma Watson.

#mmrewards #support #wordsofwisdom #slaytheday #motivation… https://t.co/CFODMJhjJm",FALSE,1,,2018-07-10 20:01:13,TRUE,,"1016774364824522752",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","MMRewards",0,FALSE,FALSE,,
"Treated myself @EMPUKCREW gorgeous  #disneyup mirror compact and a cute copy of #emmawatson necklace from #batb… https://t.co/T6SNAjlM1u",FALSE,0,,2018-07-10 19:57:16,TRUE,,"1016773367905517569",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","noseycritters",0,FALSE,FALSE,,
"Find out more on the biggest ever Indian film 2.0 here.
https://t.co/yBbTjHJxmR
#GalGadot #EmmaWatson #AmyAdams… https://t.co/y8OZzeZdkM",FALSE,1,,2018-07-10 18:56:10,TRUE,,"1016757990349651969",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Olivia_Bishop90",0,FALSE,FALSE,,
"Emma Watson short film for Vogue Australia March 2018
@EmmaWatson #EmmaWatson
 https://t.co/UiS34wWNAj via @YouTube",FALSE,2,,2018-07-10 18:25:49,FALSE,,"1016750356326440961",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","iamNotashbatool",0,FALSE,FALSE,,
"Esto demuestra que #EmmaWatson es la versión adulta de Hermione Granger https://t.co/65iaqs6jga",FALSE,1,,2018-07-10 18:00:18,FALSE,,"1016743931638435840",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","EonlineLatino",0,FALSE,FALSE,,
"Joker Deck! #thejoker #gotham #batman #jacknicholson #1989 #customjewelry #heathledger #joker #jaredleto… https://t.co/IsGgwsA0MQ",FALSE,0,,2018-07-10 17:56:19,TRUE,,"1016742931615666184",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","thunderhoodie",0,FALSE,FALSE,,
"RT @iamNotashbatool: Fashion comes when style meets confidence 
@EmmaWatson #EmmaWatson https://t.co/1Ub6zLQ0TX",FALSE,0,,2018-07-10 17:48:54,FALSE,,"1016741065884422145",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Asif_Mehmoodktk",1,TRUE,FALSE,,
"Fashion comes when style meets confidence 
@EmmaWatson #EmmaWatson https://t.co/1Ub6zLQ0TX",FALSE,9,,2018-07-10 17:39:37,FALSE,,"1016738729220820993",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","iamNotashbatool",1,FALSE,FALSE,,
"#EmmaWatson https://t.co/A40aHNM5vw",FALSE,8,,2018-07-10 15:47:39,FALSE,,"1016710550095458305",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dengaai",1,FALSE,FALSE,,
"RT @Clarit_H: Hermione Granger
#hermionegranger #hermione #harrypotter #witch #bruxa #hogwarts #grifinoria #griffyndor  #digitalart #artedi…",FALSE,0,,2018-07-10 15:36:33,FALSE,,"1016707757695782913",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","hermione_ed",1,TRUE,FALSE,,
"RT @EmmaWatsonPaste: Picture(s) • @EmmaWatson • #EmmaWatson https://t.co/QECPIohOvN",FALSE,0,,2018-07-10 15:03:29,FALSE,,"1016699433654870017",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","_world_of_mine_",5,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#dramione #feltson #tomfelton #emmawatson https://t.co/O1wxC1wZ4k",FALSE,1,,2018-07-10 15:02:32,FALSE,,"1016699196454424577",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","dramionelover2",0,FALSE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#dramione #feltson #tomfelton #emmawatson https://t.co/9RTWxJWnui",FALSE,1,,2018-07-10 15:02:21,FALSE,,"1016699152242282498",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","dramionelover2",0,FALSE,FALSE,,
"RT @Traveling_89: @byH_Leitenbauer @ejlazar #SonYoonJu &amp; #EmmaWatson

Pls Choose 1!

@xuankiet @HItoshikyoto716 @95ebc7143a5340c @NerissaaE…",FALSE,0,,2018-07-10 14:51:23,FALSE,,"1016696389571448833",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Traveling_89",5,TRUE,FALSE,,
"RT @Traveling_89: @byH_Leitenbauer @ejlazar #SonYoonJu &amp; #EmmaWatson

Pls Choose 1!

@xuankiet @HItoshikyoto716 @95ebc7143a5340c @NerissaaE…",FALSE,0,,2018-07-10 14:46:46,FALSE,,"1016695230299623429",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","byH_Leitenbauer",5,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#dramione #feltson #tomfelton #emmawatson https://t.co/Y8XT3VwJkZ",FALSE,1,,2018-07-10 12:41:20,FALSE,,"1016663660914147331",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","dramionelover2",0,FALSE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009A><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#dramione #feltson #tomfelton #emmawatson https://t.co/gvsvlil6eC",FALSE,3,,2018-07-10 12:41:10,FALSE,,"1016663618677559297",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","dramionelover2",0,FALSE,FALSE,,
"RT @EWThailand: I love it!! xx #BeautyAndTheBeast  #EmmaWatson #DanStevens <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>

| Instagram/illustrationsbydil https://t.co/tCAVgnhc6R",FALSE,0,,2018-07-10 12:37:20,FALSE,,"1016662657405816833",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ThorinBilbo_",8,TRUE,FALSE,,
"RT @EWThailand: \"<U+0E2A><U+0E32><U+0E27><U+0E43><U+0E19><U+0E1D><U+0E31><U+0E19><U+0E07><U+0E32><U+0E19><U+0E1E><U+0E23><U+0E2D><U+0E21><U+0E02><U+0E2D><U+0E07><U+0E1C><U+0E21><U+0E19><U+0E30><U+0E2B><U+0E23><U+0E2D>? #EmmaWatson <U+0E40><U+0E18><U+0E2D><U+0E19><U+0E48><U+0E30><U+0E42><U+0E04><U+0E23><U+0E15><U+0E08><U+0E30><U+0E19><U+0E48><U+0E32><U+0E23><U+0E31><U+0E01><U+0E40><U+0E25><U+0E22>\" - #ChordOverstreet <U+0E43><U+0E2B><U+0E49><U+0E2A><U+0E31><U+0E21><U+0E20><U+0E32><U+0E29><U+0E13><U+0E4C><U+0E40><U+0E21><U+0E37><U+0E48><U+0E2D><U+0E1B><U+0E35> 2011 <U+0E16><U+0E36><U+0E07><U+0E2A><U+0E32><U+0E27><U+0E1E><U+0E23><U+0E2D><U+0E21><U+0E43><U+0E19><U+0E1D><U+0E31><U+0E19> <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>…",FALSE,0,,2018-07-10 12:24:02,FALSE,,"1016659306828034048",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pl_cb",1116,TRUE,FALSE,,
"RT @GiacomaGs: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> #EmmaWatson 2010 <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

Instagram : https://t.co/8pnStdW2Wo

Passate dal nostro gruppo ; https://t.co/vDUIQQ4EpX

~EmWatson ht…",FALSE,0,,2018-07-10 12:14:25,FALSE,,"1016656888685948929",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Utkarshjha2410",2,TRUE,FALSE,,
"Hermione Granger
#hermionegranger #hermione #harrypotter #witch #bruxa #hogwarts #grifinoria #griffyndor… https://t.co/HnYgqPhViK",FALSE,5,,2018-07-10 12:11:49,TRUE,,"1016656235679109120",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Clarit_H",1,FALSE,FALSE,,
"RT @EWThailand: I love it!! xx #BeautyAndTheBeast  #EmmaWatson #DanStevens <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>

| Instagram/illustrationsbydil https://t.co/tCAVgnhc6R",FALSE,0,,2018-07-10 12:08:40,FALSE,,"1016655443555377157",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ek_eiei",8,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+008B> #EmmaWatson 2010 <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

Instagram : https://t.co/8pnStdW2Wo

Passate dal nostro gruppo ; https://t.co/vDUIQQ4EpX

~Em… https://t.co/9JCBu35tWC",FALSE,12,,2018-07-10 12:04:48,TRUE,,"1016654469377994753",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","GiacomaGs",2,FALSE,FALSE,,
"RT @farangsuoy: #EmmaWatson #ChordOverstreet <U+0E2B><U+0E25><U+0E31><U+0E07><U+0E21><U+0E35><U+0E02><U+0E48><U+0E32><U+0E27><U+0E40><U+0E25><U+0E34><U+0E01><U+0E01><U+0E31><U+0E19><U+0E44><U+0E1B><U+0E0A><U+0E48><U+0E27><U+0E07><U+0E1B><U+0E25><U+0E32><U+0E22><U+0E40><U+0E14><U+0E37><U+0E2D><U+0E19><U+0E17><U+0E35><U+0E48><U+0E41><U+0E25><U+0E49><U+0E27> <U+0E25><U+0E48><U+0E32><U+0E2A><U+0E38><U+0E14><U+0E21><U+0E35><U+0E20><U+0E32><U+0E1E><U+0E02><U+0E2D><U+0E07><U+0E17><U+0E31><U+0E49><U+0E07><U+0E04><U+0E39><U+0E48> 19/6/2018 <U+0E43><U+0E19> LA <U+0E23><U+0E30><U+0E2B><U+0E27><U+0E48><U+0E32><U+0E07><U+0E22><U+0E37><U+0E19><U+0E16><U+0E48><U+0E32><U+0E22><U+0E23><U+0E39>…",FALSE,0,,2018-07-10 11:32:29,FALSE,,"1016646335372464131",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kanaaa43880",3197,TRUE,FALSE,,
"RT @FranHeathWriter: Unconscious Adventures: Daily Dream Drawings - 08/07/18 #unconsciousadventures #dailydreamdrawings #dreams #dream #dre…",FALSE,0,,2018-07-10 11:13:03,FALSE,,"1016641444499554304",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","SoDreamySnack",2,TRUE,FALSE,,
"RT @EWThailand: I love it!! xx #BeautyAndTheBeast  #EmmaWatson #DanStevens <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BC><ed><U+00BC><U+00B9>

| Instagram/illustrationsbydil https://t.co/tCAVgnhc6R",FALSE,0,,2018-07-10 11:07:23,FALSE,,"1016640020285800449",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MaymaxSkata",8,TRUE,FALSE,,
