"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @TheCuleHater: A o B, elige #RealMadrid #FCBarcelona https://t.co/YwQ0sNUnDw",FALSE,0,,2018-07-11 08:15:32,FALSE,,"1016959160603332608",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","TodoFutbolAqui",24,TRUE,FALSE,,
"RT @TheCuleHater: A o B, elige #RealMadrid #FCBarcelona https://t.co/YwQ0sNUnDw",FALSE,0,,2018-07-11 08:15:10,FALSE,,"1016959066437021696",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jmleyva_garcia",24,TRUE,FALSE,,
"RT @TheCuleHater: A o B, elige #RealMadrid #FCBarcelona https://t.co/YwQ0sNUnDw",FALSE,0,,2018-07-11 08:14:22,FALSE,,"1016958867027251200",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","Net_RealMadrid",24,TRUE,FALSE,,
"RT @GoleadorFutbol: Lionel Messi #D10S #Capitá #FCBarcelona https://t.co/oiiycg5A2T",FALSE,0,,2018-07-11 08:07:37,FALSE,,"1016957165897179136",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","Frases_Futbol",1,TRUE,FALSE,,
"RT @FCBarcelonaTha1: <U+0E15><U+0E31><U+0E27><U+0E41><U+0E17><U+0E19><U+0E02><U+0E2D><U+0E07><U+0E1A><U+0E32><U+0E23><U+0E4C><U+0E40><U+0E0B><U+0E42><U+0E25><U+0E19><U+0E48><U+0E32> <U+0E40><U+0E15><U+0E23><U+0E35><U+0E22><U+0E21><U+0E40><U+0E14><U+0E34><U+0E19><U+0E17><U+0E32><U+0E07><U+0E16><U+0E36><U+0E07><U+0E01><U+0E23><U+0E38><U+0E07><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E40><U+0E02><U+0E49><U+0E32><U+0E40><U+0E08><U+0E23><U+0E08><U+0E32><U+0E01><U+0E31><U+0E1A><U+0E17><U+0E32><U+0E07><U+0E2A><U+0E42><U+0E21><U+0E2A><U+0E23><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E41><U+0E0B><U+0E07><U+0E15><U+0E4C>-<U+0E41><U+0E0A><U+0E01><U+0E41><U+0E21><U+0E07><U+0E15><U+0E4C><U+0E01><U+0E31><U+0E1A><U+0E04><U+0E27><U+0E32><U+0E21><U+0E1E><U+0E22><U+0E32><U+0E22><U+0E32><U+0E21><U+0E04><U+0E27><U+0E49><U+0E32><U+0E15><U+0E31><U+0E27><U+0E2D><U+0E32><U+0E40><U+0E14><U+0E23><U+0E35>…",FALSE,0,,2018-07-11 08:06:46,FALSE,,"1016956954428653570",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BeShaTo_V",5,TRUE,FALSE,,
"RT @LaLiga_TOP: Ibra sobre CR y Messi #D10S #FCBarcelona https://t.co/Lgtbuve9sH",FALSE,0,,2018-07-11 08:01:01,FALSE,,"1016955507297411072",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","NetLigaAR",1,TRUE,FALSE,,
"RT @NetLigaAR: Unos te amarán por lo bueno que eres otros te odiarán por la misma razón #Messi #D10S #FCBarcelona https://t.co/HRphiJvwCZ",FALSE,0,,2018-07-11 08:00:41,FALSE,,"1016955423159717888",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","Futbol_Espanol",7,TRUE,FALSE,,
"RT @NetLigaAR: Zlatan y Messi. Dos ENORMES futbolistas. Mundial de Clubes 2009 #FCBarcelona https://t.co/8O6jid5SNp",FALSE,0,,2018-07-11 07:52:21,FALSE,,"1016953323621101568",,"<a href=\"https://github.com/alvarodemig/TwitterUp\" rel=\"nofollow\">SmartRT</a>","90minDePasion",10,TRUE,FALSE,,
"Welcome to the family Arthur #FCBarcelona",FALSE,0,,2018-07-11 07:46:20,FALSE,,"1016951811767394304",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dishu_1212",0,FALSE,FALSE,,
"Ojalás que #mina cuando sea uno de los mejores ,le de la espalda a el #fcbarcelona ! 
Hoy en día le falta mucho ,en… https://t.co/vwBi271z7C",FALSE,0,,2018-07-11 07:44:43,TRUE,,"1016951406023053312",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","fcbas_bastian",0,FALSE,FALSE,,
"RT @NetLigaAR: Camacho haciendo una entrada a Maradona #FCBarcelona #RealMadrid #LaLiga https://t.co/f1io5oDZBY",FALSE,0,,2018-07-11 07:38:50,FALSE,,"1016949923445661696",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JosephF198",2,TRUE,FALSE,,
"RT @IamDeepika01: @MoSalah Who is your favorite?
Retweet <ed><U+00A0><U+00BD><ed><U+00B4><U+0081> #LionelMessi 
Like         <ed><U+00A0><U+00BD><ed><U+00B2><U+009D> #MohamedSalah 
#FCBarcelona #LiverpoolFC #EGY #Arge…",FALSE,0,,2018-07-11 07:36:38,FALSE,,"1016949369206009861",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LaviRathi6",24,TRUE,FALSE,,
"RT @NetLigaAR: Camacho haciendo una entrada a Maradona #FCBarcelona #RealMadrid #LaLiga https://t.co/f1io5oDZBY",FALSE,0,,2018-07-11 07:26:06,FALSE,,"1016946719416881152",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Manchego_Madone",2,TRUE,FALSE,,
"RT @FCBarcelonaTha1: <U+0E15><U+0E31><U+0E27><U+0E41><U+0E17><U+0E19><U+0E02><U+0E2D><U+0E07><U+0E1A><U+0E32><U+0E23><U+0E4C><U+0E40><U+0E0B><U+0E42><U+0E25><U+0E19><U+0E48><U+0E32> <U+0E40><U+0E15><U+0E23><U+0E35><U+0E22><U+0E21><U+0E40><U+0E14><U+0E34><U+0E19><U+0E17><U+0E32><U+0E07><U+0E16><U+0E36><U+0E07><U+0E01><U+0E23><U+0E38><U+0E07><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E40><U+0E02><U+0E49><U+0E32><U+0E40><U+0E08><U+0E23><U+0E08><U+0E32><U+0E01><U+0E31><U+0E1A><U+0E17><U+0E32><U+0E07><U+0E2A><U+0E42><U+0E21><U+0E2A><U+0E23><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E41><U+0E0B><U+0E07><U+0E15><U+0E4C>-<U+0E41><U+0E0A><U+0E01><U+0E41><U+0E21><U+0E07><U+0E15><U+0E4C><U+0E01><U+0E31><U+0E1A><U+0E04><U+0E27><U+0E32><U+0E21><U+0E1E><U+0E22><U+0E32><U+0E22><U+0E32><U+0E21><U+0E04><U+0E27><U+0E49><U+0E32><U+0E15><U+0E31><U+0E27><U+0E2D><U+0E32><U+0E40><U+0E14><U+0E23><U+0E35>…",FALSE,0,,2018-07-11 07:22:42,FALSE,,"1016945862377811968",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","n2812117bv",5,TRUE,FALSE,,
"@arthurmeloreal welcome to @FCBarcelona can't wait to see you on field #FCBarcelona #ArthurMelo #tranfers",FALSE,0,"arthurmeloreal",2018-07-11 06:58:02,FALSE,,"1016939657618001920","912409363062587393","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NotSoSorry1",0,FALSE,FALSE,,
"RT @FCBarcelonaTha1: <U+0E15><U+0E31><U+0E27><U+0E41><U+0E17><U+0E19><U+0E02><U+0E2D><U+0E07><U+0E1A><U+0E32><U+0E23><U+0E4C><U+0E40><U+0E0B><U+0E42><U+0E25><U+0E19><U+0E48><U+0E32> <U+0E40><U+0E15><U+0E23><U+0E35><U+0E22><U+0E21><U+0E40><U+0E14><U+0E34><U+0E19><U+0E17><U+0E32><U+0E07><U+0E16><U+0E36><U+0E07><U+0E01><U+0E23><U+0E38><U+0E07><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E40><U+0E02><U+0E49><U+0E32><U+0E40><U+0E08><U+0E23><U+0E08><U+0E32><U+0E01><U+0E31><U+0E1A><U+0E17><U+0E32><U+0E07><U+0E2A><U+0E42><U+0E21><U+0E2A><U+0E23><U+0E1B><U+0E32><U+0E23><U+0E35><U+0E2A> <U+0E41><U+0E0B><U+0E07><U+0E15><U+0E4C>-<U+0E41><U+0E0A><U+0E01><U+0E41><U+0E21><U+0E07><U+0E15><U+0E4C><U+0E01><U+0E31><U+0E1A><U+0E04><U+0E27><U+0E32><U+0E21><U+0E1E><U+0E22><U+0E32><U+0E22><U+0E32><U+0E21><U+0E04><U+0E27><U+0E49><U+0E32><U+0E15><U+0E31><U+0E27><U+0E2D><U+0E32><U+0E40><U+0E14><U+0E23><U+0E35>…",FALSE,0,,2018-07-11 06:53:40,FALSE,,"1016938556063748097",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","focusasm",5,TRUE,FALSE,,
"Otra muesca mas en el revolver de d10s, #Messi the best only #FCBarcelona, alguien sabe decirme cuantos lleva tito… https://t.co/KRNYFT9Hfa",FALSE,0,,2018-07-11 06:46:51,TRUE,,"1016936840597790721",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ricard1714",0,FALSE,FALSE,,
"@lequipe @RMCsport : @hazardeden10 , seul joueur de champ belge au niveau hier soir, est-il au courant que la posse… https://t.co/xIHr9Nj9mX",FALSE,0,"lequipe",2018-07-11 06:43:29,TRUE,,"1016935995500060673","18936161","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JB_Bollard",0,FALSE,FALSE,,
"#fcbarcelona store &amp; museum was awesome to stumble on.  Their posters from different eras were a cool throwback… https://t.co/hTdcrnEjzr",FALSE,0,,2018-07-11 06:41:31,TRUE,,"1016935499238240256",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","santoshum",0,FALSE,FALSE,"2.17431245","41.40286852"
