"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @rameshlaus: In #Sarkar , #Thalapathy @actorvijay 's character will be similar to #Google 's #SundarPichai - A hi-tech executive living…",FALSE,0,,2018-07-11 08:37:20,FALSE,,"1016964647511998464",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Rkarthikvg",308,TRUE,FALSE,,
"RT @timand2037: How #Google, #AlJazeera and #AlQaeda worked with Hillary #Clinton 's State Department for 'regime change' in #Syria . Thank…",FALSE,0,,2018-07-11 08:37:14,FALSE,,"1016964620383408128",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FtJ13216153",153,TRUE,FALSE,,
"RT @rameshlaus: In #Sarkar , #Thalapathy @actorvijay 's character will be similar to #Google 's #SundarPichai - A hi-tech executive living…",FALSE,0,,2018-07-11 08:37:13,FALSE,,"1016964618206392320",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jerin2015",308,TRUE,FALSE,,
"RT @MissAdamson1: A Great @FinhamMAT #TeachMeet Today, Talking all things #Google @FrogEducation #Assessment @Talk4Writing &amp; IPADs. Some gr…",FALSE,0,,2018-07-11 08:37:13,FALSE,,"1016964614985273345",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","bernadettefaga3",6,TRUE,FALSE,,
"#Apple et #Google sommés de révéler ce qu'ils font de vos #données https://t.co/mA9EKpFgMt",FALSE,0,,2018-07-11 08:37:06,FALSE,,"1016964588963811329",,"<a href=\"http://app.sociabble.com\" rel=\"nofollow\">SociabbleApp</a>","MarrauddesGrot",0,FALSE,FALSE,,
"Visit https://t.co/LlVioOAcjT our 1st #Google #1 Ranked #offbeat #cartoon shop 4 #craziest #beer steins &amp;amp; funny gifts by @LTCartoons",FALSE,0,,2018-07-11 08:37:01,FALSE,,"1016964568092946432",,"<a href=\"https://www.tweetsuite.com/\" rel=\"nofollow\">Tweet Suite</a>","ricklondon",0,FALSE,FALSE,,
"RT @timand2037: How #Google, #AlJazeera and #AlQaeda worked with Hillary #Clinton 's State Department for 'regime change' in #Syria . Thank…",FALSE,0,,2018-07-11 08:37:00,FALSE,,"1016964562527182848",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","jobwithinternet",153,TRUE,FALSE,,
"#Google lance 4 nouveaux produits publicitaires, dont les annonces responsives https://t.co/5grfmyFJvq https://t.co/hvQfBFxICu",FALSE,0,,2018-07-11 08:36:57,FALSE,,"1016964547368742912",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","LaVeilleTech",0,FALSE,FALSE,,
"RT @rameshlaus: In #Sarkar , #Thalapathy @actorvijay 's character will be similar to #Google 's #SundarPichai - A hi-tech executive living…",FALSE,0,,2018-07-11 08:36:11,FALSE,,"1016964354380480512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jaiponting10",308,TRUE,FALSE,,
"RT @LEXITco: Did you know that, in 2016, mid-range M&amp;As represented $3.63 trillion in deals?
Or that in 2016 #Google won 2457 patents?
How…",FALSE,0,,2018-07-11 08:36:09,FALSE,,"1016964347292090368",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Trade_Crypto255",4,TRUE,FALSE,,
"RT @MikeQuindazzi: #AlphaZero learns chess, invents moves, defeats #human masters &gt;&gt; @wef via @MikeQuindazzi &gt;&gt; #Google #AI #MachineLearnin…",FALSE,0,,2018-07-11 08:35:58,FALSE,,"1016964301792448512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MathemaGeekal",155,TRUE,FALSE,,
"#100DaysOfCode After Two Hour's Of Code I complete and Understanding of little bit about Python. Now Again going fo… https://t.co/p5ZGdrdYj6",FALSE,0,,2018-07-11 08:35:58,TRUE,,"1016964301607743488",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","VipulAg89894905",0,FALSE,FALSE,,
"RT @BellaMagnani: @aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-#Brexit camp…",FALSE,0,,2018-07-11 08:35:54,FALSE,,"1016964285929488384",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AngelFoxToday71",5,TRUE,FALSE,,
"RT @MysteryMan7860: #DigitalMarketing  Tools
#PPC #wordpressplugins #SEOTalk #SEM #SMM #advertising #MarketingAutomation #moz #affiliate #k…",FALSE,0,,2018-07-11 08:35:51,FALSE,,"1016964270809059329",,"<a href=\"http://www.gagnelaw.ca\" rel=\"nofollow\">Marco </a>","OttLegalRebels",1,TRUE,FALSE,,
"RT @jeffdavisshow: 10 July 2018

God of Abraham
Inspires &amp; Protects me
- jd

#Twitter #Pinterest #Google
#Facebook
#Instagram
#tumblr
#Endt…",FALSE,0,,2018-07-11 08:35:21,FALSE,,"1016964147282669568",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jeffdavisshow",1,TRUE,FALSE,,
"#Apple et #Google sommés de révéler ce qu'ils font de vos #données https://t.co/SMcRc8UgsI",FALSE,0,,2018-07-11 08:35:15,FALSE,,"1016964121269501953",,"<a href=\"http://app.sociabble.com\" rel=\"nofollow\">SociabbleApp</a>","WoltersKluwerFr",0,FALSE,FALSE,,
"RT @BellaMagnani: @aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-#Brexit camp…",FALSE,0,,2018-07-11 08:35:03,FALSE,,"1016964072997351424",,"<a href=\"https://fightbacksurveillancecapitalism.now\" rel=\"nofollow\">SurvCap_bot</a>","SurvCap_bot",5,TRUE,FALSE,,
"RT @myposeo: Découvrez l'offre Myposeo Starter qui aide les petites entreprises à suivre leur visibilité #SEO sur les moteurs de recherche…",FALSE,0,,2018-07-11 08:35:02,FALSE,,"1016964067838349313",,"<a href=\"http://www.social-dynamite.com\" rel=\"nofollow\">Social Dynamite</a>","CaroMotard",3,TRUE,FALSE,,
"RT @IndianEclub: Pay Per Click Process. #DigitalMarketing  #Infographic
#GrowthHacking #Marketing #GoogleMarketingLive #Google #ContentMark…",FALSE,0,,2018-07-11 08:34:52,FALSE,,"1016964025052262400",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RC_Digtial",9,TRUE,FALSE,,
"RT @timand2037: How #Google, #AlJazeera and #AlQaeda worked with Hillary #Clinton 's State Department for 'regime change' in #Syria . Thank…",FALSE,0,,2018-07-11 08:34:37,FALSE,,"1016963963463131136",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","lamjono",153,TRUE,FALSE,,
