"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#Gametoday #ENGCRO #ENG #ThreeLions #WorldCupRussia2018 #Semifinals #WorldCup #GarethSouthgate futuresquad… https://t.co/tPzywjKW44",FALSE,1,,2018-07-11 07:01:43,TRUE,,"1016940584139927553",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
"RT @4eHStyles: I saw an angel...
I really saw an angel...
#HarryStylesLiveOnTourSacramento 
#TreatPeopleWithKindness 
#TreatHarryWithKindne…",FALSE,0,,2018-07-10 23:05:37,FALSE,,"1016820768271949825",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Piki_DaysOfYH",1,TRUE,FALSE,,
"RT @4eHStyles: I saw an angel...
I really saw an angel...
#HarryStylesLiveOnTourSacramento 
#TreatPeopleWithKindness 
#TreatHarryWithKindne…",FALSE,0,,2018-07-10 23:05:32,FALSE,,"1016820749124980736",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Piki_DaysOfYH",2,TRUE,FALSE,,
"Breaking #FRABEL #Finalscore1-0 #FRA is in #WorldCupRussia2018 #WorldCupFinal see you on Sunday with #Eng… https://t.co/VJyXz1nX7v",FALSE,1,,2018-07-10 19:59:19,TRUE,,"1016773885419839489",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
"#Gametoday smile and whole world smiles with you #RAF100 #Portsmouthnews #Harry_styles #Newyorktimes #HRH #Schofe… https://t.co/S5Z4Co1blB",FALSE,2,,2018-07-10 15:41:12,TRUE,,"1016708929529794565",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
"RT @4eHStyles: I saw an angel...
I really saw an angel...
#HarryStylesLiveOnTourSacramento 
#TreatPeopleWithKindness 
#TreatHarryWithKindne…",FALSE,0,,2018-07-10 14:51:41,FALSE,,"1016696466293841921",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sunny19592014",2,TRUE,FALSE,,
"I saw an angel...
I really saw an angel...
#HarryStylesLiveOnTourSacramento 
#TreatPeopleWithKindness… https://t.co/nJwJV03TiF",FALSE,4,,2018-07-10 14:09:14,TRUE,,"1016685782927577089",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","4eHStyles",2,FALSE,FALSE,,
"#Breakingnews #RAF100 celebrations #TinaHelmeGlobal #Portsmouthnews #Harry_styles #Newyorktimes #HRH #Schofe. X @ G… https://t.co/WB6Nlv5KUq",FALSE,2,,2018-07-10 13:51:01,TRUE,,"1016681196875546625",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","TinaHelmeGlobal",0,FALSE,FALSE,"-1.13333","50.8"
"Can #ThaiCaveRescue boys be given mobile phones to let the world know how they are feeling all 12+coach out safely?… https://t.co/7klmvvSyR0",FALSE,1,,2018-07-10 13:20:59,TRUE,,"1016673640023281664",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
"#Breaking  #RAF100 #Redarrows finish centenary celebrations at same time all #ThaiCaveRescue boys are out of caves… https://t.co/zJWi7FrObI",FALSE,2,,2018-07-10 13:02:14,TRUE,,"1016668922152718336",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
"<U+0641><U+0642><U+0637> <U+0631><U+0648><U+06CC> #harry_styles <U+06A9><U+0631><U+0627><U+0634> <U+062F><U+0627><U+0631><U+0645> <ed><U+00A0><U+00BD><ed><U+00B8><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+00BB> https://t.co/TRnct9WHof",FALSE,36,,2018-07-10 10:46:23,FALSE,,"1016634734259171328",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","annajupiter",1,FALSE,FALSE,,
"RT @TinaHelmeGlobal: Prayers you are ok? #GeorgeClooney heard you in hospital #Sardina #Italt #Motorcycle accident  #Portsmouthnews #Harry_…",FALSE,0,,2018-07-10 10:17:45,FALSE,,"1016627527027216385",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","medicojunghiano",1,TRUE,FALSE,,
"Prayers you are ok? #GeorgeClooney heard you in hospital #Sardina #Italt #Motorcycle accident  #Portsmouthnews… https://t.co/irwSKMDZPA",FALSE,0,,2018-07-10 10:13:40,TRUE,,"1016626501880631296",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",1,FALSE,FALSE,,
"#Gametoday believe #FootballsComingHome retweet if you do #Eng #ENGCRO #Semifinals #Thialandcaveboys coach rescuers… https://t.co/MVvJIxaV4n",FALSE,2,,2018-07-10 08:17:53,TRUE,,"1016597362112950272",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","TinaHelmeGlobal",0,FALSE,FALSE,,
