"x"
"1" "gametoday engcro eng threelions worldcuprussia semifinals worldcup garethsouthgate futuresquad…"
"2" "rti saw an angel
i really saw an angel
harrystylesliveontoursacramento 
treatpeoplewithkindness 
treatharrywithkindne…"
"3" "rti saw an angel
i really saw an angel
harrystylesliveontoursacramento 
treatpeoplewithkindness 
treatharrywithkindne…"
"4" "breaking frabel finalscore fra is in worldcuprussia worldcupfinal see you on sunday with eng…"
"5" "gametoday smile and whole world smiles with you raf posmouthnews harrystyles newyorktimes hrh schofe…"
"6" "rti saw an angel
i really saw an angel
harrystylesliveontoursacramento 
treatpeoplewithkindness 
treatharrywithkindne…"
"7" "i saw an angel
i really saw an angel
harrystylesliveontoursacramento 
treatpeoplewithkindness…"
"8" "breakingnews raf celebrations tinahelmeglobal posmouthnews harrystyles newyorktimes hrh schofe xg…"
"9" "can thaicaverescue boys be given mobile phones to let the world know how they are feeling all coach out safely…"
"10" "breakingraf redarrows finish centenary celebrations at same time all thaicaverescue boys are out of caves…"
"11" "<U+0641><U+0642><U+0637> <U+0631><U+0648><U+06CC> harrystyles <U+06A9><U+0631><U+0627><U+0634> <U+062F><U+0627><U+0631><U+0645> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E62>"
"12" "rtprayers you are ok georgeclooney heard you in hospital sardina italt motorcycle accidentposmouthnews harry…"
"13" "prayers you are ok georgeclooney heard you in hospital sardina italt motorcycle accidentposmouthnews…"
"14" "gametoday believe footballscominghome retweet if you do eng engcro semifinals thialandcaveboys coach rescuers…"
"15" "i saw an angel
i really saw an angel
harrystylesliveontoursacramento 
treatpeoplewithkindness…"
"16" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"17" "rtnytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake bbcbreaking s…"
"18" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"19" "congratulations on your engagement justinbeiber haileybaldwin tinahelme posmouthnews newyorktimes hrh…"
"20" "rtdo we have beauty <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>
ne abbiamo di bellezza <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65>
harrystyles harrystylestour harrystyles style harry styles onedirec…"
"21" "do we have beauty <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35>
ne abbiamo di bellezza <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E65>
harrystyles harrystylestour harrystyles style harry styles…"
"22" "breaking winner of britishgp is vettel lewishamilton nd after near crash sta proud if you harrystyles…"
"23" "breaking britishgp ericsson crashes then walks away silverstone f lewishamilton rd at moment…"
"24" "rtbreakingboys are now out of the thaicaverescue prayers to all lewishamilton posmouthnews harrystyles newy…"
"25" "rtbreakingboys are now out of the thaicaverescue prayers to all lewishamilton posmouthnews harrystyles newy…"
"26" "breakingboys are now out of the thaicaverescue prayers to all lewishamilton posmouthnews harrystyles…"
"27" "breakingnews boys have been rescued from thaicaverescue thank god posmouthnews harrystyles newyorktimes…"
"28" "rtplease watch and retweet thaicaverescue posmouthnews harrystyles newyorktimes hrh schofex …"
"29" "please watch and retweet thaicaverescue posmouthnews harrystyles newyorktimes hrh schofex"
"30" "breakingnews eng to play croatiain worldcuprussia worldcup semifinals posmouthnews harrystyles…"
"31" "relax its not a dream eng are in worldcup semifinals semifinals jackserendipity posmouthnews harrystyles…"
"32" "dreams do come true engsweeng are in semifinalslewishamilton what a fantastic day for spo f…"
"33" "gametoday lewishamilton time to drive here gospo to watch eng engswethreelions soon as you finish f…"
"34" "breakingnews haley crashes suspension failuref f he is walking yet taken to medical centre prayers he…"
"35" "gametoday engswe semifinals loom eng visualise yourselves holding up worldcuprussia worldcup football un…"
"36" "breakingnews urufraposmouthnews harrystyles newyorktimes hrh schofe fridayfeeling…"
"37" "gametoday practiceday silverstone lewishamilton like you f worldcuprussia worldcup eng…"
"38" "breaking thialandcaveboys navy seals plan to attempt to rescue boys today friday or tomorrow saturdayprayers f…"
"39" "<U+26A1><U+FE0F> “worldcuprussia tinahelmeglobal ” byposmouthnews newyorktimes harrystyles hrh…"
"40" "rtnope im not okay
oh anna<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36>
harrystylesliveontourdenver
treatpeoplewithkindness
tweetpeoplewithkindness 
harry…"
"41" "gametoday happybihdaynhsnhs congratulationsdoctorsday nursesrock say miracles my life was saved aged…"
"42" "rtnope im not okay
oh anna<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36>
harrystylesliveontourdenver
treatpeoplewithkindness
tweetpeoplewithkindness 
harry…"
"43" "nope im not okay
