"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @BellaMagnani: @aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-#Brexit camp…",FALSE,0,,2018-07-11 08:33:10,FALSE,,"1016963597388300288",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","laura_s_parker",4,TRUE,FALSE,,
"@garcia_huff @FoxNews Uh, not true.  She has been CAUGHT &amp; she &amp; her lawyers are doing all they can to delay.  

Sh… https://t.co/ZzlcybH3qJ",FALSE,0,"garcia_huff",2018-07-11 08:27:31,TRUE,"1016877132499308544","1016962177226272770","984487388385771520","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","X4EST1945",0,FALSE,FALSE,,
"RT @BellaMagnani: @aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-#Brexit camp…",FALSE,0,,2018-07-11 08:27:28,FALSE,,"1016962160939929601",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Si5B70",4,TRUE,FALSE,,
"RT @HungryTrucker: Julian Assange Says Clinton Campaign Manager Podesta Had 7,300 Child Porn Images #Pizzagate #PedoGate #HillaryClinton
ht…",FALSE,0,,2018-07-11 08:26:38,FALSE,,"1016961952571166721",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","GypsyMajik1122",9,TRUE,FALSE,,
"RT @BellaMagnani: @aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-#Brexit camp…",FALSE,0,,2018-07-11 08:25:15,FALSE,,"1016961606717202434",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","BellaMagnani",4,TRUE,FALSE,,
"@aral Agreed. #surveillancecapitalism model is common to all major tech corporations. @carolecadwalla's anti-… https://t.co/63PipvdsUT",FALSE,3,"aral",2018-07-11 08:25:05,TRUE,"1016953238044725248","1016961563641688064","48903","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","BellaMagnani",4,FALSE,FALSE,,
"RT @dashman76: Hillary &amp; Bill's ties to Russia are deep.  Extremely deep.  

It's only talked about in two contexts: defend Trump + pay-for…",FALSE,0,,2018-07-11 08:19:40,FALSE,,"1016960198554972160",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KirkWald",3,TRUE,FALSE,,
"Some thoughts on #Hillary2020 :

How about you don't. 

#HillaryClinton #HillaryClinton2020",FALSE,0,,2018-07-11 08:19:26,FALSE,,"1016960139784605696",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","PoliticalWaiter",0,FALSE,FALSE,,
"Clinton Campaign Announces New Slogan #benghazi #dicks #hillaryclinton #liberalmadness  https://t.co/d4gGXmerKb https://t.co/TEB6CIJlY8",FALSE,0,,2018-07-11 08:13:12,FALSE,,"1016958570770980866",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","DwayneGish",0,FALSE,FALSE,,
"RT @HillaryPix: Hey Girl  #AngelaMerkel #HillaryClinton https://t.co/nfxXapTDuP",FALSE,0,,2018-07-11 08:12:12,FALSE,,"1016958322728144901",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","tovewinters",33,TRUE,FALSE,,
"No! Stop! so #Trump wins again.

Are there really no better candidates?

Okay. Last time, there were no good candid… https://t.co/TmPtm1WrbH",FALSE,0,,2018-07-11 08:10:42,TRUE,,"1016957944863305728",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MyFannia",0,FALSE,FALSE,,
"@SenateMajLdr How do you live with yourself? You refused to consider well-respected &amp; more than qualified… https://t.co/0aDwSd8MUY",FALSE,1,"SenateMajLdr",2018-07-11 07:57:18,TRUE,"1016419245050204161","1016954571627941888","1249982359","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","mickisuzette",0,FALSE,FALSE,,
"RT @twright55: #FBI notifies #Congress that certain FBI text message evidence is missing in the Congressional oversight probe into FBI hand…",FALSE,0,,2018-07-11 07:56:16,FALSE,,"1016954312382140416",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","orlandoandresm4",44,TRUE,FALSE,,
"#politics #political #trump #maga #hillaryclinton #BernieSanders #clinton #trumptrain #feminism #feminist #in… https://t.co/luegLcmxaG",FALSE,0,,2018-07-11 07:55:00,TRUE,,"1016953993493299200",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Nathan96076643",0,FALSE,FALSE,,
