"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Nesy21: Hola Hola!!

Aquí tenéis el video del Unboxing BodyBox Julio #SummerDays 
Espero que os guste!!

https://t.co/849hi9FIfg

#Elri…",FALSE,0,,2018-07-11 06:43:25,FALSE,,"1016935978534100992",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LifeLoversBcn",16,TRUE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 06:34:25,FALSE,,"1016933712305446913",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","misugren",52,TRUE,FALSE,,
"@JLo Y el disco en espanol pa cuando? <ed><U+00A0><U+00BD><ed><U+00B8><U+0081>#JLo #ElAnillo",FALSE,0,"JLo",2018-07-11 06:14:21,FALSE,"1016885008064114689","1016928663311249409","85603854","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","1SamuelMatos",0,FALSE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 06:10:25,FALSE,,"1016927673459736576",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CDingleman",52,TRUE,FALSE,,
"@Try2BASingleMum @blendedmomma That is so positive! Makes my heart melt! It's like that movie with #JLO and the guy… https://t.co/IVGpQ3JCLo",FALSE,2,"Try2BASingleMum",2018-07-11 06:03:55,TRUE,"1016802808690036743","1016926038356582400","911558763143991302","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","thislifebe",0,FALSE,FALSE,,
"RT @DivoAndTheCity: <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>The Latin Queen #JLo will release the #ElAnilloRemix featuring #Ozuna THIS FRIDAY!!! <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> https://t.co/ouc4PCiyvX",FALSE,0,,2018-07-11 06:02:09,FALSE,,"1016925594234376193",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_rosaahernandez",7,TRUE,FALSE,,
"#JLo straight out hatin' on #BrunoMars' song #VersaceOnTheFloor... SMH",FALSE,0,,2018-07-11 05:59:23,FALSE,,"1016924894351650817",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","VideoWebb",0,FALSE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 05:52:06,FALSE,,"1016923063764602880",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","polls_superhero",52,TRUE,FALSE,,
"#Repost clarissatvfans (get_repost)
···
Cuando y ponen tu canción Favorita esta es mi reacción!!!
.
.
.
.
#jlo… https://t.co/3NCj438Lxk",FALSE,0,,2018-07-11 05:45:27,TRUE,,"1016921391826862080",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","TeamClarissaNBL",0,FALSE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 05:13:44,FALSE,,"1016913406543220737",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","heczillaprime",52,TRUE,FALSE,,
"La Platina Pa Cuando? <ed><U+00A0><U+00BD><ed><U+00B2><U+00BF>

Durante la actualización de esta semana, la canción el anillo de Jennifer Lopez fue certif… https://t.co/AqDpN1Ytol",FALSE,0,,2018-07-11 04:58:20,TRUE,,"1016909533107638272",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Jesuslo30",0,FALSE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 04:57:53,FALSE,,"1016909420838735873",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","XiggyMatsu",52,TRUE,FALSE,,
"Love you #JLo btw !! <U+2665><U+FE0F>",FALSE,0,"osvi2014",2018-07-11 04:42:33,FALSE,"1016902648874840064","1016905561735036928","2433233743","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","osvi2014",0,FALSE,FALSE,,
"That feeling when @jlo acknowledges that you exist. <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> I totally had to get my wife to help translate what she twee… https://t.co/tEDfw0Ml9l",FALSE,1,,2018-07-11 04:26:45,TRUE,,"1016901582837907456",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RyanBartholomee",0,FALSE,FALSE,,
"RT @TerryDodsonArt: Green Thoughts

Work in Progress Cover Colors

Rachel Dodson Inks
Pencils/Colors Me

 #greenlantern #jessicacruz @STAEM…",FALSE,0,,2018-07-11 04:17:32,FALSE,,"1016899265929441282",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LethalLightnin",52,TRUE,FALSE,,
"Awww so happy for you! Proud to call myself 'JLover' You deserved it baby!

You're our number 1 ! #ElAnillo #JLo… https://t.co/FWmBJvR2AF",FALSE,0,,2018-07-11 04:02:38,TRUE,,"1016895514673963008",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JLoLovesMeToo",0,FALSE,FALSE,,
"https://t.co/5kmVWkHXku
Because #bronze legs are the best #legs... thanks to @kismetcosmetics<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2728><ed><U+00A0><U+00BC><ed><U+00BC><U+009F><U+2B50><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>#bronzegoddess… https://t.co/ntQHLLWnbY",FALSE,0,,2018-07-11 03:43:56,TRUE,,"1016890807725387776",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","VioletKanian",0,FALSE,FALSE,,
