"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kyliesnapsongs: #03Greedo - Sweet Lady
with #KendallJenner

#KylieJenner

https://t.co/WWsvQthewg https://t.co/3Ct3VTiJD0",FALSE,0,,2018-07-11 08:11:28,FALSE,,"1016958134286454784",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: #ShorelineMafia - Musty
with #KendallJenner

#KylieJenner

https://t.co/VGlvNgdIkn https://t.co/Ynaxk03OjC",FALSE,0,,2018-07-11 08:11:00,FALSE,,"1016958016946655232",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: #Beyoncé - 7/11
with #KendallJenner #CaraDelevingne

#throwback #KylieJenner

Copyrighted music, video with sound <U+2B07><U+FE0F>
ht…",FALSE,0,,2018-07-11 07:48:56,FALSE,,"1016952465848262656",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @roseskendalls: So beautiful, drawing of kendall by heartlinesss on Instagram <ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
@KendallJenner #kendalljenner https://t.co/8XdWVjBgz0",FALSE,0,,2018-07-11 07:46:21,FALSE,,"1016951815189852161",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","_Miigguel",4,TRUE,FALSE,,
"RT @kyliesnapsongs: #JCole - Kevin's Heart

#KylieJenner #KhloeKardashian #KendallJenner #KimKardashian

https://t.co/5Cd7PJsUb8 https://t.…",FALSE,0,,2018-07-11 07:39:25,FALSE,,"1016950070418313216",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",2,TRUE,FALSE,,
"RT @roseskendalls: So beautiful, drawing of kendall by heartlinesss on Instagram <ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
@KendallJenner #kendalljenner https://t.co/8XdWVjBgz0",FALSE,0,,2018-07-11 07:37:39,FALSE,,"1016949625872252930",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kendalljfansph",4,TRUE,FALSE,,
"RT @roseskendalls: So beautiful, drawing of kendall by heartlinesss on Instagram <ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
@KendallJenner #kendalljenner https://t.co/8XdWVjBgz0",FALSE,0,,2018-07-11 07:34:16,FALSE,,"1016948774315307008",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","amctive",4,TRUE,FALSE,,
"So beautiful, drawing of kendall by heartlinesss on Instagram <ed><U+00A0><U+00BD><ed><U+00B5><U+00B6><ed><U+00A0><U+00BD><ed><U+00B6><U+00A4><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>
@KendallJenner #kendalljenner https://t.co/8XdWVjBgz0",FALSE,8,,2018-07-11 07:30:32,FALSE,,"1016947835546238976",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","roseskendalls",4,FALSE,FALSE,,
"I’m sorry if I’m an style icon since 2004 #bellahadid #KendallJenner #pochets #style https://t.co/7xxsiLmxf4",FALSE,1,,2018-07-11 07:00:51,FALSE,,"1016940366497505282",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ligialimarosa",0,FALSE,FALSE,,
"I nominate #KendallJenner from #USA for #100MostBeautifulFaces2018
#TCCandler https://t.co/95rwShxAqM",FALSE,0,,2018-07-11 04:39:13,FALSE,,"1016904720760307712",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ChainedToGaga",0,FALSE,FALSE,,
