"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@KevinHart4real I was reading your while waiting to be seen by the doctor today. I to control the outbursts of my l… https://t.co/ZQ0kNhPD1Y",FALSE,0,"KevinHart4real",2018-07-11 00:30:33,TRUE,,"1016842144303198208","23151437","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Rocket0324",0,FALSE,FALSE,,
"@KevinHart4real Some more not funny shit ha ha hell <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>  when is the new Friday coming #kevinhart4real #epps",FALSE,0,"KevinHart4real",2018-07-10 15:40:37,FALSE,"1016456209136676864","1016708779688198144","23151437","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","mike_teasy",0,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/DA7PHROaxM",FALSE,0,,2018-07-10 00:45:51,TRUE,,"1016483604539424768",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @vestelshirley: #nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake #BBCBreaking #S…",FALSE,0,,2018-07-09 22:38:28,FALSE,,"1016451549902594049",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/vSVl1gl3Vu",FALSE,0,,2018-07-09 22:33:24,TRUE,,"1016450274699988994",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",1,FALSE,FALSE,,
"EXPERIENCE RICKEY DILLIAN MOVEMENT TO A GREAT ADVENTURE #KIMKARDASHIAN #KEVINHART4REAL #WOMENWEARS #WORLDSTAR… https://t.co/od62Le1BnW",FALSE,1,,2018-07-09 01:37:28,TRUE,,"1016134207763111936",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rickeydillian",0,FALSE,FALSE,,
"@Tshepisokt13 @Bucie_M22 I love Mr Hart on Acting more than stand-Up comedy ,and Trevor on Standup comedy...... so… https://t.co/DTUvedIB8r",FALSE,3,"Tshepisokt13",2018-07-08 23:45:37,TRUE,"1015631190836039681","1016106057532395520","736207582738665473","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SaddamZakeeya",0,FALSE,FALSE,,
"Had such an amazing time at the Kevin Hart show last night! My sides hurt from laughing so much #kevinhart… https://t.co/4gxhB3He2M",FALSE,0,,2018-07-08 17:05:45,TRUE,,"1016005430311575552",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ClayEdwards",0,FALSE,FALSE,,
"EXPERIENCE RICKEY DILLIAN MOVEMENT TO A GREAT ADVENTURE #KIMKARDASHIAN #KEVINHART4REAL #WOMENWEARS #WORLDSTAR… https://t.co/z7ECHkL7cT",FALSE,2,,2018-07-07 16:43:33,TRUE,,"1015637454026674176",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rickeydillian",0,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/sVtKIAD7mq",FALSE,0,,2018-07-03 21:25:53,TRUE,,"1014258953671315456",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
