"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"KIM KARDASHIAN Wears Crucifix-Adorned GOLD DRESS at Met https://t.co/LAN1Fwz73u #balmain #kimkardashian #metgala https://t.co/eQMyMgR00w",FALSE,0,,2018-07-11 08:05:07,FALSE,,"1016956536264929280",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","AaronRFernandes",0,FALSE,FALSE,,
"RT @kyliesnapsongs: Happy Mother's Day <ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A6> #MothersDay

#KylieJenner #KourtneyKardashian #KimKardashian #KhloeKardashian https://t.co/oNm…",FALSE,0,,2018-07-11 08:02:18,FALSE,,"1016955828191014912",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",2,TRUE,FALSE,,
"RT @morandiniblog: Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien ! #kimkardashian #ka…",FALSE,0,,2018-07-11 08:00:32,FALSE,,"1016955383913566208",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","flubber1972",6,TRUE,FALSE,,
"RT @kyliesnapsongs: Saint &amp; Chicago <ed><U+00A0><U+00BE><ed><U+00B4><U+0097>

#KimKardashian #KanyeWest #SaintWest #ChicagoWest

https://t.co/CoD29MEHPl https://t.co/figIMRgC3O",FALSE,0,,2018-07-11 07:56:48,FALSE,,"1016954443437412352",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @morandiniblog: Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien ! #kimkardashian #ka…",FALSE,0,,2018-07-11 07:54:14,FALSE,,"1016953800987377665",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","QuentinAuditore",6,TRUE,FALSE,,
"RT @TMZ: Kim Kardashian has OFFICIALLY been endorsed for President of the United States! #kimkardashian #thegame #kim2020 https://t.co/pD0D…",FALSE,0,,2018-07-11 07:53:45,FALSE,,"1016953676630495233",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","iamninosilas",44,TRUE,FALSE,,
"RT @morandiniblog: Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien ! #kimkardashian #ka…",FALSE,0,,2018-07-11 07:53:40,FALSE,,"1016953655700918273",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PascalCostanti1",6,TRUE,FALSE,,
"RT @TMZ: Kim Kardashian has OFFICIALLY been endorsed for President of the United States! #kimkardashian #thegame #kim2020 https://t.co/pD0D…",FALSE,0,,2018-07-11 07:53:31,FALSE,,"1016953619864784896",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AmandaPuhleaze",44,TRUE,FALSE,,
"RT @kyledunnigan: #KimKardashian #pumpkinman #trippingballs https://t.co/mTLvOpCVPv",FALSE,0,,2018-07-11 07:50:31,FALSE,,"1016952864944672768",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BarryGa56541252",45,TRUE,FALSE,,
"RT @kyliesnapsongs: Precious <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><U+FE0F>

#KimKardashian #ChicagoWest #SaintWest #NorthWest #KanyeWest https://t.co/vIP7Ax1Ydl",FALSE,0,,2018-07-11 07:50:20,FALSE,,"1016952816223621121",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @morandiniblog: Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien ! #kimkardashian #ka…",FALSE,0,,2018-07-11 07:49:59,FALSE,,"1016952730055794698",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","stefia17",6,TRUE,FALSE,,
"RT @morandiniblog: Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien ! #kimkardashian #ka…",FALSE,0,,2018-07-11 07:49:43,FALSE,,"1016952664276590592",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Coc0_OM",6,TRUE,FALSE,,
"RT @kyliesnapsongs: #KanyeWest - Ghost Town
with #KimKardashian

#KylieJenner

https://t.co/vuW5eokLRh https://t.co/wri47re7S1",FALSE,0,,2018-07-11 07:49:41,FALSE,,"1016952656311607297",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: Chicago is Kim's twin <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#ChicagoWest #KimKardashian #KanyeWest

https://t.co/A0RK0qxWhj https://t.co/974FDdbUsv",FALSE,0,,2018-07-11 07:46:43,FALSE,,"1016951905967333377",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"Kim Kardashian a dépensé plus de 10 000 dollars pour faire poser ... de faux testicules à son chien !… https://t.co/IuvHFgufLp",FALSE,4,,2018-07-11 07:45:49,TRUE,,"1016951680531877888",,"<a href=\"http://www.jeanmarcmorandini.com/\" rel=\"nofollow\">Application @morandiniblog</a>","morandiniblog",6,FALSE,FALSE,,
"RT @kyliesnapsongs: Damn Kim <ed><U+00A0><U+00BD><ed><U+00B2><U+00A3>
<ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> #Nas - everything (feat. #TheDream &amp; #KanyeWest)

#KimKardashian via Instagram stories

Copyrighted music,…",FALSE,0,,2018-07-11 07:44:20,FALSE,,"1016951306773200896",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: Travis, Kylie, Kim &amp; Kanye at Virgil Abloh's first Louis Vuitton's Fashion Show <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7>

#KylieJenner #KimKardashian #KanyeW…",FALSE,0,,2018-07-11 07:43:09,FALSE,,"1016951008130469888",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"10 Interesting Facts About Kim Kardashian https://t.co/wmqpl0CItJ #KimKardashian #Kim #top10now #top10",FALSE,2,,2018-07-11 07:42:34,FALSE,,"1016950864135835648",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NowTop10",0,FALSE,FALSE,,
