"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Dear Mr. @LeoDiCaprio! Near Lake Baikal (In city of Irkutsk) from 18.09 to 21.09 takes place 2nd International Ecol… https://t.co/HpZrAMGxUH",FALSE,0,,2018-07-11 07:31:09,TRUE,,"1016947989133213696",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","BaikalFilmFest",0,FALSE,FALSE,,
"Starting a large  'Wolf of Wall Street'  commission <ed><U+00A0><U+00BD><ed><U+00B0><U+00BA>
Swipe <U+27A1><U+FE0F> to see The Wolf £50 <ed><U+00A0><U+00BD><ed><U+00B2><U+00B7><ed><U+00A0><U+00BD><ed><U+00B2><U+00B2>
.
#wolfofwallstreet… https://t.co/IDwKRvNI5h",FALSE,0,,2018-07-10 20:17:03,TRUE,,"1016778347035033600",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Dan_Pearce_Art",0,FALSE,FALSE,"-0.12731805","51.50711486"
"Dude we #talk #kardashians #dating #life #death #leodicaprio and so much more in this #makeup #beautyvlog where you… https://t.co/iQCVhxzUg8",FALSE,0,,2018-07-10 18:04:05,TRUE,,"1016744887234916352",,"<a href=\"http://www.echofon.com/\" rel=\"nofollow\">Echofon</a>","RubiPTHearts",0,FALSE,FALSE,,
"RT @Zeyloveten3: LadbibleApp #LeoDiCaprio Amenemhat I https://t.co/j4WoaH6kID",FALSE,0,,2018-07-10 17:11:54,FALSE,,"1016731754244247552",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Sha3n1oJones",1,TRUE,FALSE,,
"The Margos work the long con in this ep talking about all things #CatchMeIfYouCan #BookVsMovie You can dload/stream… https://t.co/fdUPua5N8c",FALSE,0,,2018-07-10 15:11:02,TRUE,,"1016701337411702785",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","bookversusmovie",0,FALSE,FALSE,,
"RT @deppsvideos: Young #JohnnyDepp &amp; #LeoDiCaprio <ed><U+00A0><U+00BD><ed><U+00B8><U+008F> https://t.co/PPzYbFhHW2",FALSE,0,,2018-07-10 14:37:46,FALSE,,"1016692963517353989",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kirasxna",7,TRUE,FALSE,,
"Catch me if you can

#leonardodicaprio #dicaprio #leodicaprio #fineliner #ink #catchmeifyoucan #sketch #artist #art… https://t.co/q6RNfCIOW2",FALSE,0,,2018-07-10 14:14:08,TRUE,,"1016687015721566208",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AlcShot_",0,FALSE,FALSE,,
"RT @MFederal995: #Mañana #Miércoles hay #columnadeCaro @CarolaCanstatt #cine: #Tarantino reune en su próxima pelicula a #BradPitt y a #LeoD…",FALSE,0,,2018-07-10 13:38:38,FALSE,,"1016678081937932289",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","silvipres",1,TRUE,FALSE,,
"#Mañana #Miércoles hay #columnadeCaro @CarolaCanstatt #cine: #Tarantino reune en su próxima pelicula a #BradPitt y… https://t.co/S5tEA3vjNP",FALSE,1,,2018-07-10 13:37:28,TRUE,,"1016677790224089088",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MFederal995",1,FALSE,FALSE,,
"#Reuters #aplusk #LeoDiCaprio #AlejandroSanz #NBA https://t.co/4zKrlr4SFM",FALSE,0,,2018-07-10 00:46:20,FALSE,,"1016483727164215296",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
