"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Moje serce <ed><U+00A0><U+00BD><ed><U+00B8><U+00AB>
#niallhoran #NH #liampayne #Directioners #onedirection #louistomlinson #harrystyles #HS #zaynmalik… https://t.co/W2eOnHrvjT",FALSE,0,,2018-07-11 08:16:57,TRUE,,"1016959515907018752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","senselessnessxx",0,FALSE,FALSE,,
"Ankles in a ton of pain right now! Just randomly! It’s been a crazy day! 
.
#record #vinyl #inmydreams… https://t.co/TkazfKPKfr",FALSE,0,,2018-07-11 08:04:43,TRUE,,"1016956436797116418",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"I miss Where we going today mark!
.
#record #vinyl #inmydreams #LouisTomlinson #Louis #Freddie #freddietomlinson… https://t.co/sfxDPWR0Ju",FALSE,0,,2018-07-11 08:02:21,TRUE,,"1016955841218375680",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"Payno!
.
#record #vinyl #inmydreams #LouisTomlinson #Louis #Freddie #freddietomlinson #1D #OneDirection #LiamPayne… https://t.co/prisd1uuFJ",FALSE,0,,2018-07-11 08:02:14,TRUE,,"1016955812533735424",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","dwtshough",0,FALSE,FALSE,,
"RT @hugmepayne: @LiamPayne He's so precious <U+2764>
#LiamPayne
#TeenChoice #ChoiceFandom #Directioners @onedirection https://t.co/ITz9QcQTwK",FALSE,0,,2018-07-11 07:58:36,FALSE,,"1016954896157798403",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","zaaa_yn",5,TRUE,FALSE,,
"RT @heseating: Guys #directioners can you help me i really really want harry's merch since forever<ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><U+2763><U+FE0F>i'll do rtxrt for you guys<U+2763><U+FE0F> @giveaway…",FALSE,0,,2018-07-11 07:53:22,FALSE,,"1016953582661169154",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jeymie_Nollan",298,TRUE,FALSE,,
"RT @hugmepayne: @LiamPayne He's so precious <U+2764>
#LiamPayne
#TeenChoice #ChoiceFandom #Directioners @onedirection https://t.co/ITz9QcQTwK",FALSE,0,,2018-07-11 07:52:46,FALSE,,"1016953430802423808",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Zoriana53092644",5,TRUE,FALSE,,
"RT @FirstLightFF: 'Bells Will Be Ringing' Chapter 7 starring you, Niall Horan and the rest of 1D.

https://t.co/BJXa6QhxbA

#NiallHoran #On…",FALSE,0,,2018-07-11 07:48:48,FALSE,,"1016952430037295104",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Kemi3692",1,TRUE,FALSE,,
"'Bells Will Be Ringing' Chapter 7 starring you, Niall Horan and the rest of 1D.

https://t.co/BJXa6QhxbA… https://t.co/sPE2ClrUbx",FALSE,0,,2018-07-11 07:48:21,TRUE,,"1016952317864808449",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FirstLightFF",1,FALSE,FALSE,,
"RT @ZouiamxJ: Liam Payne - Let Me Beads Portrait. <U+2728>
•
I am finally done with my 2 days of working with my \"For You\" beads arts.
I hope you…",FALSE,0,,2018-07-11 07:42:27,FALSE,,"1016950834347806720",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ZouiamxJ",46,TRUE,FALSE,,
"RT @hugmepayne: I can't describe how much I love Liam, he is so important for me. He make me happy, I love his voice and I hope he's have a…",FALSE,0,,2018-07-11 07:29:04,FALSE,,"1016947465851830272",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","VaidhShikha",45,TRUE,FALSE,,
"RT @sosyalmedyanket: The World's Most Handsome Singer
1) #LiamPayne
2) #ShawnMendes
3) #JustinBieber
4) #MuratCeylanWish 
#mendesarmy #Beli…",FALSE,0,,2018-07-11 07:27:23,FALSE,,"1016947042684424193",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","hasretdemirsoy",29,TRUE,FALSE,,
"RT @ZouiamxJ: Liam Payne - Let Me Beads Portrait. <U+2728>
•
I am finally done with my 2 days of working with my \"For You\" beads arts.
I hope you…",FALSE,0,,2018-07-11 07:09:06,FALSE,,"1016942440928833538",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","signofthehiatus",46,TRUE,FALSE,,
"RT @R__J_B: My #TeenChoice #ChoiceFandom is #Directioners by @onedirection 
#Onedirectionbestfans 
#Onedirectionreunion
#LiamPayne
#HareySt…",FALSE,0,,2018-07-11 06:55:46,FALSE,,"1016939084961308672",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sheilahfajria1",51,TRUE,FALSE,,
"RT @shefzy09: Wait for it....  Myself and @vskeye 
<ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4>  LINKUP <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6>

#onedirection #TagsForLikesApp #harrystyles #niallhoran #zaynmalik #louis…",FALSE,0,,2018-07-11 06:38:40,FALSE,,"1016934782591266816",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"RT @WorldOfNews1DZ2: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B1>| Arte <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Liam via historia de 
Instagram 

-<ed><U+00A0><U+00BD><ed><U+00B1><U+0091>
#LiamPayne https://t.co/HAHmk95716",FALSE,0,,2018-07-11 06:30:09,FALSE,,"1016932639889084416",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","isabelajimene20",3,TRUE,FALSE,,
"#LiamPayne Lets His Son Bear Live With Cheryl https://t.co/HHLDhp2Kx1 https://t.co/yOiyGXJMxv",FALSE,0,,2018-07-11 06:25:16,FALSE,,"1016931411561832448",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","aceshowbiz",0,FALSE,FALSE,,
