"x"
"1" "rt<U+26A1>rt
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>best pick corazon byftx 
•
onherd music corazon maitregims lilwayne…"
"2" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"3" "rtnytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake bbcbreaking s…"
"4" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"5" "thatremix of vizine was wayyyyy too cold <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E37> whats yall favorite weezy track<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E64>
 kaycrazy…"
"6" "rtwe told you coming soon
available on
lilwayne weezy velvet funeral liltunechi rap…"
"7" "tu je všetko co zatial vieme o už asi milión rokov chystanom albume caerv <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E65> • cítajte viac <U+27A0>…"
"8" "rt<U+26A1>rt
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>best pick corazon byftx 
•
onherd music corazon maitregims lilwayne…"
"9" "rtthisalbum sounds like its gonna be a problem <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> liltunechi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E34>"
