"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 08:05:33,FALSE,,"1016956646285873152",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Fatemeh_sg",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 08:04:47,FALSE,,"1016956453632921600",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","EignavD",566,TRUE,FALSE,,
"RT @MileyCy75017819: #mileycyrus 
#mileycyrusplease 
#miley 
#cyrus 
#mileyraycyrus 
#destinyhopecyrus
#tishcyrus 
#cantbetamed 
#meetmiley…",FALSE,0,,2018-07-11 08:00:49,FALSE,,"1016955456332283904",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","AndrianGuevarra",1,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:57:47,FALSE,,"1016954691505270785",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","savethefetish",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:53:33,FALSE,,"1016953626751881216",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","jadesreggaeton",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:47:15,FALSE,,"1016952042546270209",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fachryspears",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:45:00,FALSE,,"1016951476885819392",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","eugivola",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:44:43,FALSE,,"1016951403561078785",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","newsmM2017",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:43:55,FALSE,,"1016951205032071169",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","backtomiIey",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:41:37,FALSE,,"1016950624414519296",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BacktoSellyG",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:41:02,FALSE,,"1016950475533488129",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MarlonLadeuth",566,TRUE,FALSE,,
"RT @xosweetenerxo: Hannah Montana Forever Love That Let's Go (Official Music Video)<ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B0><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD> #MileyCyrus @MileyCyrus @noahcyrus @billyraycyrus th…",FALSE,0,,2018-07-11 07:35:37,FALSE,,"1016949112913190912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","angxliyah",1,TRUE,FALSE,,
"RT @xosweetenerxo: <ed><U+00A0><U+00BE><ed><U+00B6><U+008B>Butterfly Fly Away - Hannah Montana<ed><U+00A0><U+00BE><ed><U+00B6><U+008B> #MileyCyrus @MileyCyrus @billyraycyrus https://t.co/yZTvoR3mU6",FALSE,0,,2018-07-11 07:35:23,FALSE,,"1016949057430937600",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","angxliyah",1,TRUE,FALSE,,
"RT @dis_delo: <U+4E45><U+3057><U+3076><U+308A><U+306B><U+753B><U+50CF><U+914D><U+5E03><U+3057><U+307E><U+3059>!!

<U+4ECA><U+56DE><U+306F><U+3001>
#MegDonnellyinJapan 
#SofiaCarson #DoveCameron
#Descendants2 #austinandally 
#GirlMeetsWorld #MileyCyrus…",FALSE,0,,2018-07-11 07:34:04,FALSE,,"1016948724117823488",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Rrei0527",34,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:33:11,FALSE,,"1016948502537146368",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MoonlightCroft",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:29:43,FALSE,,"1016947629236748288",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TheSmilerNation",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:26:59,FALSE,,"1016946943535218689",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ThildeGrande",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:18:58,FALSE,,"1016944925907324928",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sextbangerz",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:18:52,FALSE,,"1016944900812636160",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","menggaystan",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:14:12,FALSE,,"1016943724771921920",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","gomezorgocyrus",566,TRUE,FALSE,,
"RT @Fresh1027NY: Which do you wanna hear?!! RT for #MileyCyrus \"Party In The USA\", LIKE for #CamilaCabello \"Havana\"! ~@MikeAdamOnAir https:…",FALSE,0,,2018-07-11 07:13:44,FALSE,,"1016943605733314560",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","godcyruss",566,TRUE,FALSE,,
"—Me encanta esta imagen de Miley junto a su madre @tishcyrus. <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><U+2764><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>
#mileycyrus #smilers #tishcyrus… https://t.co/8gh8CVnE3o",FALSE,0,,2018-07-11 07:09:38,TRUE,,"1016942575838736384",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HechosMMCC",0,FALSE,FALSE,,
