"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Player1505: @NICKIMINAJ -Bayeza (Tag Ur Laugh Buddies<ed><U+00A0><U+00BD><ed><U+00B8><U+0081><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>)

#Player1505LipSync
#Player1505
#WelcomeBackHome
#NickiMinaj
#Edits
#Bayeza
#M…",FALSE,0,,2018-07-11 08:34:46,FALSE,,"1016963998795870208",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Modiehi01587522",328,TRUE,FALSE,,
"RT @IconicRobb: i love this interview <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> #nickiminaj https://t.co/8BpbSEr5lc",FALSE,0,,2018-07-11 08:34:32,FALSE,,"1016963942281773058",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SamMusicRSA",6,TRUE,FALSE,,
"RT @PresidentMaraj: Would we ship them?<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>
#nickiminaj #theweeknd https://t.co/87q5YngRpX",FALSE,0,,2018-07-11 08:32:51,FALSE,,"1016963518942400512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SamMusicRSA",26,TRUE,FALSE,,
"RT @nickiminajclipz: Goodbye , Goodnight <ed><U+00A0><U+00BD><ed><U+00B1><U+0091> #NickiMinaj https://t.co/5ErttB3W7z",FALSE,0,,2018-07-11 08:26:07,FALSE,,"1016961823097188352",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","oohNikaMinaj",0,TRUE,FALSE,,
"RT @PrissThePisces: #NickiMinaj fans REALLY sitting up here claiming #MissyElliot &amp; #LilKim is being paid by @AtlanticRecords to take NM do…",FALSE,0,,2018-07-11 08:25:23,FALSE,,"1016961637847326725",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","alayande123",3,TRUE,FALSE,,
"RT @kyliesnapsongs: #NickiMinaj - Barbie Tingz

#KylieJenner

Copyrighted music, video with sound <U+2B07><U+FE0F>
https://t.co/Cm2Diw4kdc https://t.co/t…",FALSE,0,,2018-07-11 08:25:02,FALSE,,"1016961550735863808",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: #NickiMinaj - Barbie Tingz

#KylieJenner

Copyrighted music, video with sound <U+2B07><U+FE0F>
https://t.co/5AWhDECSCu https://t.co/N…",FALSE,0,,2018-07-11 08:24:51,FALSE,,"1016961503575015424",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"NEW!!
#Nightcore #ArianaGrande #NickiMinaj #TheLightIsComing https://t.co/6CImfO2fta",FALSE,0,,2018-07-11 08:09:55,FALSE,,"1016957744929230849",,"<a href=\"https://www.google.com/\" rel=\"nofollow\">Google</a>","XxNightcoreMus1",0,FALSE,FALSE,,
"RT @YAYA_BEEN_ON: #BEDVIDEO countdown- #NickiMinaj https://t.co/tw9TcPPlno",FALSE,0,,2018-07-11 08:01:34,FALSE,,"1016955645818531840",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mmb09832152",4,TRUE,FALSE,,
"RT @Fanta436529215: #ReturnOfTheLittlePrince #NatureRepublicxEXO #NONTTANONT #NEXTthefirsttourinBKK #NamneungBNK48 #NetflixTH #nomin #Namsa…",FALSE,0,,2018-07-11 07:58:07,FALSE,,"1016954774690754560",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fanta436529215",2,TRUE,FALSE,,
