"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Did you find out your own *REAL* #SunSign https://t.co/shsoCN9lBm proper yet? #16SunSigns You didn't. #16SunSigns… https://t.co/yeK3s0jIDq",FALSE,0,,2018-07-11 08:18:26,TRUE,,"1016959889971863553",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","14KALKI17",0,FALSE,FALSE,,
"RT @Rapseedtv1: #NASA just can't seat this one out <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #Drake https://t.co/iZ4skuEns9",FALSE,0,,2018-07-11 08:18:09,FALSE,,"1016959818534477824",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Timothy70808189",10,TRUE,FALSE,,
"Did you find out your own *REAL* #SunSign https://t.co/gyQApHTDI7 proper yet? #16SunSigns You didn't. #16SunSigns… https://t.co/7i7GwW01O6",FALSE,0,,2018-07-11 08:17:18,TRUE,,"1016959603018489857",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","2025shift",0,FALSE,FALSE,,
"RT @Pro26Astrology: #Astrology https://t.co/dM6NLCeWtI #Prediction predictive #Astronomy #1008planets #calculi #16ascendants #2019shift #Zo…",FALSE,0,,2018-07-11 08:16:37,FALSE,,"1016959432679481344",,"<a href=\"https://roundteam.co\" rel=\"nofollow\">RoundTeam</a>","FunLife4eva",1,TRUE,FALSE,,
"Did you find out your own *REAL* #SunSign https://t.co/QfVJUW9O5n proper yet? #16SunSigns You didn't. #16SunSigns… https://t.co/dAoo2pq41B",FALSE,0,,2018-07-11 08:14:52,TRUE,,"1016958993695232000",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","VenuSignet",0,FALSE,FALSE,,
"RT @NewScienceWrld: #NASA is Looking for New Ways to Deal With Trash on Deep Space Missions https://t.co/hht0NzugHJ https://t.co/Q2AFQr47II",FALSE,0,,2018-07-11 08:14:25,FALSE,,"1016958879077486592",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>","DeporteEnLaRed",1,TRUE,FALSE,,
"Did you find out your own *REAL* #SunSign https://t.co/7q1JScF9du proper yet? #16SunSigns You didn't. #16SunSigns… https://t.co/mQVDRdszwH",FALSE,0,,2018-07-11 08:14:22,TRUE,,"1016958865978609664",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","2014shift",0,FALSE,FALSE,,
"#Astronomy Picture of the Day #NASA 

Symbiotic R Aquarii 
Image Credit: Hubble, NASA, ESA
Processing &amp; License: Ju… https://t.co/lJ3bvPTl1n",FALSE,1,,2018-07-11 08:14:17,TRUE,,"1016958846110240769",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","RodanthiPi",1,FALSE,FALSE,,
"Did you find out your own *REAL* #SunSign https://t.co/QRkaWwDaR0 proper yet? #16SunSigns You didn't. #16SunSigns… https://t.co/C4U2pHWyIm",FALSE,0,,2018-07-11 08:14:14,TRUE,,"1016958831551766529",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","Horoscope30",0,FALSE,FALSE,,
"#NASA LIED TO us! we LIVE ON a #FLATEARTH!!! https://t.co/QUgbpnf7Dh Wednesday July 11 2018:4:44:53 AM",FALSE,0,,2018-07-11 08:12:54,FALSE,,"1016958495449600000",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","ConstParty_SC",0,FALSE,FALSE,,
"RT @nature_lol_usa: #travel #awesome #Art #amazing 
#photography #nature #WorldCup #world

Canadian

Northern

Lights!

<ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>

#AuroraBorealis…",FALSE,0,,2018-07-11 08:12:50,FALSE,,"1016958479871901696",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JuanitaRoMu",95,TRUE,FALSE,,
"#NASA serve #SATAN! #FlatEarth! https://t.co/3m2eLu43Dq Wednesday July 11 2018:4",FALSE,0,,2018-07-11 08:12:16,FALSE,,"1016958337286582272",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","ConstitutionOR",0,FALSE,FALSE,,
"#NASA LIED TO us! we live on a #FlatEarth! https://t.co/hOTsDVFKbB Wednesday July 11 2018:4:43:36 AM",FALSE,0,,2018-07-11 08:11:34,FALSE,,"1016958159804649472",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","Constitution_NH",0,FALSE,FALSE,,
"#NASA deceived us! we live on a #FlatEarth: PLEASE REVIEW the EVIDENCE: https://t.co/wrYDOb1GSc Wednesday July 11 2018:4",FALSE,0,,2018-07-11 08:10:52,FALSE,,"1016957984914669568",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","ConstitutionNd",0,FALSE,FALSE,,
"RT @ConstitutionOR: #NASA serve #SATAN! #FlatEarth! https://t.co/3m2eLu43Dq Wednesday July 11 2018:1",FALSE,0,,2018-07-11 08:10:39,FALSE,,"1016957929050820608",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","ConstitutionNd",0,TRUE,FALSE,,
"RT @OLHZN: NASA photo of the day: \"2018 Class of NASA Flight Directors for the Mission Control Center\" <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> #space #photooftheday #nasa https:…",FALSE,0,,2018-07-11 08:09:53,FALSE,,"1016957738105098240",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","antogom1",2,TRUE,FALSE,,
"#NASA",FALSE,0,,2018-07-11 08:09:21,FALSE,,"1016957604319375360",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","HIStory_on_Fire",0,FALSE,FALSE,,
"Book recommendation of the week. #bookoftheweek #reading #read2lead #nasa #sts #technology #spaceexploration… https://t.co/0ljqvcagOS",FALSE,1,,2018-07-11 08:07:51,TRUE,,"1016957225124982784",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ludwigschreier",0,FALSE,FALSE,,
"RT @bpsistema: #11luglio 1976 Viene prodotto l'ultimo regolo calcolatore, un calcolatore meccanico analogico manuale a causa dell'avvento d…",FALSE,0,,2018-07-11 08:07:17,FALSE,,"1016957084791951361",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","salcapolupo",1,TRUE,FALSE,,
"RT @Spacehehehe: Reality is easy. It’s deception that’s hard work. #NASA 

Research #FlatEarth https://t.co/eXFS218PY2",FALSE,0,,2018-07-11 08:06:46,FALSE,,"1016956952805441541",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Meebo_Tanooki",37,TRUE,FALSE,,
