"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @sofinique: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WARNING<U+203C><U+FE0F>OBAMA COMING TO AFRICA<U+203C><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
To open a YOUTH CENTER<U+203C><U+FE0F>With Celebs including #Oprah<U+203C><U+FE0F>#PedophileRing #ChildTrafficking #…",FALSE,0,,2018-07-11 08:04:16,FALSE,,"1016956325262168064",,"<a href=\"http://app.cities.eticlab.xyz\" rel=\"nofollow\">Etic Cities Dev</a>","G_G_Green",374,TRUE,FALSE,,
"RT @sofinique: <ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>WARNING<U+203C><U+FE0F>OBAMA COMING TO AFRICA<U+203C><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+00A5>
To open a YOUTH CENTER<U+203C><U+FE0F>With Celebs including #Oprah<U+203C><U+FE0F>#PedophileRing #ChildTrafficking #…",FALSE,0,,2018-07-11 07:52:55,FALSE,,"1016953466755911680",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BradBunnell71",374,TRUE,FALSE,,
"RT @Skyior: #Oprah #kathygriffin #Chelsea #Madonna #whoopi #rosieO #JoyBehar #Ashleyjudd https://t.co/niycocxNP8",FALSE,0,,2018-07-11 07:48:42,FALSE,,"1016952405454458880",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KaRo93004729",2,TRUE,FALSE,,
"RT @Skyior: #Oprah #kathygriffin #Chelsea #Madonna #whoopi #rosieO #JoyBehar #Ashleyjudd https://t.co/niycocxNP8",FALSE,0,,2018-07-11 07:42:35,FALSE,,"1016950867289784320",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JamieGlazov",2,TRUE,FALSE,,
"#YourTime #YourVoice #MusicAndPeople

Do you know (and have) what it takes to get tickets to this 'free' concert?… https://t.co/GvcSC5aOgI",FALSE,0,,2018-07-11 07:35:38,TRUE,,"1016949118592315392",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","rposervicessa",0,FALSE,FALSE,,
"What I know is, is that if you do work that you love, and the work f... https://t.co/5lVXCGyXE3 #oprahwinfrey #oprah #quote #quotes",FALSE,0,,2018-07-11 07:01:29,FALSE,,"1016940524018851840",,"<a href=\"http://www.chucklesnetwork.com/\" rel=\"nofollow\">Chuckles Network</a>","_oprahquotes",0,FALSE,FALSE,,
"Just going to leave this here! #Wednesday Wisdom #Oprah #VisionEventsManchester #AV #AudioVisual https://t.co/3maBKhT4xe",FALSE,0,,2018-07-11 07:00:50,FALSE,,"1016940362370289664",,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","VEManchester",0,FALSE,FALSE,,
"#Featured #Ecspedition #OwnTheNight #OurDeafAreHearing #Oprah #onceselcaday #PlaneCrash #ProjectRunwaySA #planebae… https://t.co/VlLpkBNGgR",FALSE,0,,2018-07-11 06:52:39,TRUE,,"1016938300819607554",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Ecspedition",0,FALSE,FALSE,,
"RT @MelanieTGayle: I'm always changing my looks #curlyhair #pixiecut #straighthair with my #glasses looking like #oprah <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> love #uniform a…",FALSE,0,,2018-07-11 06:12:40,FALSE,,"1016928239095336960",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MelanieTGayle",2,TRUE,FALSE,,
"RT @thesheshift: #womensupportingwomen  #womenwhohustle #independentwoman #womanstyle  #women  #entrepreneur #oprah #businesswoman #instali…",FALSE,0,,2018-07-11 06:12:24,FALSE,,"1016928173487939584",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","cpjul54",7,TRUE,FALSE,,
