"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/2HAUd397hS",FALSE,0,,2018-07-11 08:33:15,FALSE,,"1016963619270135813",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","FancyBadMittens",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/2YLKiyxOFI",FALSE,0,,2018-07-11 08:33:11,FALSE,,"1016963602274832386",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Nettgains",0,FALSE,FALSE,,
"Today's range expected ... FYI ... #DJT's pick #Kavanaugh getting harsh critics as well as opposite. #POTUS, NATO d… https://t.co/vREMl7FSxG",FALSE,0,,2018-07-11 08:33:07,TRUE,,"1016963585778601984",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TraderJJS",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/AKK2TTSlD3",FALSE,0,,2018-07-11 08:33:04,FALSE,,"1016963570486169602",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","forcamilo13",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/zNt05AhuqW",FALSE,0,,2018-07-11 08:32:59,FALSE,,"1016963551972425729",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","jennyr1025",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/T593P7KsY6",FALSE,0,,2018-07-11 08:32:55,FALSE,,"1016963534993940480",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Tayathoughts",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/CRhbCJKv7z",FALSE,0,,2018-07-11 08:32:51,FALSE,,"1016963518413885441",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","wsushocker",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/rZHMTAQlQD",FALSE,0,,2018-07-11 08:32:47,FALSE,,"1016963501871521793",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","tinyknitter",0,FALSE,FALSE,,
"Shooting in #Kentucky just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/xpPNOUfOIO",FALSE,0,,2018-07-11 08:32:43,FALSE,,"1016963484800647168",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","romanenko3701",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/7Vn6N6NOlb",FALSE,0,,2018-07-11 08:32:39,FALSE,,"1016963468258365440",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Theresa4104",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/Hdzsmo1Dri",FALSE,0,,2018-07-11 08:32:36,FALSE,,"1016963454249336832",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","eresch11",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/SLkhIXdaZI",FALSE,0,,2018-07-11 08:32:27,FALSE,,"1016963417456996352",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","CKurneck",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/XYZxPy13lS",FALSE,0,,2018-07-11 08:32:23,FALSE,,"1016963400897912832",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","TrilbyPlants",0,FALSE,FALSE,,
"Shooting in #Kentucky just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/bAbk6uh6iv",FALSE,0,,2018-07-11 08:32:19,FALSE,,"1016963384271671297",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","kermitdafrog916",0,FALSE,FALSE,,
"Shooting in #Kentucky just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/CMBw8bTEAo",FALSE,0,,2018-07-11 08:32:11,FALSE,,"1016963350343888897",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","jebelmoon",0,FALSE,FALSE,,
"Shooting in #Kentucky just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/G79J6E3h6K",FALSE,0,,2018-07-11 08:31:59,FALSE,,"1016963300393979904",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","thatguyincb",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/uPanzbaIeD",FALSE,0,,2018-07-11 08:31:55,FALSE,,"1016963282694033409",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","astralaina",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/agtaEWHKrz",FALSE,0,,2018-07-11 08:31:51,FALSE,,"1016963266373963777",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","rsweet50",0,FALSE,FALSE,,
"Shooting in #Kentucky just took an American life. #POTUS, please do something. #BackfireTrump https://t.co/5mLJ9blpY7",FALSE,0,,2018-07-11 08:31:47,FALSE,,"1016963250116841472",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","jiminusa",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/zv2VdIkHG0",FALSE,0,,2018-07-11 08:31:35,FALSE,,"1016963199285985280",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Lizzyb009",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/TwGsusJI0e",FALSE,0,,2018-07-11 08:31:31,FALSE,,"1016963181883854848",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","fairviewsue",0,FALSE,FALSE,,
"@realDonaldTrump Thank you @realDonaldTrump 
Our #POTUS for sticking up for us!
Finally a President who's not just talk! 
#NATO",FALSE,0,"realDonaldTrump",2018-07-11 08:31:30,FALSE,"1016956445307400193","1016963176317911041","25073877","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SheriDondalski",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/L6U7kKV6eq",FALSE,0,,2018-07-11 08:31:15,FALSE,,"1016963115580379136",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","EnmaAi2017",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/W93Sk4QVYA",FALSE,0,,2018-07-11 08:31:11,FALSE,,"1016963097800663040",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Shawn00Guerra",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/koHpIgoxHl",FALSE,0,,2018-07-11 08:31:07,FALSE,,"1016963080717242369",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","freude4schaden",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/7oPGtXyE7R",FALSE,0,,2018-07-11 08:31:03,FALSE,,"1016963064384688130",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","yarnsandmusings",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/opS2eJu2q9",FALSE,0,,2018-07-11 08:30:59,FALSE,,"1016963047024398336",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","real_miffy_1985",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/TzbeXaAFH1",FALSE,0,,2018-07-11 08:30:51,FALSE,,"1016963013818114048",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Can0806dy",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/lc1EAeIKbh",FALSE,0,,2018-07-11 08:30:43,FALSE,,"1016962981660381184",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","HotBaritoneMess",0,FALSE,FALSE,,
"Another life was just lost in #Kentucky. #POTUS, it's time to do something. #BackfireTrump https://t.co/EHq9BLjlqG",FALSE,0,,2018-07-11 08:30:39,FALSE,,"1016962963310301184",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","BrandellRona",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/Ay444HNQLK",FALSE,0,,2018-07-11 08:30:35,FALSE,,"1016962946436616197",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","mnfitz2",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/DawhlTeba8",FALSE,0,,2018-07-11 08:30:31,FALSE,,"1016962929919438849",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","BartleyLynn",0,FALSE,FALSE,,
"#Kentucky is suffering today after fatal shooting. #POTUS, stop the bloodshed. #BackfireTrump https://t.co/JN2332M6DK",FALSE,0,,2018-07-11 08:30:15,FALSE,,"1016962862550601728",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","MamaKeiki",0,FALSE,FALSE,,
"One more person was just killed in #Kentucky. #POTUS, it’s your job to take action. #BackfireTrump https://t.co/Psn44UyeC4",FALSE,0,,2018-07-11 08:30:07,FALSE,,"1016962829130305536",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","cyndywebb",0,FALSE,FALSE,,
"Another life just lost in #Kentucky. #POTUS, please end the suffering. #BackfireTrump https://t.co/BgHFMaxGZw",FALSE,0,,2018-07-11 08:29:59,FALSE,,"1016962795378761728",,"<a href=\"https://backfiretrump.com\" rel=\"nofollow\">Backfire</a>","Jeanett07579453",0,FALSE,FALSE,,
"RT @POTUS_Schedule: Wednesday, 11 July 2018
#POTUSSchedule #POTUS #WhiteHouse #NATO #NATOSummit #KAG #KeepAmericaGreat #MakeAmericaGreatAga…",FALSE,0,,2018-07-11 08:29:55,FALSE,,"1016962780300115969",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","DeeSophey",111,TRUE,FALSE,,
