"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:37:07,FALSE,,"1016964589349634048",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","leedxcm",249,TRUE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:36:37,FALSE,,"1016964467224170497",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fredG27",249,TRUE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:35:07,FALSE,,"1016964087232827392",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","thehollylol",249,TRUE,FALSE,,
"Obama #Obama Reuters #Reuters U.S. #US board elections #boardelections #Politics U.S. regulator shelves reform on v… https://t.co/7krFqAeYYg",FALSE,0,,2018-07-11 08:35:01,TRUE,,"1016964063144894465",,"<a href=\"http://www.tobeannounced.com\" rel=\"nofollow\">News Users</a>","hvpernews",0,FALSE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:32:55,FALSE,,"1016963535744749569",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MachuGuillaume",249,TRUE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:32:30,FALSE,,"1016963427657502720",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DJ0R_K",249,TRUE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:28:54,FALSE,,"1016962523646570496",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pilon230",249,TRUE,FALSE,,
"Influence 101 
https://t.co/y1ii3qlHPr #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes #nasdaq… https://t.co/TENpxtf34e",FALSE,1,,2018-07-11 08:28:01,TRUE,,"1016962302095122432",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","RandallGoulding",0,FALSE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:27:45,FALSE,,"1016962232880640006",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Nicoqrl_",249,TRUE,FALSE,,
"RT @gbaudu: Un sublime instant d’éternité, capturé par un photographe de #Reuters. C’est beau. Tout simplement beau. <ed><U+00A0><U+00BC><ed><U+00B7><U+00AB><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> #FRABEL #CM2018 #Ch…",FALSE,0,,2018-07-11 08:23:56,FALSE,,"1016961273156775937",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AnneCecileR",249,TRUE,FALSE,,
