"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#sportscenter",FALSE,0,,2018-07-11 07:28:15,FALSE,,"1016947260347863040",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","_ianMD",0,FALSE,FALSE,,
"Action on @Behance: https://t.co/lLwqOWE20B
Looking for action #photography by #shaneaur #Growlerythought… https://t.co/99OnnZOfrL",FALSE,1,,2018-07-11 07:13:55,TRUE,,"1016943652415950848",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Growlerythought",0,FALSE,FALSE,,
"RT @GarciasGrooves: #mannymachado #machado #mlb #baseball #3rdbase #shortstop #bats #Baltimore #orioles #maryland #jersey #LosAngeles #LA #…",FALSE,0,,2018-07-11 05:44:41,FALSE,,"1016921196594651136",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AbigailMaiz",8,TRUE,FALSE,,
"#SportsCenter",FALSE,0,,2018-07-11 05:23:19,FALSE,,"1016915819580649472",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Laplaceslaw11",0,FALSE,FALSE,,
"RT @GarciasGrooves: #mannymachado #machado #mlb #baseball #3rdbase #shortstop #bats #Baltimore #orioles #maryland #jersey #LosAngeles #LA #…",FALSE,0,,2018-07-11 04:44:00,FALSE,,"1016905927302238208",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jayme_rtb",8,TRUE,FALSE,,
"RT @SC_ESPN: #Video Absolutamente todos los detalles de la contratación de Cristiano Ronaldo por parte de la Juventus, en este clip de #Spo…",FALSE,0,,2018-07-11 04:42:54,FALSE,,"1016905649584836613",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","FabianArtur",10,TRUE,FALSE,,
"RT @GuyDupuy1: @GuyDupuy1  shut down with never done before best dunk of the year ? <ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BC><ed><U+00BF><U+00BE> @espn  @Ballislife  @Dunkademics  @NBAcom  @Spor…",FALSE,0,,2018-07-11 04:10:00,FALSE,,"1016897367616786435",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","bballa4life34",3,TRUE,FALSE,,
"#ajetreoshoe #ajetreobrand #nike #nike<U+2714><U+FE0F> #nikesb #nikesandals #sports #sport #sporty #sportscenter #sportfishing… https://t.co/zvkmla5hHO",FALSE,1,,2018-07-11 03:38:44,TRUE,,"1016889501044617216",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ajetreobrand",0,FALSE,FALSE,,
"RT @SC_ESPN: #Video Absolutamente todos los detalles de la contratación de Cristiano Ronaldo por parte de la Juventus, en este clip de #Spo…",FALSE,0,,2018-07-11 03:24:59,FALSE,,"1016886040378990598",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LeitoSosa95",10,TRUE,FALSE,,
"RT @SC_ESPN: #Video Absolutamente todos los detalles de la contratación de Cristiano Ronaldo por parte de la Juventus, en este clip de #Spo…",FALSE,0,,2018-07-11 03:08:50,FALSE,,"1016881977620946944",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","FaaGayoso",10,TRUE,FALSE,,
