"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@StephenAtHome As a former restaurant server, great #brettmichaelkavanaugh piece! And, I know, besides praising wom… https://t.co/cOtR7o2ZZP",FALSE,0,"StephenAtHome",2018-07-11 03:59:54,TRUE,,"1016894825952694273","16303106","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","paulephoto",0,FALSE,FALSE,,
"@StephenAtHome Still licking liberal-fascist boots in Hollywood just so you can hold onto a job #StephenAtHome?...S… https://t.co/Hmr4i59uFs",FALSE,0,"StephenAtHome",2018-07-10 19:16:51,TRUE,"1016518910391308293","1016763199058669569","16303106","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Richard_Neal77",0,FALSE,FALSE,,
"RT @NoCOITUSwiCOTUS: Ahh. This Aged Well.
Excellent. (Mr. Burns Voice)
Suck It
@SenSchumer
#jimmyfallon #FallonTonight #LateLateShow #JKCor…",FALSE,0,,2018-07-10 17:18:39,FALSE,,"1016733450697666560",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwiCOTUS",14,TRUE,FALSE,,
"RT @NoCOITUSwiCOTUS: Ahh. This Aged Well.
Excellent. (Mr. Burns Voice)
Suck It
@SenSchumer
#jimmyfallon #FallonTonight #LateLateShow #JKCor…",FALSE,0,,2018-07-10 06:33:15,FALSE,,"1016571032394715137",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwCOTUS1",14,TRUE,FALSE,,
"RT @NoCOITUSwiCOTUS: Ahh. This Aged Well.
Excellent. (Mr. Burns Voice)
Suck It
@SenSchumer
#jimmyfallon #FallonTonight #LateLateShow #JKCor…",FALSE,0,,2018-07-10 05:21:17,FALSE,,"1016552919649476608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BreakingOverton",14,TRUE,FALSE,,
"Warning for #NATO #NATOSummit - Do NOT say or reveal ANYTHING to #realDonaldTrump you would not want #Putin to know… https://t.co/u8Q9i6iR78",FALSE,1,,2018-07-09 22:12:19,TRUE,,"1016444969085784064",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ccriswell",0,FALSE,FALSE,,
"RT @NoCOITUSwCOTUS1: When Y'All Take It 2 The Streets
What Intersection Will That Be?
#jimmyfallon #FallonTonight #LateLateShow #JKCorden…",FALSE,0,,2018-07-08 22:24:00,FALSE,,"1016085520798142465",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwCOTUS1",3,TRUE,FALSE,,
"RT @NoCOITUSwiCOTUS: Ahh. This Aged Well.
Excellent. (Mr. Burns Voice)
Suck It
@SenSchumer
#jimmyfallon #FallonTonight #LateLateShow #JKCor…",FALSE,0,,2018-07-05 12:46:46,FALSE,,"1014853091622113281",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Jeffsright",14,TRUE,FALSE,,
"RT @NoCOITUSwiCOTUS: Ahh. This Aged Well.
Excellent. (Mr. Burns Voice)
Suck It
@SenSchumer
#jimmyfallon #FallonTonight #LateLateShow #JKCor…",FALSE,0,,2018-07-05 08:32:32,FALSE,,"1014789111759147009",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jaford57",14,TRUE,FALSE,,
"RT @JJOB888: #keepitblue #YesWeCan #healthcare  #minimumwage  #bluewave #BlueWave2018  #BlueWaveComing2018  #BlueWaveIsComing2018 #Dems  #d…",FALSE,0,,2018-07-04 00:04:09,FALSE,,"1014298784946425859",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","barb34479987",1,TRUE,FALSE,,
"#keepitblue #YesWeCan #healthcare  #minimumwage  #bluewave #BlueWave2018  #BlueWaveComing2018… https://t.co/nkQ3eVCefO",FALSE,2,,2018-07-03 23:16:50,TRUE,,"1014286878110035969",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","JJOB888",1,FALSE,FALSE,,
"#stephenathome #msnbc #cnn #mocktrump #trump #potus #maga #trumprussia #trumpkimsumit #moringjoe #maddow https://t.co/OF3SRBxdRS",FALSE,1,,2018-07-03 01:36:26,FALSE,,"1013959621604593665",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","JJOB888",0,FALSE,FALSE,,
"RT @NoCOITUSwCOTUS1: When Y'All Take It 2 The Streets
What Intersection Will That Be?
#jimmyfallon #FallonTonight #LateLateShow #JKCorden…",FALSE,0,,2018-07-02 21:20:50,FALSE,,"1013895295627755520",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BreakingOverton",3,TRUE,FALSE,,
"If a pretzel almost took out  president G.W. Bush, maybe a chicken wing or burger might finish off #Trump . God wor… https://t.co/2SnJsiwws5",FALSE,2,,2018-07-02 21:00:33,TRUE,,"1013890190434324485",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","JJOB888",0,FALSE,FALSE,,
