"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Guys can y’all retweet and share with friends. Ask them to add me, also if you guys don’t follow me already on one… https://t.co/YQWC79p5br",FALSE,0,,2018-07-11 08:14:12,TRUE,,"1016958823439978496",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Gizmo_2711",0,FALSE,FALSE,,
"<U+092A><U+0902><U+091C><U+093E><U+092C> <U+092E><U+0947><U+0902> <U+0915><U+093F><U+0938><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+092E><U+094B><U+0926><U+0940> <U+092B><U+0942><U+0902><U+0915><U+0947><U+0902><U+0917><U+0947> 2019 <U+0915><U+093E> <U+091A><U+0941><U+0928><U+093E><U+0935><U+0940> <U+092C><U+093F><U+0917><U+0941><U+0932>, <U+090F><U+0915> <U+0924><U+0940><U+0930> <U+0938><U+0947> <U+0915><U+0908> <U+0928><U+093F><U+0936><U+093E><U+0928><U+0947> https://t.co/BlMAYS5DUC #follow… https://t.co/yBeR1q3wCJ",FALSE,0,,2018-07-11 08:14:05,TRUE,,"1016958795338211328",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vitorrians",0,FALSE,FALSE,,
"<U+3042><U+306A><U+305F><U+306E><U+5922><U+306F><U+4F55><U+304B><U+3001><U+3042><U+306A><U+305F><U+306E><U+76EE><U+7684><U+3068><U+3059><U+308B><U+3082><U+306E><U+306F><U+4F55><U+304B><U+3001><U+305D><U+308C><U+3055><U+3048><U+3057><U+3063><U+304B><U+308A><U+6301><U+3063><U+3066><U+3044><U+308B><U+306A><U+3089><U+3070><U+3001><U+5FC5><U+305A><U+3084><U+9053><U+306F><U+958B><U+304B><U+308C><U+308B><U+3060><U+308D><U+3046><U+3002> (Mahatma Gandhi)
#Twitter #<U+0444><U+043E><U+043B><U+043B><U+043E><U+0432><U+0438><U+043D><U+0433> #altcoin #followforfollow",FALSE,0,,2018-07-11 08:14:03,FALSE,,"1016958787591311360",,"<a href=\"https://twitter.com/__bignnz_c\" rel=\"nofollow\">YiTGTPXV2- oYMQ4J7a4NUV</a>","__bignnz_c",0,FALSE,FALSE,,
"Feest! #twitter https://t.co/Y6PlBC58cB",FALSE,0,,2018-07-11 08:14:03,FALSE,,"1016958784433016839",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BinneLouwKatsma",0,FALSE,FALSE,,
"RT @TimonWoods77: Procura ponerte, siempre, algo que combine. Por ejemplo, la cabeza que haga juego con el corazón ....y las palabras con l…",FALSE,0,,2018-07-11 08:13:59,FALSE,,"1016958769471860741",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","XISCATUGORES",4,TRUE,FALSE,,
"The latest Zalman #Twitter #News! https://t.co/GsOF4hsF4Z Thanks to @AngelaMaria29 @PublimetroCol #leadership",FALSE,0,,2018-07-11 08:13:44,FALSE,,"1016958706444066818",,"<a href=\"https://paper.li\" rel=\"nofollow\">Paper.li</a>","Zalman5K",0,FALSE,FALSE,,
"<U+092A><U+0902><U+091C><U+093E><U+092C> <U+092E><U+0947><U+0902> <U+0915><U+093F><U+0938><U+093E><U+0928><U+094B><U+0902> <U+0915><U+0947> <U+092C><U+0940><U+091A> <U+092E><U+094B><U+0926><U+0940> <U+092B><U+0942><U+0902><U+0915><U+0947><U+0902><U+0917><U+0947> 2019 <U+0915><U+093E> <U+091A><U+0941><U+0928><U+093E><U+0935><U+0940> <U+092C><U+093F><U+0917><U+0941><U+0932>, <U+090F><U+0915> <U+0924><U+0940><U+0930> <U+0938><U+0947> <U+0915><U+0908> <U+0928><U+093F><U+0936><U+093E><U+0928><U+0947> https://t.co/J5ogxszJTf #follow… https://t.co/KPLVYTxYRy",FALSE,0,,2018-07-11 08:13:40,TRUE,,"1016958690144997376",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","saha_shammi",0,FALSE,FALSE,,
"#<U+30E1><U+30EB><U+30AB><U+30EA> 700<U+5186> #<U+30E9><U+30AF><U+30DE> 300<U+5186> #<U+30D5><U+30EA><U+30EB> 300<U+5186> #<U+30E4><U+30D5><U+30AA><U+30AF> 700<U+5186> 
<U+306B><U+3066><U+8A8D><U+8A3C><U+4EE3><U+884C><U+3092><U+884C><U+3063><U+3066><U+3044><U+307E><U+3059> 
<U+6700><U+4F4E>5<U+4EF6>~ 
<U+304A><U+652F><U+6255><U+3044><U+306F><U+30E9><U+30AF><U+30DE> <U+30D5><U+30EA><U+30EB> Amazon<U+30AE><U+30D5><U+30C8> <U+9280><U+884C><U+632F><U+8FBC><U+3088><U+308A><U+9078><U+3079><U+307E><U+3059>
#<U+30E1><U+30EB><U+30AB><U+30EA> #<U+30E9><U+30AF><U+30DE> #SMS<U+8A8D><U+8A3C><U+4EE3><U+884C> #LINE #<U+526F><U+696D> #Twitter
6",FALSE,0,,2018-07-11 08:13:28,FALSE,,"1016958640610205696",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","smsdaikou2",0,FALSE,FALSE,,
"RT @Koimoi: Did #SalmanKhan just hack #AkshayKumar’s #Twitter account? Read on to know more!

#BollywoodNews #Koimoi

https://t.co/XATp88ty…",FALSE,0,,2018-07-11 08:13:06,FALSE,,"1016958549262340096",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SRK_SRT",41,TRUE,FALSE,,
"RT @Killag1010: @Anjo_sdv @ZeniBeta @louzival2011 @LekoZanona @Fatimamfb @ThataCrush @LavorattoT @shubiologia @SimpleGain @Wesz_ley @Diane9…",FALSE,0,,2018-07-11 08:13:03,FALSE,,"1016958533408043008",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Cafelivros2018",2,TRUE,FALSE,,
