"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#aamir_khan #deepikapadukone #Eminem #BBCWorld #imVkohli #davidguetta #iHrithik #POTUS #AvrilLavigne #NatGeo… https://t.co/JYE2mzIgL2",FALSE,0,,2018-07-10 00:46:12,TRUE,,"1016483693534343169",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"#aamir_khan #deepikapadukone #Eminem #BBCWorld #imVkohli #davidguetta #iHrithik #POTUS #AvrilLavigne #NatGeo… https://t.co/Gt9DpbUKsB",FALSE,0,,2018-07-09 22:33:46,TRUE,,"1016450365703839744",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @sohelarman555: BIGGEST MOVIESTAR 
ON EARTH <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> 
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>#AAMIR_KHAN <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
@aamir_khan  <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/rLMPw6RAOz",FALSE,0,,2018-07-08 16:53:26,FALSE,,"1016002328476909569",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","syedABUali",5,TRUE,FALSE,,
"RT @drrashmishetty: With the Mr. Perfectionist.
@aamir_khan

#aamirkhan #bollywood #aamir_khan #mrperfectionist #drrashmishetty #celebrityd…",FALSE,0,,2018-07-08 16:30:28,FALSE,,"1015996548646424576",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","R4kesh_1",38,TRUE,FALSE,,
"RT @drrashmishetty: With the Mr. Perfectionist.
@aamir_khan

#aamirkhan #bollywood #aamir_khan #mrperfectionist #drrashmishetty #celebrityd…",FALSE,0,,2018-07-05 18:35:09,FALSE,,"1014940762218352640",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","byAamirnela",38,TRUE,FALSE,,
"RT @sohelarman555: BIGGEST MOVIESTAR 
ON EARTH <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> 
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>#AAMIR_KHAN <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
@aamir_khan  <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/rLMPw6RAOz",FALSE,0,,2018-07-04 20:41:40,FALSE,,"1014610215512281089",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","KhushkMuzammil",5,TRUE,FALSE,,
"BIGGEST MOVIESTAR 
ON EARTH <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+0098> 
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>#AAMIR_KHAN <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
@aamir_khan  <ed><U+00A0><U+00BD><ed><U+00B1><U+0087> https://t.co/rLMPw6RAOz",FALSE,21,,2018-07-04 12:19:01,FALSE,,"1014483720919703552",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","sohelarman555",5,FALSE,FALSE,,
"RT @drrashmishetty: With the Mr. Perfectionist.
@aamir_khan

#aamirkhan #bollywood #aamir_khan #mrperfectionist #drrashmishetty #celebrityd…",FALSE,0,,2018-07-04 07:36:38,FALSE,,"1014412653127557120",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AgamAnEntity",38,TRUE,FALSE,,
"RT @drrashmishetty: With the Mr. Perfectionist.
@aamir_khan

#aamirkhan #bollywood #aamir_khan #mrperfectionist #drrashmishetty #celebrityd…",FALSE,0,,2018-07-04 05:12:26,FALSE,,"1014376366702190592",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","tejamultimedia1",38,TRUE,FALSE,,
"RT @drrashmishetty: With the Mr. Perfectionist.
@aamir_khan

#aamirkhan #bollywood #aamir_khan #mrperfectionist #drrashmishetty #celebrityd…",FALSE,0,,2018-07-04 04:35:57,FALSE,,"1014367183827230721",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Aamir_Hulk",38,TRUE,FALSE,,
