"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Koimoi: Did #SalmanKhan just hack #AkshayKumar’s #Twitter account? Read on to know more!

#BollywoodNews #Koimoi

https://t.co/XATp88ty…",FALSE,0,,2018-07-11 08:22:35,FALSE,,"1016960933535444992",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KumarrPrasanna",48,TRUE,FALSE,,
"RT @bollywood_fresh: Most Famous SuperStar Of india!
#SalmanKhan 
#Rajinikanth 
#AkshayKumar 
#Prabhas 

#Saaho #GoldTrailer #Sanju #Ranbir…",FALSE,0,,2018-07-11 08:21:58,FALSE,,"1016960779315175424",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Arungokhul",63,TRUE,FALSE,,
"RT @RajiniFollowers: RFT1554• How many of u noticed, the entire bird was made of Smartphones!!

That's @shankarshanmugh's one of  message t…",FALSE,0,,2018-07-11 08:21:35,FALSE,,"1016960680619073537",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","SKR873",107,TRUE,FALSE,,
"RT @boxofficeindia: #2Point0 starring #Rajinikanth and #AkshayKumar is set to clash with #SushantSinghRajput and #SaraAliKhan's #Kedarnath…",FALSE,0,,2018-07-11 08:20:57,FALSE,,"1016960523835883520",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","artistshrey163",19,TRUE,FALSE,,
"#Rajnikanth 
#AkshayKumar 
#2Point0 
#2Point0FromNov29 
@akshaykumar 
@LycaProductions 
https://t.co/YxEiId6KHM",FALSE,0,,2018-07-11 08:20:45,FALSE,,"1016960472849920001",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","WebduniaHindi",0,FALSE,FALSE,,
"RT @Koimoi: Did #SalmanKhan just hack #AkshayKumar’s #Twitter account? Read on to know more!

#BollywoodNews #Koimoi

https://t.co/XATp88ty…",FALSE,0,,2018-07-11 08:20:28,FALSE,,"1016960400577839105",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","CaptainAkkkian",48,TRUE,FALSE,,
"RT @LMKMovieManiac: #2Point0FromNov29.. Extraordinary breaking announcement <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008C> #2Point0 #Rajinikanth #AkshayKumar #Shankar https://t.co/VAJ…",FALSE,0,,2018-07-11 08:19:52,FALSE,,"1016960250996387840",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AnshuVerma26",413,TRUE,FALSE,,
"RT @atulmohanhere: FINALLY!!! @LycaProductions announces the release date of their #MagnumOpus #2Point0 - <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> November 29th, 2018. Gear up to…",FALSE,0,,2018-07-11 08:19:17,FALSE,,"1016960104908722176",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AnshuVerma26",96,TRUE,FALSE,,
"RT @Koimoi: Did #SalmanKhan just hack #AkshayKumar’s #Twitter account? Read on to know more!

#BollywoodNews #Koimoi

https://t.co/XATp88ty…",FALSE,0,,2018-07-11 08:19:13,FALSE,,"1016960085237481472",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SatinathMukher2",48,TRUE,FALSE,,
"RT @wikifeedIndia: #Gold set in 1948 tells the historic story of the #Hockeyteam that won the first Olympic medal for India as a free natio…",FALSE,0,,2018-07-11 08:18:50,FALSE,,"1016959989108240385",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Reshmaayu_",4,TRUE,FALSE,,
