"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Felt like #singing #DeepVoice #SimilarToToniB #JCole #MissyElliott #Pharell #AliciaKeys #GetAtMe <ed><U+00A0><U+00BD><ed><U+00B8><U+009D> https://t.co/TPWZPU25T7",FALSE,0,,2018-07-11 01:38:58,FALSE,,"1016859361182920704",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MaliaLove14",0,FALSE,FALSE,,
"#aliciakeys #kellyclarkson #aliciakeysbrasil #kellyclarksonbr  #amizade #clubedopop https://t.co/N43E33DTK3",FALSE,0,,2018-07-10 23:51:00,FALSE,,"1016832188527136768",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","thiagosardenber",0,FALSE,FALSE,,
"#NowPlaying #AliciaKeys - #LikeTheSea on #Music Massage @ https://t.co/DSoAvorABe  #SlowJams #QuietStorm #Radio",FALSE,0,,2018-07-10 23:15:46,FALSE,,"1016823322032640000",,"<a href=\"https://www.marci.io\" rel=\"nofollow\">Marci</a>","BlakeRadio",0,FALSE,FALSE,,
"Here at the #HomeDepot, you can get your keys copied! Even #AliciaKeys. Whoever did that needs a fist bump. Serious… https://t.co/SjQCzN0k4t",FALSE,0,,2018-07-10 22:10:34,TRUE,,"1016806913475055616",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","2WheeledTourist",0,FALSE,FALSE,,
"<U+263A><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> #aliciakeys #goodvibes  #rp @aliciakeysmusic",FALSE,1,,2018-07-10 21:36:44,FALSE,,"1016798400514146304",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","AKeysBrasil",0,FALSE,FALSE,,
"RT @shades_pop: La @CNN definisce #Eminem, #LadyGaga, #Beyoncé e #AliciaKeys come gli artisti di maggior impatto nel panorama musicale di q…",FALSE,0,,2018-07-10 17:08:33,FALSE,,"1016730911432495108",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nicolo_fantini",1,TRUE,FALSE,,
"siento completamente admiración hacía @aliciakeys es que joder !!! Ella es perfecta<U+2728><ed><U+00A0><U+00BE><ed><U+00B4><U+0098><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> #aliciakeys",FALSE,0,,2018-07-10 16:20:23,FALSE,,"1016718788287434752",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","is_camiilaa",0,FALSE,FALSE,,
"La @CNN definisce #Eminem, #LadyGaga, #Beyoncé e #AliciaKeys come gli artisti di maggior impatto nel panorama music… https://t.co/nI6MD6Ru09",FALSE,4,,2018-07-10 16:20:21,TRUE,,"1016718778145628161",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","shades_pop",1,FALSE,FALSE,,
"<U+263A><U+FE0F><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B8><U+0081> #aliciakeys #goodvibes  #rp @keysofak https://t.co/URtXW0DRHc",FALSE,2,,2018-07-10 16:03:28,FALSE,,"1016714533048479746",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","AKeysBrasil",1,FALSE,FALSE,,
"I know people will try try to divide something so real <ed><U+00A0><U+00BC><ed><U+00BE><U+00B6> #NoOne #AliciaKeys",FALSE,0,,2018-07-10 15:41:35,FALSE,,"1016709022186135554",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","isalaluz",0,FALSE,FALSE,,
