"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @itscountryusa: Just taking my mind on a visit
Back in time 'cause I miss it
You wouldn't know to love it like I love it
Unless you live…",FALSE,0,,2018-07-11 08:19:13,FALSE,,"1016960084566474752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Latosha_Marie",5,TRUE,FALSE,,
"RT @RobbCohen1: Blake Shelton Photo Gallery: https://t.co/8MtJ3592XJ         @blakeshelton #blakeshelton #concert #Photography https://t.co…",FALSE,0,,2018-07-11 05:14:05,FALSE,,"1016913495533776896",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","muffintop44",1,TRUE,FALSE,,
"Blake Shelton Photo Gallery: https://t.co/8MtJ3592XJ         @blakeshelton #blakeshelton #concert #Photography https://t.co/dlQWK8OLUh",FALSE,4,,2018-07-11 03:27:01,FALSE,,"1016886551022854145",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","RobbCohen1",1,FALSE,FALSE,,
"RT @forthegwen: Hey @gwenstefani check it out, I think he likes you! #blakeshelton #nodoubt https://t.co/lB4oKCOsul",FALSE,0,,2018-07-11 02:29:40,FALSE,,"1016872118015758337",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","MarthaARay1",625,TRUE,FALSE,,
"@LukeBryanOnline So when’s the block party #BlakeShelton",FALSE,1,"LukeBryanOnline",2018-07-11 02:17:26,FALSE,"1016839884244439040","1016869041594617856","17074714","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ArtfulKreations",0,FALSE,FALSE,,
"RT @UrbanCowboyBnd: <ed><U+00A0><U+00BD><ed><U+00B5><U+00BA><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC> #blakeshelton #theboysaroundhere #redneck #lyrics on an #urbancowboyboyband<ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BE><ed><U+00B5><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+00B8> #everyrevolution #itunes #spotify #pi…",FALSE,0,,2018-07-11 02:01:32,FALSE,,"1016865039452553216",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CalkinMatthew",1,TRUE,FALSE,,
"Love #BlakeShelton came here to forget https://t.co/3goFV4Rztb",FALSE,0,,2018-07-11 01:13:19,FALSE,,"1016852905301864450",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Theladygambler1",0,FALSE,FALSE,,
"@blakeshelton @gwenstefani @TheEllenShow @theryman BLAKE WILL YOU PLEASE OFFICIATE MY WEDDING IF I HAVE IT AT… https://t.co/mOTPta7z61",FALSE,0,"blakeshelton",2018-07-11 01:10:29,TRUE,,"1016852192202981376","14920785","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","amiller1616",0,FALSE,FALSE,,
"RT @Little_red_reba: Reba &amp; @blakeshelton #reba #rebaandblake #blakeshelton https://t.co/nN5WSVKdlf",FALSE,0,,2018-07-11 01:04:03,FALSE,,"1016850571976830976",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Shauntrel17",1,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B5><U+00BA><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC> #blakeshelton #theboysaroundhere #redneck #lyrics on an #urbancowboyboyband<ed><U+00A0><U+00BC><ed><U+00BE><U+00A4><ed><U+00A0><U+00BE><ed><U+00B5><U+0081><ed><U+00A0><U+00BC><ed><U+00BE><U+00B8> #everyrevolution #itunes #spotify… https://t.co/ETzbtWRxGk",FALSE,1,,2018-07-10 23:32:16,TRUE,,"1016827476259921921",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","UrbanCowboyBnd",1,FALSE,FALSE,,
