"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ObjetivoB_Army: #BritneySpears challenge
Adults react to try not to feel old... https://t.co/f1Y8npXiV0",FALSE,0,,2018-07-11 07:44:43,FALSE,,"1016951404756328448",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LuLuv223",9,TRUE,FALSE,,
"RT @popqueenbritney: 10.7.18 Britney arriving at Washington #britneyspears https://t.co/lq83MJj1Lh",FALSE,0,,2018-07-11 07:38:28,FALSE,,"1016949831783182336",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","agustriansyah",6,TRUE,FALSE,,
"RT @ashleyannfoltz: #PieceOfMe is coming <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #britneyspears https://t.co/oJenoRv92Q",FALSE,0,,2018-07-11 07:37:00,FALSE,,"1016949462156103680",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MePopovic",30,TRUE,FALSE,,
"RT @ashleyannfoltz: #PieceOfMe is coming <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #britneyspears https://t.co/oJenoRv92Q",FALSE,0,,2018-07-11 07:33:50,FALSE,,"1016948666869927936",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dimrous22",30,TRUE,FALSE,,
"RT @ObjetivoB_Army: #BritneySpears challenge
Adults react to try not to feel old... https://t.co/f1Y8npXiV0",FALSE,0,,2018-07-11 07:33:41,FALSE,,"1016948628471144449",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dimrous22",9,TRUE,FALSE,,
"RT @ObjetivoB_Army: Less than 48 hours to start the #PieceOfMeTour by #BritneySpears

New remixes in the setlist <U+2705>
New outfits <U+2705>
New song..…",FALSE,0,,2018-07-11 07:32:56,FALSE,,"1016948440629116928",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","dimrous22",11,TRUE,FALSE,,
"RT @ObjetivoB_Army: #BritneySpears challenge
Adults react to try not to feel old... https://t.co/f1Y8npXiV0",FALSE,0,,2018-07-11 07:32:30,FALSE,,"1016948328611774465",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PhendyAgnezMo",9,TRUE,FALSE,,
"RT @BritSDotNet: Britney arriving in Washington @britneyspears #BritneySpears #BritneyArmy #PieceOfMe https://t.co/GXYFeUVMr9 https://t.co/…",FALSE,0,,2018-07-11 07:18:51,FALSE,,"1016944892726206464",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jolin994",7,TRUE,FALSE,,
"RT @ObjetivoB_Army: #BritneySpears Queen of Denim...  <ed><U+00A0><U+00BD><ed><U+00B1><U+0097> https://t.co/XkASxG3Br9",FALSE,0,,2018-07-11 07:09:55,FALSE,,"1016942645225119744",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Wagner_Barbosaa",10,TRUE,FALSE,,
"RT @NimaNeemz: My #BritneySpears 10th album concept. #B10 #B10GRAPHY

NEW Photo by the lovely @francesiacuzzi https://t.co/kWApAYVmES",FALSE,0,,2018-07-11 07:09:16,FALSE,,"1016942483731697665",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","marcomedinaal",118,TRUE,FALSE,,
"RT @ObjetivoB_Army: Less than 48 hours to start the #PieceOfMeTour by #BritneySpears

New remixes in the setlist <U+2705>
New outfits <U+2705>
New song..…",FALSE,0,,2018-07-11 07:08:54,FALSE,,"1016942391431966720",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","outrageousbrit",11,TRUE,FALSE,,
"RT @popqueenbritney: 10.7.18 Britney arriving at Washington #britneyspears https://t.co/lq83MJj1Lh",FALSE,0,,2018-07-11 07:08:41,FALSE,,"1016942335307997184",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","outrageousbrit",6,TRUE,FALSE,,
"#colombiano #colombianboy #instacolombian #beautiful #nails #monteria #cali #pasto #barranquilla #neiva #girls… https://t.co/dGQKVk4nup",FALSE,0,,2018-07-11 07:02:42,TRUE,,"1016940829720694784",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","RestitucionC",0,FALSE,FALSE,,
"RT @ashleyannfoltz: #PieceOfMe is coming <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #britneyspears https://t.co/oJenoRv92Q",FALSE,0,,2018-07-11 06:56:14,FALSE,,"1016939201244422144",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ThePinky98",30,TRUE,FALSE,,
"RT @ObjetivoB_Army: Less than 48 hours to start the #PieceOfMeTour by #BritneySpears

New remixes in the setlist <U+2705>
New outfits <U+2705>
New song..…",FALSE,0,,2018-07-11 06:50:25,FALSE,,"1016937740540239877",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pics_spears",11,TRUE,FALSE,,
"#MakeMe #Glory #BritneyIsComing #BritneySpears #BRITNEYARMY <ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BD><ed><U+00B2><U+0095> https://t.co/6BcvIhRD4I",FALSE,2,,2018-07-11 06:41:18,FALSE,,"1016935446746673153",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","HereforBrit27",1,FALSE,FALSE,,
"RT @ObjetivoB_Army: #BritneySpears challenge
Adults react to try not to feel old... https://t.co/f1Y8npXiV0",FALSE,0,,2018-07-11 06:35:40,FALSE,,"1016934027884810240",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","OsbySpears",9,TRUE,FALSE,,
"RT @ashleyannfoltz: #PieceOfMe is coming <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #britneyspears https://t.co/oJenoRv92Q",FALSE,0,,2018-07-11 06:31:57,FALSE,,"1016933089963016192",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BrennenAndTacos",30,TRUE,FALSE,,
"RT @ObjetivoB_Army: #BritneySpears challenge
Adults react to try not to feel old... https://t.co/f1Y8npXiV0",FALSE,0,,2018-07-11 06:27:09,FALSE,,"1016931884754800640",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BitchBie",9,TRUE,FALSE,,
"Don't make a sound, just love me down like

#britneyspears #lovemedown #itsbritneybitch #britneyiscoming… https://t.co/EJtQW2weCG",FALSE,0,,2018-07-11 06:26:57,TRUE,,"1016931832938590208",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JK5391",0,FALSE,FALSE,,
"My hair was darker and so short since this video everything has changed my hair is lighter and longer and I’m down… https://t.co/pOCATY6nOa",FALSE,0,,2018-07-11 06:26:28,TRUE,,"1016931712901754880",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Miss_Cherry_24",0,FALSE,FALSE,,
"RT @MaisBritney: <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8> +NOTÍCIA <ed><U+00A0><U+00BD><ed><U+00BA><U+00A8>

FLAGRA! <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8>

#BritneySpears foi vista (10/7) no aeroporto de Los Angeles indo para Washington D.C. https://t.c…",FALSE,0,,2018-07-11 06:19:38,FALSE,,"1016929993748897792",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","MaryJenney",7,TRUE,FALSE,,
"RT @popqueenbritney: 10.7.18 Britney arriving at Washington #britneyspears https://t.co/lq83MJj1Lh",FALSE,0,,2018-07-11 06:16:56,FALSE,,"1016929311717240832",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","GodneyIsBritney",6,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B8><U+0087> Only an angel can be so unusual <ed><U+00A0><U+00BD><ed><U+00B8><U+0087>

#britneyspears #unusualyou #itsbritneybitch #princessofpop #britneyiscoming… https://t.co/6kifE02N9R",FALSE,2,,2018-07-11 06:13:09,TRUE,,"1016928361241874432",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JK5391",0,FALSE,FALSE,,
"Best Quotes of Britney Spears  https://t.co/gD09czak3I     #BritneySpearsQuotes #BritneySpearsPhotos #BritneySpears https://t.co/ZfoCIBbX8e",FALSE,0,,2018-07-11 06:00:15,FALSE,,"1016925115144200193",,"<a href=\"https://postcron.com\" rel=\"nofollow\">Postcron App</a>","b20qSpears",0,FALSE,FALSE,,
