"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @HudginsLGTM: July 20th is the release date!!Billboard Charts here we come. #Brooklyn #ny @contractor4  @DJGridUSA @HudginsLGTM @AmadaRe…",FALSE,0,,2018-07-11 08:15:12,FALSE,,"1016959075106545670",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pochi_nic",11,TRUE,FALSE,,
"RT @TBVanguard: <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BD><ed><U+00B2><U+0094><ed><U+00A0><U+00BC><ed><U+00BC><U+0095><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> @chrisbrown #heartbreakonafullmoontour continues, stopping last night in #charlotte with another sold out show!
 #chri…",FALSE,0,,2018-07-11 08:08:38,FALSE,,"1016957424928870400",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TeamBreezyIndia",12,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>. 
@Hanody_Awesome 
#ChrisBrown
#i_dontdie https://t.co/I9ADly6pzE",FALSE,0,,2018-07-11 08:08:18,FALSE,,"1016957338991898625",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Yrm66344466",0,FALSE,FALSE,,
"RT @TMZ: BUSTED! Chris Brown hopped off the concert stage and into the back of a police cruiser… #TMZ #chrisbrown https://t.co/HUUoAoCWn3",FALSE,0,,2018-07-11 07:57:30,FALSE,,"1016954621636603904",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RealCoalesce",45,TRUE,FALSE,,
"RT @xosweetenerxo: Chris Brown - Don't Be Gone Too Long ft. Ariana Grande<ed><U+00A0><U+00BD><ed><U+00B0><U+00B4><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> #ChrisBrown #ArianaGrande https://t.co/E8nMW72XuP",FALSE,0,,2018-07-11 07:46:38,FALSE,,"1016951888305184768",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Giift8",5,TRUE,FALSE,,
"RT @HudginsLGTM: July 20th is the release date!!Billboard Charts here we come. #Brooklyn #ny @contractor4  @DJGridUSA @HudginsLGTM @AmadaRe…",FALSE,0,,2018-07-11 07:46:04,FALSE,,"1016951744020951041",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fravensmo",11,TRUE,FALSE,,
"RT @xosweetenerxo: Chris Brown - Don't Be Gone Too Long ft. Ariana Grande<ed><U+00A0><U+00BD><ed><U+00B0><U+00B4><ed><U+00A0><U+00BD><ed><U+00B2><U+00AB> #ChrisBrown #ArianaGrande https://t.co/E8nMW72XuP",FALSE,0,,2018-07-11 07:32:03,FALSE,,"1016948215172730880",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","angxliyah",5,TRUE,FALSE,,
"RT @xosweetenerxo: Chris Brown - Questions #ChrisBrown <U+2753><U+2764><U+FE0F> https://t.co/jS2gYWrmNW",FALSE,0,,2018-07-11 07:31:56,FALSE,,"1016948189210054657",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","angxliyah",4,TRUE,FALSE,,
"RT @TMZ: Chris Brown was ARRESTED … AGAIN!  #TMZ #chrisbrown https://t.co/5pJRU1pKzQ",FALSE,0,,2018-07-11 07:21:55,FALSE,,"1016945666235527168",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","KwaneleSandiswa",35,TRUE,FALSE,,
"Cheap #ChrisBrown Tickets in #Mansfield with Promo Code https://t.co/MBRpoDUTiJ",FALSE,0,,2018-07-11 07:15:06,FALSE,,"1016943952614887425",,"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>","capitaltix",0,FALSE,FALSE,,
