"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #Reuters #Government #Iraq #bbctrending #BBCnews… https://t.co/efoaEvovwn",FALSE,0,,2018-07-11 07:59:04,TRUE,,"1016955015012012032",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #skynews #itv #foxnews #cnn #Guardian #GoThere… https://t.co/8UXemDyFO1",FALSE,0,,2018-07-11 07:41:05,TRUE,,"1016950488229666816",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #foxnews #cnn #Guardian #GoThere #cnnireport #RT… https://t.co/v8gdM2WBSf",FALSE,0,,2018-07-11 07:17:04,TRUE,,"1016944445424578561",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #cnnireport #RT #HRW #BBC #GoThere #Guardian #cnn… https://t.co/by9MMFkYQa",FALSE,0,,2018-07-11 07:02:05,TRUE,,"1016940674418139137",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #cnnireport #RT #HRW #BBC #GoThere #Guardian #cnn… https://t.co/Eo3Eb7oOJl",FALSE,0,,2018-07-11 06:52:05,TRUE,,"1016938158628507650",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #foxnews #cnn #Guardian #GoThere #cnnireport #RT… https://t.co/11TxSTZX6e",FALSE,0,,2018-07-11 06:17:04,TRUE,,"1016929347171684354",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"RT @fastndelicious: The federal government has caught at least five adults whose claims to be parents of illegal #Immigrants children were…",FALSE,0,,2018-07-11 05:33:44,FALSE,,"1016918440546852864",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","fastndelicious",1,TRUE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #HRW #BBC #RT #cnnireport #GoThere #Guardian #cnn… https://t.co/1bjtMsJ7fQ",FALSE,0,,2018-07-11 05:29:05,TRUE,,"1016917269463621633",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #RT #HRW #BBC #icymi #iraqilivesmatter #news… https://t.co/CX2kmivyHQ",FALSE,0,,2018-07-11 05:22:05,TRUE,,"1016915509873397760",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #RT #HRW #BBC #cnnireport #GoThere #Guardian #cnn… https://t.co/tuZWYn0YEc",FALSE,0,,2018-07-11 04:47:04,TRUE,,"1016906698227937280",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #cnnireport #RT #HRW #BBC #icymi #iraqilivesmatter… https://t.co/TQU41geWXt",FALSE,0,,2018-07-11 04:40:04,TRUE,,"1016904936532205568",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #HRW #BBC #RT #cnnireport #GoThere #Guardian #cnn… https://t.co/P9OXmzKa44",FALSE,0,,2018-07-11 04:07:05,TRUE,,"1016896635740278784",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #GoThere #cnnireport #RT #HRW #BBC #Guardian #cnn… https://t.co/ErMm1Sy9g8",FALSE,0,,2018-07-11 03:53:04,TRUE,,"1016893107521179649",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
"Hi RT=RT This PR, it’s a #humanity &amp; #Justice case #thaarjustice #rtbreaking #bbcBreakingNews #cnnbrk #skynews #itv… https://t.co/6zMAmfO8ls",FALSE,0,,2018-07-11 03:47:04,TRUE,,"1016891598049873920",,"<a href=\"https://statusbrew.com\" rel=\"nofollow\">Statusbrew</a>","thaar",0,FALSE,FALSE,,
