"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 08:18:00,FALSE,,"1016959780471083010",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pftwariana",197,TRUE,FALSE,,
"I've lost you now, you let me go
But one last time
Tell me you love me
If you don't, then lie
Lie to me
#ColdPlay #TrueLove",FALSE,0,,2018-07-11 07:50:13,FALSE,,"1016952787056431104",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LadyDemelza",0,FALSE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 07:18:48,FALSE,,"1016944884073185280",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","qerfectqurqle",197,TRUE,FALSE,,
"Now playing #Coldplay - Adventure Of A Lifetime on Galaxy Fm 106.1 Patra",FALSE,1,,2018-07-11 07:15:43,FALSE,,"1016944104670924800",,"<a href=\"https://www.marci.io\" rel=\"nofollow\">Marci</a>","Galaxy1061",0,FALSE,FALSE,,
"@DanMartin86 @tonymartin85 Win the Tour everybody calls you Chris Martin #Froome #coldplay",FALSE,0,"DanMartin86",2018-07-11 07:14:41,FALSE,"1016735726283689984","1016943844414427136","457414287","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","FieslerGeert",0,FALSE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 07:14:09,FALSE,,"1016943713044623360",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yelloowspark",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 07:07:16,FALSE,,"1016941977949163520",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","SMahnoorBK8",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 07:06:24,FALSE,,"1016941760944066560",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","yourmomaleman",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:57:26,FALSE,,"1016939507168546817",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JoeEtchells",197,TRUE,FALSE,,
"RT @LemonbeatsCHNL: Today in 2000 Coldplay released 'Parachutes', their acclaimed debut studio album. #Coldplay https://t.co/sDLZ1TSHMN",FALSE,0,,2018-07-11 06:47:38,FALSE,,"1016937038887686144",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Natja7533Janin",36,TRUE,FALSE,,
"I love the scene when after superman is resurrected and he's like a wounded animal his woman comes to ground him. I… https://t.co/Sh8htMnlRf",FALSE,0,,2018-07-11 06:36:33,TRUE,,"1016934251655294977",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","DANNYSCHECTER",0,FALSE,FALSE,,
"RT @IpsosSpain: Según un estudio de @IpsosSpain para @Centauro_es el #viaje medio por carretera para los #españoles es de 407 kilómetros, p…",FALSE,0,,2018-07-11 06:26:03,FALSE,,"1016931605661798401",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","IreneGarca6",3,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:23:58,FALSE,,"1016931083286278144",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AmirEshkak",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:20:39,FALSE,,"1016930250050195456",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","yoyoyep_42",197,TRUE,FALSE,,
"RT @CristinaEnAlfa: Hoy este discazo cumple 18 años <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> #Parachutes #Coldplay ... y #DontPanic mi favorita <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

https://t.co/DkD4cXxOpm",FALSE,0,,2018-07-11 06:19:45,FALSE,,"1016930019959017472",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","juarez_katya",3,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:17:59,FALSE,,"1016929579066372096",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mishaaalashraf",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:10:14,FALSE,,"1016927627766984705",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","muklis_AG",197,TRUE,FALSE,,
"THIS ONE, LIKE NO OTHER 
#COLDPLAY #memories #4Ever https://t.co/Tj2vZb7N5T",FALSE,0,,2018-07-11 06:07:43,FALSE,,"1016926992506212353",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SolisHDave",0,FALSE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 06:05:19,FALSE,,"1016926389717610496",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lilou82",197,TRUE,FALSE,,
"RT @yougaku_love100: A Sky Full Of Stars
#Coldplay
#<U+6D0B><U+697D>
#<U+6D0B><U+697D><U+597D><U+304D><U+306A><U+4EBA><U+3068><U+7E4B><U+304C><U+308A><U+305F><U+3044> 
#<U+6D0B><U+697D><U+597D><U+304D><U+306A><U+4EBA>RT
#<U+3044><U+3044><U+3068><U+601D><U+3063><U+305F><U+3089>RT https://t.co/FaVYNLREU9",FALSE,0,,2018-07-11 06:00:41,FALSE,,"1016925221608132608",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","leonard_chibi",3,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:54:15,FALSE,,"1016923604687048704",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","axzzzl",197,TRUE,FALSE,,
"#nowplaying #coldplay ~ Coldplay | A Sky Full Of Stars ||| BB RADIO - Voll die Vielfalt!",FALSE,0,,2018-07-11 05:53:41,FALSE,,"1016923463892787201",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:42:06,FALSE,,"1016920545227489280",,"<a href=\"http://www.echofon.com/\" rel=\"nofollow\">Echofon</a>","fararusli42",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:41:47,FALSE,,"1016920466659954688",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","IamHan47",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:38:23,FALSE,,"1016919613253341184",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","xylotomartin",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:21:19,FALSE,,"1016915318122221568",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","inisial_KP",197,TRUE,FALSE,,
"favorite music is
#Oasis 
@thegoogoodolls 
#coldplay
#Incubus 
#FooFighters 
#GreenDay 
#philcollins
#thefray… https://t.co/REGJ9MpZUV",FALSE,1,,2018-07-11 05:10:02,TRUE,,"1016912477047619585",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HaroldPresley9",0,FALSE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:09:13,FALSE,,"1016912270155079680",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","s_pnst",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:08:24,FALSE,,"1016912067301814275",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PakinAlvarez",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:07:57,FALSE,,"1016911952340226048",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PauliiiTCA",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:02:50,FALSE,,"1016910665653645312",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SassCloe",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 05:00:50,FALSE,,"1016910161238085633",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","wendxr",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 04:59:57,FALSE,,"1016909938092847104",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AndersonCua",197,TRUE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 04:46:28,FALSE,,"1016906546398326784",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TheVillageGod",197,TRUE,FALSE,,
"Cuando haces tu mejor esfuerzo pero no tienes éxito

Cuando obtienes lo que quieres pero no lo que necesitas

Cuand… https://t.co/kQi3CtsBpP",FALSE,0,,2018-07-11 04:43:03,TRUE,,"1016905686473674752",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","LuisGon60919624",0,FALSE,FALSE,,
"So I just found out #Coldplay 'Parachutes' was released in the UK 18 years ago. SERIOUSLY?! Seriously. Went to thei… https://t.co/d6rJhjovtu",FALSE,1,,2018-07-11 04:40:46,TRUE,,"1016905112680304640",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","MichTMedford",0,FALSE,FALSE,,
"RT @debswild: Happy 18th birthday you beautiful thing!! #coldplay https://t.co/KYBkDKM4xE",FALSE,0,,2018-07-11 04:34:38,FALSE,,"1016903569155469313",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","elizabitduncan",197,TRUE,FALSE,,
