"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @realfrance_fr: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0> #Marca : \"Il n'y en aura pas d'autre comme lui\"

#Cristiano, la légende aux 451 buts, s'en va. https://t.co/kskz6B4kK7",FALSE,0,,2018-07-11 08:03:22,FALSE,,"1016956096643203072",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PhinhoJr",687,TRUE,FALSE,,
"RT @FamiliaCule: Uno de los recuerdos mas lindos de #Cristiano seguro se le va a extrañar https://t.co/cA7sHKYZVP",FALSE,0,,2018-07-11 08:03:14,FALSE,,"1016956065395757057",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","yazmin0439",84,TRUE,FALSE,,
"RT @realfrance_fr: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0> #Marca : \"Il n'y en aura pas d'autre comme lui\"

#Cristiano, la légende aux 451 buts, s'en va. https://t.co/kskz6B4kK7",FALSE,0,,2018-07-11 08:03:06,FALSE,,"1016956031551852544",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OliverFeelin",687,TRUE,FALSE,,
"More Cristiano Ronaldo wallpapers are available. You can download all #CR7 wallpapers here:… https://t.co/UhqVnasiYx",FALSE,0,,2018-07-11 08:01:44,TRUE,,"1016955687686103040",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","9techeleven",0,FALSE,FALSE,,
"RT @realfrance_fr: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0> #Marca : \"Il n'y en aura pas d'autre comme lui\"

#Cristiano, la légende aux 451 buts, s'en va. https://t.co/kskz6B4kK7",FALSE,0,,2018-07-11 08:01:38,FALSE,,"1016955662255968256",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CKiniffo",687,TRUE,FALSE,,
"@elchiringuitotv Como ya os dije ayer en #cristiano: \"satisfacción de € G O S\". ¡NI MAS, NI MENOS!",FALSE,0,"elchiringuitotv",2018-07-11 08:01:24,FALSE,"1016821685872480256","1016955604194217985","18905975","<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","maravifa",0,FALSE,FALSE,,
"RT @DinoRadoncic6: Gracias .. <ed><U+00A0><U+00BD><ed><U+00B8><U+009E><U+26AA><U+FE0F> #Cristiano #Leyenda https://t.co/LuQCG1ACke",FALSE,0,,2018-07-11 08:01:21,FALSE,,"1016955590483087360",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Ildevic5",202,TRUE,FALSE,,
"RT @KamyarMD93: at this time when we are filled with hate ,anger ,sadness &amp; huge questions marks this column will calm you down a little bi…",FALSE,0,,2018-07-11 08:00:44,FALSE,,"1016955435411230720",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RawanHaouchar",4,TRUE,FALSE,,
"Se le echará de menos! Adios #Cristiano 7<U+20E3><U+26BD><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B9><U+008B><U+200D><U+2642><U+FE0F> https://t.co/43L05gQ2oz",FALSE,0,,2018-07-11 08:00:37,FALSE,,"1016955405870788609",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TrebolCenter",0,FALSE,FALSE,,
"RT @realfrance_fr: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0> #Marca : \"Il n'y en aura pas d'autre comme lui\"

#Cristiano, la légende aux 451 buts, s'en va. https://t.co/kskz6B4kK7",FALSE,0,,2018-07-11 08:00:12,FALSE,,"1016955298873872384",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","E_Dafullkidz",687,TRUE,FALSE,,
"RT @realfrance_fr: <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0> #Marca : \"Il n'y en aura pas d'autre comme lui\"

#Cristiano, la légende aux 451 buts, s'en va. https://t.co/kskz6B4kK7",FALSE,0,,2018-07-11 07:59:55,FALSE,,"1016955231605805058",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","incredibleMoh",687,TRUE,FALSE,,
"RT @jmuriedas: Desde la llegada de Cristiano:

#Cristiano:
450 goles
119 asistencias
16 títulos 

#Messi:
472 goles
176 asistencias
24 Títu…",FALSE,0,,2018-07-11 07:59:33,FALSE,,"1016955137468878848",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MauMtnez92",3,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:59:23,FALSE,,"1016955095467151361",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MeunierMaxence1",205,TRUE,FALSE,,
"RT @ItsMarco20: @juventusfcen @Cristiano Every Ronaldo Fan right now <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> #Juve #Cristiano #Cr7 #RealMadrid #HalaMadrid https://t.co/ghu2v60L…",FALSE,0,,2018-07-11 07:59:15,FALSE,,"1016955063376359425",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","massjoke",226,TRUE,FALSE,,
"RT @RollingStoneita: Adesso è ufficiale: i bianconeri hanno formalizzato l'acquisto del secolo: @Cristiano . Ecco perché la @juventusfc è l…",FALSE,0,,2018-07-11 07:58:53,FALSE,,"1016954969377923072",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MikeFuriano",129,TRUE,FALSE,,
"https://t.co/g7lzGAZr4j

#Ronaldo #RonaldotoJuventus #ronaldojuve #Ronaldojuventus #Juventus #CR7Juve #Cristiano… https://t.co/jOB5YxFnZd",FALSE,0,,2018-07-11 07:58:40,TRUE,,"1016954914801684480",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","socialsports360",0,FALSE,FALSE,,
"RT @echasoemantri: #Cristiano.

Sukses di Inggris, sukses di Spanyol, kalau sampai sukses juga di Italia, lengkap.

Dan sama seperti yang Z…",FALSE,0,,2018-07-11 07:58:27,FALSE,,"1016954861026357248",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","seaskaxx",19,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:57:47,FALSE,,"1016954694516830208",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jasoncr77",205,TRUE,FALSE,,
"RT @LeleAngeli: La vera storia di #CR7AllaJuventus <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B8><U+0089>

#memecronaca #CR7 #CR7allaJuve #CristianoRonaldo #CristianoRonaldoAllaJuve #Cristia…",FALSE,0,,2018-07-11 07:57:40,FALSE,,"1016954664426917888",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","tackleduro",49,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:57:34,FALSE,,"1016954640213204992",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","papin56026855",205,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:57:13,FALSE,,"1016954548664094720",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","incredibleMoh",205,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:57:11,FALSE,,"1016954542267781121",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LriFadi",205,TRUE,FALSE,,
"Cristiano Ronaldo alla Juve per 100 milioni: è l’affare del secolo - #Cristiano #Ronaldo #milioni:… https://t.co/bUCiOcXEL7",FALSE,0,,2018-07-11 07:57:07,TRUE,,"1016954525008027649",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","zazoomnews",0,FALSE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:56:17,FALSE,,"1016954314047328256",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ShimonErbs",205,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:56:15,FALSE,,"1016954305000198144",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","nawat98",205,TRUE,FALSE,,
"RT @FOXSportsIT: Il brindisi tra #Cristiano Ronaldo, Jorge #Mendes e Andrea #Agnelli dopo l'ufficialità dell'operazione <ed><U+00A0><U+00BE><ed><U+00B5><U+0082>

I dettagli dell'…",FALSE,0,,2018-07-11 07:55:50,FALSE,,"1016954203514818560",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","MatteoFelappi",321,TRUE,FALSE,,
"RT @rakaniro: When dreams come true <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#CR7Juve
#Cristiano https://t.co/RzWNLw89VG",FALSE,0,,2018-07-11 07:55:46,FALSE,,"1016954184082575360",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MS85__",1,TRUE,FALSE,,
"RT @ItsMarco20: @juventusfcen @Cristiano Every Ronaldo Fan right now <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BE><ed><U+00B4><U+00AA> #Juve #Cristiano #Cr7 #RealMadrid #HalaMadrid https://t.co/ghu2v60L…",FALSE,0,,2018-07-11 07:55:40,FALSE,,"1016954161370484736",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iM7mxd1",226,TRUE,FALSE,,
"RT @realfrance_fr: Ce n'est pas un mauvais rêve : #Cristiano Ronaldo n'est plus un joueur du Real Madrid. https://t.co/OkFzQpeJT5",FALSE,0,,2018-07-11 07:55:29,FALSE,,"1016954114494881792",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ctnvcc",205,TRUE,FALSE,,
