"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#BeingSalmanKhan #KAKA #Adele #realmadrid #EmmaWatson #NASA #ConanOBrien #ActuallyNPH #danieltosh #pitbull… https://t.co/acKhkzzDx5",FALSE,0,,2018-07-10 00:46:01,TRUE,,"1016483648231571456",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"#BeingSalmanKhan #KAKA #Adele #realmadrid #EmmaWatson #NASA #ConanOBrien #ActuallyNPH #danieltosh #pitbull… https://t.co/EfQmnFGrlR",FALSE,0,,2018-07-09 22:33:35,TRUE,,"1016450318958198785",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @Hydro2113: #NYC in 18hrs or less...

#DanielTosh 
@danieltosh 
#SkirBallCtr 
#<U+029C><U+028F><U+1D05><U+0280><U+1D0F>2113 
#ThePaulBarNYC
@paulbarnyc https://t.co/vUTxcj…",FALSE,0,,2018-07-08 19:06:50,FALSE,,"1016035899606491136",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Solo_5Star",1,TRUE,FALSE,,
"#NYC in 18hrs or less...

#DanielTosh 
@danieltosh 
#SkirBallCtr 
#<U+029C><U+028F><U+1D05><U+0280><U+1D0F>2113 
#ThePaulBarNYC
@paulbarnyc https://t.co/vUTxcjOl5F",FALSE,2,,2018-07-08 19:02:33,FALSE,,"1016034822068887554",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Hydro2113",1,FALSE,FALSE,,
"Welp <ed><U+00A0><U+00BE><ed><U+00B4><U+00B7><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><U+200D><U+2640><U+FE0F>! Lol, smdh.. #DanielTosh is a foo lol #OperationWhiteWatch oh glory, <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> https://t.co/A2SYf0aW5k",FALSE,0,,2018-07-06 20:52:01,FALSE,,"1015337594798985216",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ShaunaJoi",0,FALSE,FALSE,,
"RT @EntheosShines: MIRACULOUS: Low-Brow Comedian #DanielTosh Just Took On #Pedogate In Epic Way - Exposing Huge YouTube Dark Network  https…",FALSE,0,,2018-07-06 19:38:12,FALSE,,"1015319018813526016",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Lowtechgrannie",410,TRUE,FALSE,,
"RT @EntheosShines: MIRACULOUS: Low-Brow Comedian #DanielTosh Just Took On #Pedogate In Epic Way - Exposing Huge YouTube Dark Network  https…",FALSE,0,,2018-07-06 19:02:54,FALSE,,"1015310133658902528",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","svagdis",410,TRUE,FALSE,,
"RT @EntheosShines: MIRACULOUS: Low-Brow Comedian #DanielTosh Just Took On #Pedogate In Epic Way - Exposing Huge YouTube Dark Network  https…",FALSE,0,,2018-07-06 18:40:22,FALSE,,"1015304464440254464",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","lsmoore2405",410,TRUE,FALSE,,
"RT @EntheosShines: MIRACULOUS: Low-Brow Comedian #DanielTosh Just Took On #Pedogate In Epic Way - Exposing Huge YouTube Dark Network  https…",FALSE,0,,2018-07-06 18:39:58,FALSE,,"1015304364100083712",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Liberty2Cynthia",410,TRUE,FALSE,,
"RT @EntheosShines: MIRACULOUS: Low-Brow Comedian #DanielTosh Just Took On #Pedogate In Epic Way - Exposing Huge YouTube Dark Network  https…",FALSE,0,,2018-07-06 18:38:30,FALSE,,"1015303994372231168",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","EntheosShines",410,TRUE,FALSE,,
