"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @KrockCityDegree: Wait On this one!!!
@tha_bissboi - Memo
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>
.
.
.
.
.

#armadamusic #spinninrecords #owsla #monstercat #maddecent…",FALSE,0,,2018-07-11 08:02:12,FALSE,,"1016955804270948352",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Grandaddychulo",2,TRUE,FALSE,,
"RT @cjd_mika: Reunited<ed><U+00A0><U+00BC><ed><U+00B7><U+00AD><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7><ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089>
<U+307E><U+305F><U+3059><U+3050><U+4F1A><U+3046><U+3051><U+3069><U+5927><U+597D><U+304D><U+306A> #UltraEurope <U+3067><U+518D><U+4F1A><U+3067><U+304D><U+3066><U+3046><U+308C><U+3057><U+3044><ed><U+00A0><U+00BC><ed><U+00BC><U+009F>
#croatia #davidguetta #ultraangels #festivalseason #ultra #split #reunited…",FALSE,0,,2018-07-11 07:49:26,FALSE,,"1016952591631040512",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","cjd0627",19,TRUE,FALSE,,
"RT @hidegara53: David Guetta <U+3055><U+3093><U+306E><U+30D8><U+30A2><U+30B9><U+30BF><U+30A4><U+30EB><U+304C><U+4EE5><U+524D><U+3068><U+5168><U+304F><U+5909><U+308F><U+3063><U+3066><U+3044><U+308B><U+3051><U+3069>
<U+3082><U+3057><U+304B><U+3057><U+3066><U+5897><U+6BDB><U+6CD5><U+3068><U+304B><U+3055><U+308C><U+305F><U+306E><U+3067><U+3057><U+3087><U+3046><U+304B><U+FF1F>

https://t.co/ISrgVfqd4t

#davidguetta #ultramusicfestival #Ultra…",FALSE,0,,2018-07-11 07:46:41,FALSE,,"1016951897654222849",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 07:46:34,FALSE,,"1016951870122790912",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",24,TRUE,FALSE,,
"RT @festivalslife: David Guetta Party &amp; Festival Program’s For July 2018

https://t.co/CsR3ifsKO6

#davidguetta #festival #party #festivals…",FALSE,0,,2018-07-11 07:46:19,FALSE,,"1016951808940564481",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",0,TRUE,FALSE,,
"RT @sos665: David Guetta - Ultra Europe 2018 https://t.co/lUBP9ZUKS8 via @YouTube #UltraEurope2018 #DavidGuetta",FALSE,0,,2018-07-11 07:46:04,FALSE,,"1016951744063066115",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"RT @8_Columnas: #Espectáculos Una fotografía subida al Instagram de #DavidGuetta, acompañado de #JBalvin, titulada “con la familia en el es…",FALSE,0,,2018-07-11 07:45:53,FALSE,,"1016951697510453249",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"RT @MinasTirith_9: #DavidGuetta - #UltraEurope2018 https://t.co/MLSWcSG4yj via @YouTube
&lt;3",FALSE,0,,2018-07-11 07:44:53,FALSE,,"1016951446313594881",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",0,TRUE,FALSE,,
"RT @cbjmultimidiaTV: #DavidGuetta - Ultra #Europe 2018 https://t.co/h10A1nYJ3R",FALSE,0,,2018-07-11 07:44:19,FALSE,,"1016951303451414528",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",3,TRUE,FALSE,,
"RT @laurasinto: #davidguetta #Usher #withoutyou #ushuaia <ed><U+00A0><U+00BD><ed><U+00B9><U+008C> #tune #BIGMonday  #ibiza #holidaytime https://t.co/ZauWgsDl5i",FALSE,0,,2018-07-11 07:44:06,FALSE,,"1016951248245927937",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"RT @unistarby: 5 <U+043B><U+0443><U+0447><U+0448><U+0438><U+0445> <U+0442><U+0440><U+0435><U+043A><U+043E><U+0432> <U+043F><U+0440><U+043E><U+0448><U+043B><U+043E><U+0439> <U+043D><U+0435><U+0434><U+0435><U+043B><U+0438> <U+043F><U+043E> <U+0432><U+0435><U+0440><U+0441><U+0438><U+0438> <U+0445><U+0438><U+0442>-<U+043F><U+0430><U+0440><U+0430><U+0434><U+0430> 
Unistar Top 20 <ed><U+00A0><U+00BC><ed><U+00BF><U+0086>

#DavidGuetta &amp; Sia – Flames
#Arash – #DoosetDaram (fe…",FALSE,0,,2018-07-11 07:41:45,FALSE,,"1016950659860566021",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"RT @Kioea: #Sia #DavidGuetta #2018 https://t.co/EJs93rABuM",FALSE,0,,2018-07-11 07:41:32,FALSE,,"1016950604911046657",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MaguyBoivin",1,TRUE,FALSE,,
"#nowplaying #davidguetta #cedricgervais #chriswillis ~ David Guetta &amp; Cedric Gervais &amp; Chris Willis | Would I Lie To You ||| #bbradio",FALSE,0,,2018-07-11 07:41:09,FALSE,,"1016950506923667457",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"RT @kiyuedmlove: <U+3053><U+306E><U+30B8><U+30EF><U+30B8><U+30EF><U+59CB><U+307E><U+308B><U+306E><U+597D><U+304D>!
#UltraEurope2018  #davidguetta https://t.co/2I2GyYzdnl",FALSE,0,,2018-07-11 07:38:04,FALSE,,"1016949732806184960",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Thando07999817",7,TRUE,FALSE,,
"RT @KrockCityDegree: Wait On this one!!!
@tha_bissboi - Memo
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>
.
.
.
.
.

#armadamusic #spinninrecords #owsla #monstercat #maddecent…",FALSE,0,,2018-07-11 07:25:24,FALSE,,"1016946544791212037",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","tha_bissboi",2,TRUE,FALSE,,
"#Sia #DavidGuetta #2018 https://t.co/EJs93rABuM",FALSE,0,,2018-07-11 06:18:46,FALSE,,"1016929775334641664",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Kioea",1,FALSE,FALSE,,
"RT @Zaza_on_Friday: “2U” David Guetta ft. Justin Bieber 
[Cover by Zaza on Friday]

@davidguetta #davidguetta 
@justinbieber #JustinBieber…",FALSE,0,,2018-07-11 06:09:31,FALSE,,"1016927444639440896",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RAY_P_Z",31,TRUE,FALSE,,
"RT @Zaza_on_Friday: “2U” David Guetta ft. Justin Bieber 
[Cover by Zaza on Friday]

@davidguetta #davidguetta 
@justinbieber #JustinBieber…",FALSE,0,,2018-07-11 06:09:13,FALSE,,"1016927371935473665",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Zaza_on_Friday",31,TRUE,FALSE,,
"RT @kiyuedmlove: <U+3053><U+306E><U+30B8><U+30EF><U+30B8><U+30EF><U+59CB><U+307E><U+308B><U+306E><U+597D><U+304D>!
#UltraEurope2018  #davidguetta https://t.co/2I2GyYzdnl",FALSE,0,,2018-07-11 05:56:46,FALSE,,"1016924237930512384",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","bb___puma",7,TRUE,FALSE,,
"Wait On this one!!!
@tha_bissboi - Memo
<ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0><ed><U+00A0><U+00BD><ed><U+00B2><U+00B0>
.
.
.
.
.

#armadamusic #spinninrecords #owsla #monstercat… https://t.co/0XWvRJMOB9",FALSE,7,,2018-07-11 05:46:12,TRUE,,"1016921577492045824",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","KrockCityDegree",2,FALSE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 05:15:07,FALSE,,"1016913756419309568",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AmuraoVonn",24,TRUE,FALSE,,
"5 <U+043B><U+0443><U+0447><U+0448><U+0438><U+0445> <U+0442><U+0440><U+0435><U+043A><U+043E><U+0432> <U+043F><U+0440><U+043E><U+0448><U+043B><U+043E><U+0439> <U+043D><U+0435><U+0434><U+0435><U+043B><U+0438> <U+043F><U+043E> <U+0432><U+0435><U+0440><U+0441><U+0438><U+0438> <U+0445><U+0438><U+0442>-<U+043F><U+0430><U+0440><U+0430><U+0434><U+0430> 
Unistar Top 20 <ed><U+00A0><U+00BC><ed><U+00BF><U+0086>

#DavidGuetta &amp; Sia – Flames
#Arash –… https://t.co/MmcRoaiLS7",FALSE,1,,2018-07-11 05:00:15,TRUE,,"1016910013028290561",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","unistarby",1,FALSE,FALSE,,
"RT @MikeAdamOnAir: Which song are you most excited about?!! #IggyAzalea's new one, #DinahJane's, #DavidGuetta's team up with #DemiLovato an…",FALSE,0,,2018-07-11 04:53:12,FALSE,,"1016908241312284672",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","dinahpowerbr",683,TRUE,FALSE,,
"#nowplaying #davidguetta #kidcudi ~ David Guetta feat. Kid Cudi | Memories ||| #bbradio",FALSE,1,,2018-07-11 04:49:47,FALSE,,"1016907381966548992",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"RT @kiyuedmlove: <U+3053><U+306E><U+30B8><U+30EF><U+30B8><U+30EF><U+59CB><U+307E><U+308B><U+306E><U+597D><U+304D>!
#UltraEurope2018  #davidguetta https://t.co/2I2GyYzdnl",FALSE,0,,2018-07-11 04:10:01,FALSE,,"1016897373119733762",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","R66764013",7,TRUE,FALSE,,
"RT @WORLDMUSICAWARD: Top <ed><U+00A0><U+00BD><ed><U+00B4><U+009F> Songs on <ed><U+00A0><U+00BC><ed><U+00BC><U+008E> ITunes Today
1<U+20E3>Girls Like You #Maroon5 
2<U+20E3>Solo #CleanBandit 
3<U+20E3>OneKiss #CalvinHarris
4<U+20E3>ILikeIt #Cardi…",FALSE,0,,2018-07-11 03:51:50,FALSE,,"1016892796609888262",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","00OPO",24,TRUE,FALSE,,
"#nowplaying #davidguetta #sia ~ David Guetta &amp; Sia | Flames ||| BB RADIO - In #Berlin #GER auf 107.5",FALSE,0,,2018-07-11 03:46:12,FALSE,,"1016891380860366848",,"<a href=\"http://www.bbradio.de\" rel=\"nofollow\">BB RADIO Music App</a>","_BB_RADIO_MUSIC",0,FALSE,FALSE,"13.1199934","52.381905"
"RT @kiyuedmlove: <U+3053><U+306E><U+30B8><U+30EF><U+30B8><U+30EF><U+59CB><U+307E><U+308B><U+306E><U+597D><U+304D>!
#UltraEurope2018  #davidguetta https://t.co/2I2GyYzdnl",FALSE,0,,2018-07-11 02:50:43,FALSE,,"1016877416352923648",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","makoto5633",7,TRUE,FALSE,,
"RT @TrekterOfficial: MADMIKEY &amp; Trekter - Shots 
Stream it on SoundCloud..
Link in stories on my page 
<ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#producer #pioneerdj #dj  #flstudi…",FALSE,0,,2018-07-11 02:48:02,FALSE,,"1016876741447639046",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","HouseMusicPR",1,TRUE,FALSE,,
"RT @kiyuedmlove: <U+3053><U+306E><U+30B8><U+30EF><U+30B8><U+30EF><U+59CB><U+307E><U+308B><U+306E><U+597D><U+304D>!
#UltraEurope2018  #davidguetta https://t.co/2I2GyYzdnl",FALSE,0,,2018-07-11 02:41:35,FALSE,,"1016875116427218944",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","shinta12252001",7,TRUE,FALSE,,
