"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato…",FALSE,0,,2018-07-11 07:52:36,FALSE,,"1016953389429686272",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Zeynep_SudeBal",4,TRUE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato…",FALSE,0,,2018-07-11 04:37:09,FALSE,,"1016904203275513856",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","DelenaHappy",0,TRUE,FALSE,,
"Happy 4th!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0089><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><U+2764><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> https://t.co/3USICMyNvG #demilovato #ddlovato https://t.co/4O0vx8x5vl",FALSE,0,,2018-07-11 03:57:03,FALSE,,"1016894110626713600",,"<a href=\"http://betrendsetter.com\" rel=\"nofollow\">trend post</a>","betrendsetters",0,FALSE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>Jen

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato #L…",FALSE,0,,2018-07-11 01:44:25,FALSE,,"1016860731638083584",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Sensational_MSP",2,TRUE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>Jen

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato #L…",FALSE,0,,2018-07-11 01:37:22,FALSE,,"1016858955929116672",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Sensational_MSP",3,TRUE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato…",FALSE,0,,2018-07-11 01:35:28,FALSE,,"1016858477501689856",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Sensational_MSP",2,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen… https://t.co/hKAC7hFu1i",FALSE,3,,2018-07-10 23:06:40,TRUE,,"1016821032060104704",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","ddlovatoscreen",0,FALSE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato…",FALSE,0,,2018-07-10 22:38:55,FALSE,,"1016814048153882624",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","DelenaHappy",2,TRUE,FALSE,,
"<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<U+2728>lizzy 

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen… https://t.co/fNIzHOtHiZ",FALSE,4,,2018-07-10 22:37:55,TRUE,,"1016813797783363589",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","ddlovatoscreen",2,FALSE,FALSE,,
"RT @ddlovatoscreen: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B>Lockscreen<ed><U+00A0><U+00BD><ed><U+00B2><U+008B>

<ed><U+00A0><U+00BD><ed><U+00B2><U+0095>Jen

#demilovatolockscreens #ddl #TellMeYouLoveMe #lovatics #lockscreens #tmylm #lockscreen #ddlovato #L…",FALSE,0,,2018-07-10 21:29:20,FALSE,,"1016796539476430849",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JessicaBurden13",3,TRUE,FALSE,,
