"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @katrinasidmalh1: My new edit for my queen katrina how is it guys? 
Like+ comment if u like it n u want to share tag me .
#katrinakaif #…",FALSE,0,,2018-07-11 08:29:14,FALSE,,"1016962605385121792",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AnsariMoIrshad2",4,TRUE,FALSE,,
"RT @MissMalini: When it comes to the airport, #DeepikaPadukone is always killing' it!  https://t.co/bIIwU6LCYy https://t.co/KH8ppimImJ",FALSE,0,,2018-07-11 08:27:33,FALSE,,"1016962183098494976",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PakDeepika",18,TRUE,FALSE,,
"RT @Popdiarieslive: Hello beauty! @deepikapadukone snapped at the airport as she leaves for #Malaysia last night for an ad shoot 

#Deepika…",FALSE,0,,2018-07-11 08:17:50,FALSE,,"1016959739589287937",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","umerfayaz786",13,TRUE,FALSE,,
"RT @IamDeepika01: Who is your favorite actor?
#Retweet <ed><U+00A0><U+00BD><ed><U+00B4><U+0084> #AkshayKumar 
#Like         <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> #AjayDevgan 
#2Point0FromNov29 #2Point0 #Chanakya #A…",FALSE,0,,2018-07-11 08:17:48,FALSE,,"1016959731997396993",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AttriDipesh",8,TRUE,FALSE,,
"RT @utsavrk: 250cr+ club
non khans

#DeepikaPadukone - padmaavat
#RanbirKapoor - Sanju

300 cr club non khans
Only Ranbir Kapoor <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,,2018-07-11 08:16:43,FALSE,,"1016959458973380608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RK_Amraan",39,TRUE,FALSE,,
"RT @katrinaa_team: Who do u think is hotter??? <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#KatrinaKaif #deepikapadukone #katrina #Deepika #AliaBhatt #ShraddhaKapoor #PriyankaCho…",FALSE,0,,2018-07-11 08:14:31,FALSE,,"1016958901982384128",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","HarshitVaid8",2,TRUE,FALSE,,
"RT @instantbolly: #DeepikaPadukone Snapped at Airport https://t.co/T4LMF2Y0sp",FALSE,0,,2018-07-11 08:07:12,FALSE,,"1016957062104805376",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Deepikaasslover",28,TRUE,FALSE,,
"@RanveerOfficial  and @deepikapadukone  alleged love life.
 #DEEPIKAPADUKONE #News #RANVEERSINGH https://t.co/1kGR8T718q",FALSE,1,"RanveerOfficial",2018-07-11 07:51:34,FALSE,,"1016953127575040000","68497896","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","UiTV_Connect",0,FALSE,FALSE,,
"RT @_iDni: <U+0643><U+0644><U+0646><U+0627> <U+062F><U+0642><U+064A><U+0642><U+0629> <U+062A><U+0623><U+0645><U+0644> <U+0628><U+0625><U+0628><U+062F><U+0627><U+0639> <U+0627><U+0644><U+062E><U+0627><U+0644><U+0642> <U+2665><U+FE0F>
#DeepikaPadukone @deepikapadukone https://t.co/HK83Wtqww8",FALSE,0,,2018-07-11 07:47:24,FALSE,,"1016952077568892930",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","MaryamI31813468",2,TRUE,FALSE,,
"RT @utsavrk: 250cr+ club
non khans

#DeepikaPadukone - padmaavat
#RanbirKapoor - Sanju

300 cr club non khans
Only Ranbir Kapoor <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>",FALSE,0,,2018-07-11 07:40:28,FALSE,,"1016950334156038145",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","MohaleSuresh",39,TRUE,FALSE,,
