"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @things_marvel: Did you know? #TonyStark have met @ElonMusk in @Iron_Man 2

#IronMan #IronMan2 #StarkIndusties #SpaceX #<U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07> #<U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19>…",FALSE,0,,2018-07-11 08:37:19,FALSE,,"1016964642994704384",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Artdy87",130,TRUE,FALSE,,
"It’s the #battle of the #billionaires.
#ElonMusk is right to #point out that #MarkZuckerberg is a #tech #moron who… https://t.co/bF2PW2truG",FALSE,0,,2018-07-11 08:36:14,TRUE,,"1016964369853190144",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","2k18Robotics",0,FALSE,FALSE,,
"RT @things_marvel: Did you know? #TonyStark have met @ElonMusk in @Iron_Man 2

#IronMan #IronMan2 #StarkIndusties #SpaceX #<U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07> #<U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19>…",FALSE,0,,2018-07-11 08:35:34,FALSE,,"1016964201363865600",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pream_pu",130,TRUE,FALSE,,
"Tesla Hacked By Former Employee: Why It’s a Good thing! https://t.co/EDrdOZHVfI via @appknox #Tesla #Cybersecurity… https://t.co/I5Y6JUW80O",FALSE,0,,2018-07-11 08:34:52,TRUE,,"1016964023907180549",,"<a href=\"http://www.hubspot.com/\" rel=\"nofollow\">HubSpot</a>","appknox",0,FALSE,FALSE,,
"Why this hatred towards #ElonMusk? He can sit in front of his laptop and \"help\" by just tweeting, or rather do some… https://t.co/lnOudxD2Zs",FALSE,0,,2018-07-11 08:33:40,TRUE,,"1016963723506774016",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Unschackle",0,FALSE,FALSE,,
"RT @ThaiPBS: \"Elon Musk\" <U+0E19><U+0E31><U+0E01><U+0E18><U+0E38><U+0E23><U+0E01><U+0E34><U+0E08><U+0E40><U+0E17><U+0E04><U+0E42><U+0E19><U+0E42><U+0E25><U+0E22><U+0E35><U+0E2D><U+0E27><U+0E01><U+0E32><U+0E28> <U+0E40><U+0E14><U+0E34><U+0E19><U+0E17><U+0E32><U+0E07><U+0E21><U+0E32><U+0E44><U+0E17><U+0E22> <U+0E1E><U+0E23><U+0E49><U+0E2D><U+0E21><U+0E19><U+0E33><U+0E15><U+0E49><U+0E19><U+0E41><U+0E1A><U+0E1A><U+0E02><U+0E2D><U+0E07><U+0E40><U+0E23><U+0E37><U+0E2D><U+0E14><U+0E33><U+0E19><U+0E49><U+0E33><U+0E02><U+0E19><U+0E32><U+0E14><U+0E40><U+0E25><U+0E47><U+0E01> <U+0E21><U+0E32><U+0E17><U+0E35><U+0E48> #<U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07> - <U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19><U+0E32><U+0E07><U+0E19><U+0E2D><U+0E19> <U+0E42><U+0E14><U+0E22><U+0E40><U+0E02><U+0E32><U+0E43><U+0E2B><U+0E49><U+0E0A><U+0E37><U+0E48><U+0E2D>…",FALSE,0,,2018-07-11 08:31:44,FALSE,,"1016963235075915777",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","6yyiw7IsD2FHx6r",1051,TRUE,FALSE,,
"RT @sllopisortega: Ahora que ya hemos sacado a los niños de la cueva de #Thailandia a ver si nos ponemos con los que tiene #Trump metidos e…",FALSE,0,,2018-07-11 08:30:33,FALSE,,"1016962939029467136",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","EvaAnVi",952,TRUE,FALSE,,
"RT @sllopisortega: Ahora que ya hemos sacado a los niños de la cueva de #Thailandia a ver si nos ponemos con los que tiene #Trump metidos e…",FALSE,0,,2018-07-11 08:30:03,FALSE,,"1016962811111661568",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Draconiangenie",952,TRUE,FALSE,,
"RT @sllopisortega: Ahora que ya hemos sacado a los niños de la cueva de #Thailandia a ver si nos ponemos con los que tiene #Trump metidos e…",FALSE,0,,2018-07-11 08:28:48,FALSE,,"1016962499231584256",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","escarlataojara2",952,TRUE,FALSE,,
"RT @AoRizy: #<U+0E1E><U+0E32><U+0E17><U+0E35><U+0E21><U+0E2B><U+0E21><U+0E39><U+0E1B><U+0E48><U+0E32><U+0E01><U+0E25><U+0E31><U+0E1A><U+0E1A><U+0E49><U+0E32><U+0E19> <U+0E15><U+0E32><U+0E21><U+0E19><U+0E35><U+0E49><U+0E19><U+0E30><U+0E1E><U+0E27><U+0E01><U+0E40><U+0E17><U+0E2D> <U+0E14><U+0E23><U+0E32><U+0E21><U+0E48><U+0E32> #ElonMusk <U+0E01><U+0E31><U+0E1A> <U+0E1C><U+0E39><U+0E49><U+0E27><U+0E48><U+0E32> 
<U+0E42><U+0E1B><U+0E23><U+0E14><U+0E43><U+0E0A><U+0E49><U+0E27><U+0E34><U+0E08><U+0E32><U+0E23><U+0E13><U+0E0D><U+0E32><U+0E13><U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E23><U+0E31><U+0E1A><U+0E2A><U+0E32><U+0E23><U+0E14><U+0E49><U+0E27><U+0E22>
#<U+0E16><U+0E4D><U+0E49><U+0E32><U+0E2B><U+0E25><U+0E27><U+0E07> https://t.co/GoIkp7p…",FALSE,0,,2018-07-11 08:28:46,FALSE,,"1016962489286721537",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","S_Wannita",32,TRUE,FALSE,,
