"x"
"1" "rtdid you know tonystark have metin

ironman ironman starkindusties spacex <U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07> <U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19>…"
"2" "it’s the battle of the billionaires
elonmusk is right to point out that markzuckerberg is a tech moron who…"
"3" "rtdid you know tonystark have metin

ironman ironman starkindusties spacex <U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07> <U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19>…"
"4" "tesla hacked by former employee why it’s a good thingviatesla cybersecurity…"
"5" "why this hatred towards elonmusk he can sit in front of his laptop and help by just tweeting or rather do some…"
"6" "rtelon musk <U+0E19><U+0E31><U+0E01><U+0E18><U+0E38><U+0E23><U+0E01><U+0E34><U+0E08><U+0E40><U+0E17><U+0E04><U+0E42><U+0E19><U+0E42><U+0E25><U+0E22><U+0E35><U+0E2D><U+0E27><U+0E01><U+0E32><U+0E28> <U+0E40><U+0E14><U+0E34><U+0E19><U+0E17><U+0E32><U+0E07><U+0E21><U+0E32><U+0E44><U+0E17><U+0E22> <U+0E1E><U+0E23><U+0E49><U+0E2D><U+0E21><U+0E19><U+0E33><U+0E15><U+0E49><U+0E19><U+0E41><U+0E1A><U+0E1A><U+0E02><U+0E2D><U+0E07><U+0E40><U+0E23><U+0E37><U+0E2D><U+0E14><U+0E33><U+0E19><U+0E49><U+0E33><U+0E02><U+0E19><U+0E32><U+0E14><U+0E40><U+0E25><U+0E47><U+0E01> <U+0E21><U+0E32><U+0E17><U+0E35><U+0E48> <U+0E16><U+0E49><U+0E33><U+0E2B><U+0E25><U+0E27><U+0E07><U+0E02><U+0E38><U+0E19><U+0E19><U+0E49><U+0E33><U+0E19><U+0E32><U+0E07><U+0E19><U+0E2D><U+0E19> <U+0E42><U+0E14><U+0E22><U+0E40><U+0E02><U+0E32><U+0E43><U+0E2B><U+0E49><U+0E0A><U+0E37><U+0E48><U+0E2D>…"
"7" "rtahora que ya hemos sacado a los niños de la cueva de thailandia a ver si nos ponemos con los que tiene trump metidos e…"
"8" "rtahora que ya hemos sacado a los niños de la cueva de thailandia a ver si nos ponemos con los que tiene trump metidos e…"
"9" "rtahora que ya hemos sacado a los niños de la cueva de thailandia a ver si nos ponemos con los que tiene trump metidos e…"
"10" "rt<U+0E1E><U+0E32><U+0E17><U+0E35><U+0E21><U+0E2B><U+0E21><U+0E39><U+0E1B><U+0E48><U+0E32><U+0E01><U+0E25><U+0E31><U+0E1A><U+0E1A><U+0E49><U+0E32><U+0E19> <U+0E15><U+0E32><U+0E21><U+0E19><U+0E35><U+0E49><U+0E19><U+0E30><U+0E1E><U+0E27><U+0E01><U+0E40><U+0E17><U+0E2D> <U+0E14><U+0E23><U+0E32><U+0E21><U+0E48><U+0E32> elonmusk <U+0E01><U+0E31><U+0E1A> <U+0E1C><U+0E39><U+0E49><U+0E27><U+0E48><U+0E32> 
