"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#ESPN #Latest To Nix #User #Comments, #Abdicate Its #Responsibility For #Fostering A #Good #Community https://t.co/CP5QixvXvZ",FALSE,0,,2018-07-11 08:11:02,FALSE,,"1016958029000916992",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","evanderburg",0,FALSE,FALSE,,
"https://t.co/iOaGjWKc73 THAT, is the CRAZIEST game I've EVER seen! How does #AlexBregman do IT? WOW! AND Lukroy? Bl… https://t.co/meTzHfJNf5",FALSE,0,,2018-07-11 07:46:00,TRUE,,"1016951726581190656",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","JaymzGutierrez",0,FALSE,FALSE,,
"Ronaldo's transfer changes the landscape of European football 

<U+13E4>I<U+13A0><U+13CB><U+13A7> <U+27A1><U+FE0F> https://t.co/hNUaGLLpvy

#mercato… https://t.co/l1sz4Uu4Q2",FALSE,0,,2018-07-11 07:29:56,TRUE,,"1016947685625081856",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Forza_as_roma10",0,FALSE,FALSE,,
"#bummer this was CBS cuz I'm still mad at ABC hoping #boycott of #ABC would spread like #vd/#std to #disney and… https://t.co/My8QLDmLLo",FALSE,0,,2018-07-11 07:09:51,TRUE,,"1016942628145729536",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ShanBrianZiel",0,FALSE,FALSE,,
"RT @nickschreck: Via ESPN - #ESPN #NFL #FantasyFootball \"Cardinals prez: Speak up, just not on game days\" https://t.co/ap8aC1G1Tt",FALSE,0,,2018-07-11 07:04:40,FALSE,,"1016941325525094400",,"<a href=\"https://twitter.com/USASport24\" rel=\"nofollow\">USAsportFortuBis</a>","USASport24",2,TRUE,FALSE,,
"Via ESPN - #ESPN #NFL #FantasyFootball \"Cardinals prez: Speak up, just not on game days\" https://t.co/ap8aC1G1Tt",FALSE,0,,2018-07-11 07:02:52,FALSE,,"1016940872670367745",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","nickschreck",2,FALSE,FALSE,,
"\"Cardinals prez: Speak up, just not on game days\" https://t.co/hQOlRf6FAV via ESPN #NFL #ESPN #NFLNews",FALSE,0,,2018-07-11 07:01:31,FALSE,,"1016940532856180736",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","LetsTalkFF",1,FALSE,FALSE,,
"RT @_FantasySupreme: If the Fans do not vote for Jean Segura as the last ALLSTAR they have to take this Fan thing away! #MLB #MLB #ESPN #MA…",FALSE,0,,2018-07-11 06:45:39,FALSE,,"1016936538805063681",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_FantasySupreme",1,TRUE,FALSE,,
"If the Fans do not vote for Jean Segura as the last ALLSTAR they have to take this Fan thing away! #MLB #MLB #ESPN #MANFRED",FALSE,2,,2018-07-11 06:44:53,FALSE,,"1016936347695796225",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","_FantasySupreme",1,FALSE,FALSE,,
"#futboltalkradio #talkradio #soccer #futbol #losangeles #palmdale #california #podcast #internettalkradio #worldcup… https://t.co/FULYhUaFkF",FALSE,0,,2018-07-11 06:40:45,TRUE,,"1016935304756940801",,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","OTCrep",0,FALSE,FALSE,,
"Ramona Shelburne tells the story of how LeBron James became a Los Angeles Laker | #ESPN https://t.co/r3Nr60OZRm",FALSE,0,,2018-07-11 06:35:10,FALSE,,"1016933902668222466",,"<a href=\"https://www.google.com/\" rel=\"nofollow\">Google</a>","hplarc",0,FALSE,FALSE,,
"@marcelluswiley @PabloTorre Why you leaving? Who is going to argue with @LZGranderson and @CariChampion. First they… https://t.co/SwhWfmTaBT",FALSE,0,"marcelluswiley",2018-07-11 06:26:06,TRUE,"1016905430570696704","1016931619838439424","20575752","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","nytosdmax",0,FALSE,FALSE,,
"RT @gibranlajud25: Que bien la pase en @Nacion_ESPN gracias por la invitación @pilarperezr @mauriciopedroza y por acompañarme siempre @ingr…",FALSE,0,,2018-07-11 06:24:20,FALSE,,"1016931176039079936",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","KevinBarreto664",3,TRUE,FALSE,,
"Uh oh I’m seeing another bad year ahead for #Football #NationalAthem @NFL @ESPNNFL #BoycottESPN #ESPN <ed><U+00A0><U+00BD><ed><U+00B1><U+008E><ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BD><ed><U+00B9><U+008F> https://t.co/JnQz8M3Yhc",FALSE,0,,2018-07-11 06:15:42,FALSE,,"1016929003540832256",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","1776_fighter",0,FALSE,FALSE,,
"\"#transversemyelitis and #acutedisseminated encephalomyelitis that put her in a coma for two years\"  \"2012… https://t.co/DSMqD7HGEZ",FALSE,0,,2018-07-11 06:09:25,TRUE,,"1016927420425932800",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","2018Before2020",0,FALSE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN ¡Horarios y señales de los cuartos de final! El miércoles empieza con todo: Djokovic vs. Nishikori y Federer…",FALSE,0,,2018-07-11 06:08:19,FALSE,,"1016927143475859457",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","denisbaqueiro",101,TRUE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN ¿El partido del día? Todas las miradas estarán puestas en el cruce entre Juan Martín Del Potro y Rafael Nada…",FALSE,0,,2018-07-11 06:07:33,FALSE,,"1016926952995901440",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","After__Forever",85,TRUE,FALSE,,
"RT @ESPNtenis: @ESPNPLAY No se viene un partido, se viene ¡una batalla! Rafael Nadal vs. Juan Martín Del Potro, este miércoles en VIVO por…",FALSE,0,,2018-07-11 06:07:21,FALSE,,"1016926899870760960",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","After__Forever",21,TRUE,FALSE,,
"Check out @Farbod_E newest article up on @espn man is a legend! #ESPN #WWE 

https://t.co/0D0s055Ovo",FALSE,2,,2018-07-11 05:52:19,FALSE,,"1016923119238299648",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LS3_Sports",0,FALSE,FALSE,,
"how long till No Fans Left ?  People who play games for a living need to get their salaries clipped.  Think last ye… https://t.co/iIV7a4ojY5",FALSE,0,,2018-07-11 05:51:33,TRUE,,"1016922923318247424",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","ShanBrianZiel",0,FALSE,FALSE,,
"RT @ESPNtenis: @ESPNPLAY No se viene un partido, se viene ¡una batalla! Rafael Nadal vs. Juan Martín Del Potro, este miércoles en VIVO por…",FALSE,0,,2018-07-11 05:49:48,FALSE,,"1016922483218436096",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MarcelaErcia",21,TRUE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN ¿El partido del día? Todas las miradas estarán puestas en el cruce entre Juan Martín Del Potro y Rafael Nada…",FALSE,0,,2018-07-11 05:49:13,FALSE,,"1016922336795164672",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MarcelaErcia",85,TRUE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN Novak Djokovic y Kei Nishikori abren la jornada del miércoles en la pantalla de #ESPN y #ESPNPlay. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BE><U+00BE><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5> https…",FALSE,0,,2018-07-11 05:48:40,FALSE,,"1016922199264022529",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","MarcelaErcia",22,TRUE,FALSE,,
"RT @GarciasGrooves: #mannymachado #machado #mlb #baseball #3rdbase #shortstop #bats #Baltimore #orioles #maryland #jersey #LosAngeles #LA #…",FALSE,0,,2018-07-11 05:44:41,FALSE,,"1016921196594651136",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AbigailMaiz",8,TRUE,FALSE,,
"Which MLB team drafted Kyle Long? : 
https://t.co/07JolWAnj7

#history #NFL #MLB #NBA #espn #SOH https://t.co/kjRRPhJRt0",FALSE,0,,2018-07-11 05:43:24,FALSE,,"1016920875176808448",,"<a href=\"http://www.sportofhistory.com/\" rel=\"nofollow\">SPORTofHISTORY.com</a>","SPORTofHISTORY",0,FALSE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN ¿El partido del día? Todas las miradas estarán puestas en el cruce entre Juan Martín Del Potro y Rafael Nada…",FALSE,0,,2018-07-11 05:42:27,FALSE,,"1016920635799465985",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","hugo_rangel",85,TRUE,FALSE,,
"People don’t realize how big of a voice you have...until they hear you.<ed><U+00A0><U+00BE><ed><U+00B4><U+00A8><ed><U+00A0><U+00BC><ed><U+00BE><U+00A4> #sportshost
•
•
•
#tuxedo #redcarpet #nba… https://t.co/17vyeZ1zg4",FALSE,1,,2018-07-11 05:39:10,TRUE,,"1016919807306936320",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","hostdmc",0,FALSE,FALSE,,
"RT @ESPNtenis: #WIMBLEDONxESPN ¿El partido del día? Todas las miradas estarán puestas en el cruce entre Juan Martín Del Potro y Rafael Nada…",FALSE,0,,2018-07-11 05:38:53,FALSE,,"1016919736637108225",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jean_paul_jr",85,TRUE,FALSE,,
