"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Be humble all the time ....!!! @iamsrk #iamsrk #shahrukhkhan #selfmade #success #bollywoodactor #humble #mumbai… https://t.co/remXOx5qhK",FALSE,1,,2018-07-11 01:30:30,TRUE,,"1016857229981437952",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","salmanpsych",0,FALSE,FALSE,,
"Day - 32
Bas Itna Saa Khwab Hai...
.
.
.
#srk #iamsrk #shah_rukh_khan #bollywood #kingkhan #superstar #badshah… https://t.co/TVn9KgvPXJ",FALSE,0,,2018-07-10 18:23:47,TRUE,,"1016749844596129792",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","SRKsAvenger",0,FALSE,FALSE,,
"RT @plannerwrites: @crayzeofshah22y @RedChilliesEnt @SRKPERU @iamsrk @SRKCHENNAIFC @MahaSRK1 @SRKUniverseNP @JoySRKian_ @mandy_brummack @SR…",FALSE,0,,2018-07-10 14:23:42,FALSE,,"1016689424401346560",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","crayzeofshah22y",1,TRUE,FALSE,,
"Irfan Khan (Actor) &amp; Tavrez Hasan(Music Director &amp; Actor) Hey please pray for Irfan Khan he get well soon… https://t.co/2t3JMLmH8a",FALSE,2,,2018-07-10 08:51:33,TRUE,,"1016605835584102401",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","tavrez_hasan",0,FALSE,FALSE,,
"RT @iamAdilAhmed1: @taran_adarsh Ab tension naa lo #zero aa rahi hai matlb #iamsrk aa raha hai mtlb badshah to badshah hi kehlaega<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,0,,2018-07-10 05:06:19,FALSE,,"1016549154405769216",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Mohit31021183",1,TRUE,FALSE,,
"@taran_adarsh Ab tension naa lo #zero aa rahi hai matlb #iamsrk aa raha hai mtlb badshah to badshah hi kehlaega<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>",FALSE,2,"taran_adarsh",2018-07-10 04:00:35,FALSE,"1016234453117464577","1016532612280561664","99642673","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","iamAdilAhmed1",1,FALSE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/DA7PHROaxM",FALSE,0,,2018-07-10 00:45:51,TRUE,,"1016483604539424768",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"RT @vestelshirley: #nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake #BBCBreaking #S…",FALSE,0,,2018-07-09 22:38:28,FALSE,,"1016451549902594049",,"<a href=\"http://IwEbIsodE.com\" rel=\"nofollow\">IwEbIsodE</a>","IwEbIsodE",1,TRUE,FALSE,,
"#nytimes #KingJames #BrunoMars #instagram #narendramodi #CNN #MileyCyrus #NiallOfficial #neymarjr #Drake… https://t.co/vSVl1gl3Vu",FALSE,0,,2018-07-09 22:33:24,TRUE,,"1016450274699988994",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",1,FALSE,FALSE,,
"Day 31 -
Devi maa, meri maa aur...
.
.
#srk #iamsrk #shah_rukh_khan #bollywood #kingkhan #superstar #badshah #kkhh… https://t.co/xeuNGJTF9e",FALSE,0,,2018-07-09 20:22:51,TRUE,,"1016417420448165888",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","SRKsAvenger",0,FALSE,FALSE,,
"@JohnCena Wooowww  john cena retweeted to #iamsrk thank you",FALSE,1,"JohnCena",2018-07-09 09:25:50,FALSE,"1016192243412004864","1016252074265272321","141664648","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SYEDSTAR4",0,FALSE,FALSE,,
"@deepikapadukom @Name52683613 @iamsrk Srk king of Bollywood 
#iamsrk",FALSE,0,"deepikapadukom",2018-07-09 09:24:49,FALSE,"1016247119231848448","1016251818442014720","907860399042658304","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SYEDSTAR4",0,FALSE,FALSE,,
"<U+0C85><U+0C82><U+0CA4><U+0CB0><U+0CCD><U+0C9C><U+0CBE><U+0CB2><U+0CA6><U+0CB2><U+0CCD><U+0CB2><U+0CBF> <U+0CA6><U+0CC2><U+0CB3><U+0CC6><U+0CAC><U+0CCD><U+0CAC><U+0CBF><U+0CB8><U+0CC1><U+0CA4><U+0CCD><U+0CA4><U+0CBF><U+0CA6><U+0CC6> <U+0C95><U+0CBF><U+0C82><U+0C97><U+0CCD><U+200B> <U+0C96><U+0CBE><U+0CA8><U+0CCD><U+200B> <U+0CA6><U+0C82><U+0CAA><U+0CA4><U+0CBF><U+0CAF> <U+0C88> <U+0CB8><U+0CC6><U+0CB2><U+0CCD><U+0CAB><U+0CBF>!
This Selfie of Shah Rukh Khan And Gauri Khan is Breaki… https://t.co/JnEssGHDWV",FALSE,1,,2018-07-09 07:22:16,TRUE,,"1016220980425953280",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","brkg911",0,FALSE,FALSE,,
"RT @SRKsAvenger: Day - 30 UNSEEN SRK. @iamsrk
.
.
...
.... 
#srk #iamsrk #shah_rukh_khan #bollywood #kingkhan #superstar #badshah #kkhh #dd…",FALSE,0,,2018-07-08 18:28:38,FALSE,,"1016026288857886720",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mKR_SRKian",1,TRUE,FALSE,,
"Day - 30 UNSEEN SRK. @iamsrk
.
.
...
.... 
#srk #iamsrk #shah_rukh_khan #bollywood #kingkhan #superstar #badshah… https://t.co/eewTLq146i",FALSE,0,,2018-07-08 18:25:48,TRUE,,"1016025573691252736",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","SRKsAvenger",1,FALSE,FALSE,,
"Kal Ho Naa Ho
#musically #iamsrk #musicallyindia #dazzmuser #muser https://t.co/soctKj1se7",FALSE,0,,2018-07-08 14:20:47,FALSE,,"1015963914272681985",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Dr_Mustafizur",0,FALSE,FALSE,,
"RT @iamambarjalal: In the love of @iamsrk 
A lot of love from Pakistan.
May your movie hit the top of hills.
#iamsrk #srk @srkuniverse #JHM…",FALSE,0,,2018-07-08 10:43:49,FALSE,,"1015909310961016832",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","pickooo",1,TRUE,FALSE,,
"@iamsrk best dialogue
#srk #iamsrk #srkfan #Zingaat #bollywood #sad #intense #acting #Bollywood #BollywoodActress… https://t.co/yusCgbh3pF",FALSE,0,"iamsrk",2018-07-08 10:28:30,TRUE,,"1015905459323088897","101311381","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ashrajvines",0,FALSE,FALSE,,
"@iamsrk @gaurikhan Superb #iamsrk",FALSE,0,"iamsrk",2018-07-08 09:05:14,FALSE,"1015676591223996416","1015884503687073793","101311381","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","SabirAShaikh11",0,FALSE,FALSE,,
"RT @sufiyansrkian: ~<ed><U+00A0><U+00BC><ed><U+00BE><U+0089>The Biggest CelebratiOn<ed><U+00A0><U+00BC><ed><U+00BE><U+0082>  On <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> 2 coMpLete 1 ye<U+2206>R<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>  Of <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> @SRKNanduraCFC  <U+2764> @iamsrk <U+2764>
@SRKCHENNAIFC <U+2764> @sudhirkothari03 <U+2764>…",FALSE,0,,2018-07-07 20:35:37,FALSE,,"1015695858224910336",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","noddy_naved",16,TRUE,FALSE,,
"RT @Varunmyworld: Hii guysss 
@Varun_dvn
#VarunDhawan #VD #Varun #VarunDvn #dishapatani #anushka #shraddha #shahrukh #shraddhakapoor #deepi…",FALSE,0,,2018-07-07 15:57:05,FALSE,,"1015625762248912897",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Jannatvd1",2,TRUE,FALSE,,
"RT @SRKsAvenger: Day - 29
SRK - Still Reading Khan
@iamsrk
.
.
.
.
#srk #iamsrk #shah_rukh_khan #bollywood #kingkhan #superstar #badshah #k…",FALSE,0,,2018-07-07 12:01:24,FALSE,,"1015566450608652290",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Crazzy4SRK",1,TRUE,FALSE,,
