"x"
"1" "be humble all the timeiamsrk shahrukhkhan selfmade success bollywoodactor humble mumbai…"
"2" "day
bas itna saa khwab hai



srk iamsrk shahrukhkhan bollywood kingkhan superstar badshah…"
"3" "rt…"
"4" "irfan khan actor amp tavrez hasanmusic director amp actor hey please pray for irfan khan he get well soon…"
"5" "rtab tension naa lo zero aa rahi hai matlb iamsrk aa raha hai mtlb badshah to badshah hi kehlaega<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>"
"6" "ab tension naa lo zero aa rahi hai matlb iamsrk aa raha hai mtlb badshah to badshah hi kehlaega<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>"
"7" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"8" "rtnytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake bbcbreaking s…"
"9" "nytimes kingjames brunomars instagram narendramodi cnn mileycyrus niallofficial neymarjr drake…"
"10" "day
devi maa meri maa aur


srk iamsrk shahrukhkhan bollywood kingkhan superstar badshah kkhh…"
"11" "wooowwwjohn cena retweeted to iamsrk thank you"
"12" "srk king of bollywood 
iamsrk"
"13" "<U+0C85><U+0C82><U+0CA4><U+0CB0><U+0CCD><U+0C9C><U+0CBE><U+0CB2><U+0CA6><U+0CB2><U+0CCD><U+0CB2><U+0CBF> <U+0CA6><U+0CC2><U+0CB3><U+0CC6><U+0CAC><U+0CCD><U+0CAC><U+0CBF><U+0CB8><U+0CC1><U+0CA4><U+0CCD><U+0CA4><U+0CBF><U+0CA6><U+0CC6> <U+0C95><U+0CBF><U+0C82><U+0C97><U+0CCD><U+200B> <U+0C96><U+0CBE><U+0CA8><U+0CCD><U+200B> <U+0CA6><U+0C82><U+0CAA><U+0CA4><U+0CBF><U+0CAF> <U+0C88> <U+0CB8><U+0CC6><U+0CB2><U+0CCD><U+0CAB><U+0CBF>
this selfie of shah rukh khan and gauri khan is breaki…"
"14" "rtdayunseen srk 



 
srk iamsrk shahrukhkhan bollywood kingkhan superstar badshah kkhh dd…"
"15" "dayunseen srk 



 
srk iamsrk shahrukhkhan bollywood kingkhan superstar badshah…"
"16" "kal ho naa ho
musically iamsrk musicallyindia dazzmuser muser"
"17" "rtin the love of
a lot of love from pakistan
may your movie hit the top of hills
iamsrk srkjhm…"
"18" "best dialogue
srk iamsrk srkfan zingaat bollywood sad intense acting bollywood bollywoodactress…"
"19" "superb iamsrk"
"20" "rt<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E39>the biggest celebration<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E32>on <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E39>completeye<U+2206>r<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>of <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38><U+2764><U+2764>
 <U+2764><U+2764>…"
"21" "rthii guysss 

varundhawan vd varun varundvn dishapatani anushka shraddha shahrukh shraddhakapoor deepi…"
"22" "rtday
srkstill reading khan





srk iamsrk shahrukhkhan bollywood kingkhan superstar badshah k…"
"23" "day
srkstill reading khan





srk iamsrk shahrukhkhan bollywood kingkhan superstar…"
"24" "day
when your eyes speak louder than words



srk iamsrk shahrukhkhan bollywood kingkhan…"
"25" "rtsmilling suhanakhan suhana khans shahrukhkhan iamsrk iamsrkfan gauri gaurikhan gaurikhandesigns abram abram…"
"26" "rtphoto old 
suhanakhan suhana khans shahrukhkhan iamsrk iamsrkfan gauri gaurikhan gaurikhandesigns abram abramk…"
"27" "photo old 
suhanakhan suhana khans shahrukhkhan iamsrk iamsrkfan gauri gaurikhan gaurikhandesigns abram…"
"28" "smilling suhanakhan suhana khans shahrukhkhan iamsrk iamsrkfan gauri gaurikhan gaurikhandesigns abram…"
"29" "sunshinee<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33> suhanakhan suhanakhan suhana khans shahrukhkhan iamsrk iamsrkfan gauri gaurikhan…"
"30" "rtsrkmillionshah rukh khanis not just a star he is our world amp we will always be his fan <U+2764><U+FE0F> heaiest congrat…"
"31" "rtsrkmillionshah rukh khanis not just a star he is our world amp we will always be his fan <U+2764><U+FE0F> heaiest congrat…"
"32" "rtsrkmillionshah rukh khanis not just a star he is our world amp we will always be his fan <U+2764><U+FE0F> heaiest congrat…"
