"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#aamir_khan #deepikapadukone #Eminem #BBCWorld #imVkohli #davidguetta #iHrithik #POTUS #AvrilLavigne #NatGeo… https://t.co/JYE2mzIgL2",FALSE,0,,2018-07-10 00:46:12,TRUE,,"1016483693534343169",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"#aamir_khan #deepikapadukone #Eminem #BBCWorld #imVkohli #davidguetta #iHrithik #POTUS #AvrilLavigne #NatGeo… https://t.co/Gt9DpbUKsB",FALSE,0,,2018-07-09 22:33:46,TRUE,,"1016450365703839744",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"T 2 - Go #India Go #imVkohli on the crease.. #IndiaVsEngland @ImAriesKittu @seelujangra @SrBachchan",FALSE,1,,2018-07-06 17:41:18,FALSE,,"1015289598778527746",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","timasharda",0,FALSE,FALSE,,
"Series WrapUp today itself will be the Best Gift for The Coolest Brain Ever #HappyBirthdayMSDhoni #msdhoni… https://t.co/FuYJVp7253",FALSE,1,,2018-07-06 16:07:38,TRUE,,"1015266027427336192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Ctrl_Insert",0,FALSE,FALSE,,
"@imVkohli hi I am jigar vikhona.....you r very good cricketer my favorite ......just keep on playing like this ....… https://t.co/Ym85SyGqRo",FALSE,0,"imVkohli",2018-07-06 03:22:29,TRUE,,"1015073473553629185","71201743","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","VikhonaJigar",0,FALSE,FALSE,,
"@imVkohli @klrahul11 @hardikpandya7 #KL At 3 in place of #Pujara in England in #Tests Aswell on basis of current fo… https://t.co/TB9bcscWAN",FALSE,0,"imVkohli",2018-07-04 11:30:04,TRUE,"1014421616464465920","1014471399715426304","71201743","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Ctrl_Insert",0,FALSE,FALSE,,
"#aamir_khan #deepikapadukone #Eminem #BBCWorld #imVkohli #davidguetta #iHrithik #POTUS #AvrilLavigne #NatGeo… https://t.co/KZAo38yJmx",FALSE,0,,2018-07-03 21:26:19,TRUE,,"1014259062245150721",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","vestelshirley",0,FALSE,FALSE,,
"Brilliant inning by @klrahul11 ...Nd congrats to #TeamIndia nd over proud captain @imVkohli ...Nd best of luck for… https://t.co/Ip4StoBFwx",FALSE,1,,2018-07-03 20:07:06,TRUE,,"1014239128831971329",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AkshatT60329736",0,FALSE,FALSE,,
"[Article]: Pressure on England, India to play fearless cricket - #imVkohli https://t.co/3svJAiGveZ https://t.co/wk8AqCtNcK",FALSE,1,,2018-07-03 17:01:05,FALSE,,"1014192315689099264",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","TCrS_England",0,FALSE,FALSE,,
"@Virat_Official @imVkohli GO #TeamIndia just conqur in England..we can do it..virat kohli nd men #imVkohli #ViratKohli <ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+0080>",FALSE,0,"Virat_Official",2018-07-03 16:10:41,FALSE,"1014178893383852032","1014179634139803650","821757487","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Vkskbbtspooja96",0,FALSE,FALSE,,
