"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Is Your #Instagram Engagement Going Down? Here’s How to Fix it https://t.co/nR4pof5Ta4 via @B2Community by… https://t.co/2eciBaboVD",FALSE,0,,2018-07-11 08:04:02,TRUE,,"1016956265833082881",,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","keyseosunshine",0,FALSE,FALSE,,
"RT @NemorinCreative: \"Showing behind-the-scenes content from a product shoot or shining the light on your team can help your brand get clos…",FALSE,0,,2018-07-11 08:03:56,FALSE,,"1016956241158049792",,"<a href=\"http://youbrandinc.com/\" rel=\"nofollow\">AmysTweets</a>","NoteworthyWifey",1,TRUE,FALSE,,
"A nice catchup with the oak from China!<ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B3> <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008A>
-
-
-
#cycling #wednesday #lifestyle #bikelife #instagram #winter https://t.co/nyeLVq5iLO",FALSE,0,,2018-07-11 08:03:41,FALSE,,"1016956178574823425",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","DuncanHoole",0,FALSE,FALSE,,
"Thank you for verifying me #instagram! It’s often said, work with honesty, with integrity, with passion, dedication… https://t.co/jIajO9zldY",FALSE,0,,2018-07-11 08:03:31,TRUE,,"1016956134039736320",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ithinksound",0,FALSE,FALSE,,
"Today is “Ask Me a Question” day on #Instagram.",FALSE,0,,2018-07-11 08:03:30,FALSE,,"1016956129669070854",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","jigar_online",0,FALSE,FALSE,,
"RT @ASJBaloch: Her name is Maeade Mahi. Recently she got arrested just because of uploading her #Dancing #videos on her #Instagram. If you…",FALSE,0,,2018-07-11 08:03:28,FALSE,,"1016956121624424448",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","PillsFor",2483,TRUE,FALSE,,
"RT @Picomores: how to enable dark mode ios 11 
#ios11 #<U+0E41><U+0E2D><U+0E1E><U+0E14><U+0E35><U+0E1A><U+0E2D><U+0E01><U+0E15><U+0E48><U+0E2D> #<U+0E2A><U+0E2D><U+0E19><U+0E41><U+0E15><U+0E48><U+0E07><U+0E23><U+0E39><U+0E1B> #Instagram #howtow #<U+0E44><U+0E27><U+0E49><U+0E23><U+0E35><U+0E27><U+0E34><U+0E27><U+0E2B><U+0E49><U+0E32><U+0E21><U+0E02><U+0E32><U+0E22><U+0E02><U+0E2D><U+0E07><U+0E42><U+0E27><U+0E49><U+0E22><U+0E22> https://t.co/31l…",FALSE,0,,2018-07-11 08:03:23,FALSE,,"1016956100090912768",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","GGamezzzz",577,TRUE,FALSE,,
"RT @makeup_mercdes: Posted these two on my Instagram <ed><U+00A0><U+00BC><ed><U+00BD><U+0081><ed><U+00A0><U+00BC><ed><U+00BC><U+0096> #queenmercedesmakeup #Instagram #MakeupAddict https://t.co/sKCodq4JnE",FALSE,0,,2018-07-11 08:03:19,FALSE,,"1016956086933323776",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jozayzay",2,TRUE,FALSE,,
"RT @yeriworld_99: [#INSTAGRAM] 180711 Secret_Unnie IG Update with #Yeri <U+2661>

Really, i love ChaeRi (<U+2661><U+1D17><U+2661>)

@RVsmtown you are my world! <U+2661>
#<U+C608><U+B9AC> #…",FALSE,0,,2018-07-11 08:03:19,FALSE,,"1016956086362882048",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Yerim_30599",6,TRUE,FALSE,,
"RT @sleepingbeautzz: How to take good pictures for Instagram<U+2728>:  a thread 

#Threads #selfie #HowTo #beauty #selfcare #instagram https://t.c…",FALSE,0,,2018-07-11 08:03:16,FALSE,,"1016956073905938433",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AzandeP",10,TRUE,FALSE,,
"From my collection of styles.
De mi colección de estilos.

#art #artgallery #digitalart #draw #photoshop #instagram… https://t.co/Y5nTxYYdkk",FALSE,0,,2018-07-11 08:03:16,TRUE,,"1016956071313846272",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","kaffaart",0,FALSE,FALSE,"2.1681","41.3888"
"RT @osakasaul: #Market locally with #RiteTag #<U+FE0F><U+20E3>: get hashtag suggestions for #Instagram and beyond in 28 languages #<U+FE0F><U+20E3> <ed><U+00A0><U+00BD><ed><U+00B2><U+00B0> https://t.co/YPFp…",FALSE,0,,2018-07-11 08:03:13,FALSE,,"1016956060949794818",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","InstaPromoUK",1,TRUE,FALSE,,
