"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 07:58:33,FALSE,,"1016954883964993536",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Nawtali_Xtina",8,TRUE,FALSE,,
"Blumenthal is a Grotesque Immoral Hypocrite.
In other words, a Democrat.
#WalkAway
#JimmyFallon
#JKCorden… https://t.co/PMhwG6R2ae",FALSE,0,,2018-07-11 07:33:48,TRUE,,"1016948655872327680",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwCOTUS1",0,FALSE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 07:28:42,FALSE,,"1016947372041990145",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","iamprincedb",8,TRUE,FALSE,,
"Social Media Influence Your Market 
https://t.co/qD1UBEKhK0 #wsj #nytimes #reuters #bloomberg #thestreet… https://t.co/4m25HiAc8J",FALSE,0,,2018-07-11 07:27:01,TRUE,,"1016946951118573568",,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","pushitsocially",1,FALSE,FALSE,,
"#WalkAway
#JimmyFallon #FallonTonight
#JKCorden #SethMeyers 
#JimmyKimmel #Colbert
#JakeTapper #ChuckTodd… https://t.co/TbBTuOpFI0",FALSE,0,,2018-07-11 07:11:55,TRUE,,"1016943148105334784",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwCOTUS1",0,FALSE,FALSE,,
"#WalkAway
#JimmyFallon #FallonTonight
#JKCorden #SethMeyers 
#JimmyKimmel #Colbert
#JakeTapper #ChuckTodd… https://t.co/ee2DCXNRrZ",FALSE,0,,2018-07-11 07:11:26,TRUE,,"1016943027967942663",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","NoCOITUSwCOTUS1",0,FALSE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 07:05:38,FALSE,,"1016941567838482432",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","ChrisAnnaoglou",8,TRUE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 07:03:03,FALSE,,"1016940917222264832",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TrishaMiles25",8,TRUE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 06:56:15,FALSE,,"1016939207921524742",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","cwing2222",8,TRUE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 06:51:07,FALSE,,"1016937914666815488",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","noXpiration",8,TRUE,FALSE,,
"RT @legendxdaily: Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album #Liberation…",FALSE,0,,2018-07-11 06:49:02,FALSE,,"1016937389988687873",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","javbriz",8,TRUE,FALSE,,
"Christina Aguilera @xtina is on #JimmyFallon right now!! its a rerun but she's so AMAZING! Buy her new album… https://t.co/F8azjgHXgI",FALSE,20,,2018-07-11 06:37:05,TRUE,,"1016934382429499393",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","legendxdaily",8,FALSE,FALSE,,
"Do you like Jimmy Fallon and his #musical impression.
https://t.co/gIUSsIpCBJ
#jimmyfallon #musicalimpression https://t.co/DeNYij0Ucw",FALSE,0,,2018-07-11 06:34:52,FALSE,,"1016933827489349633",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","robinappsonite",0,FALSE,FALSE,,
"RT @socialstocksnow: Social Media marketing!  https://t.co/oZSlCBt18F  #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes #n…",FALSE,0,,2018-07-11 05:46:44,FALSE,,"1016921714008064000",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AviseAnalytics",1,TRUE,FALSE,,
"RT @socialstocksnow: SSN video
https://t.co/oZSlCBt18F #wsj #nytimes #reuters #bloomberg #thestreet #jimmyfallon #forbes #nasdaq #chicago #…",FALSE,0,,2018-07-11 05:46:39,FALSE,,"1016921693799964672",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AviseAnalytics",1,TRUE,FALSE,,
"RT @socialstocksnow: Strategic Coin announces part one  Chronicles of Ethereum https://t.co/mYnAqWdh1K #wsj #nytimes #reuters #bloomberg #t…",FALSE,0,,2018-07-11 05:46:31,FALSE,,"1016921659679207424",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AviseAnalytics",1,TRUE,FALSE,,
"Never Trust Followers of Marx or Mohammed. Ever
@BernieSanders @Ocasio2018 
@HillaryClinton @SenKamalaHarris… https://t.co/zhZUdKH9oA",FALSE,0,,2018-07-11 05:05:11,TRUE,,"1016911258052853761",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BreakingOverton",0,FALSE,FALSE,,
"RT @dmtentertain: Hire DMT Chicago’s best https://t.co/p8KthsJnkd  #chicago #wgn #fashion #events #entertainment #clubes #parties #bulls #c…",FALSE,0,,2018-07-11 04:55:23,FALSE,,"1016908791798001669",,"<a href=\"https://www.botlibre.com\" rel=\"nofollow\">Bot Libre!</a>","EUHotelDeals",1,TRUE,FALSE,,
