"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @punchchaya: <U+0E27><U+0E32><U+0E08><U+0E32><U+0E28><U+0E31><U+0E01><U+0E14><U+0E34><U+0E4C><U+0E2A><U+0E34><U+0E17><U+0E18><U+0E4C> <U+0E02><U+0E2D><U+0E22><U+0E01><U+0E43><U+0E2B><U+0E49><U+0E40><U+0E18><U+0E2D><U+0E04><U+0E19><U+0E19><U+0E35><U+0E49> Hailey Baldwin <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
#CongratsJustinAndHailey #JustinBieber #HaileyBaldwin https://t.co/IV…",FALSE,0,,2018-07-11 08:04:46,FALSE,,"1016956448780107776",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","pkift1989",1129,TRUE,FALSE,,
"RT @punchchaya: <U+0E27><U+0E32><U+0E08><U+0E32><U+0E28><U+0E31><U+0E01><U+0E14><U+0E34><U+0E4C><U+0E2A><U+0E34><U+0E17><U+0E18><U+0E4C> <U+0E02><U+0E2D><U+0E22><U+0E01><U+0E43><U+0E2B><U+0E49><U+0E40><U+0E18><U+0E2D><U+0E04><U+0E19><U+0E19><U+0E35><U+0E49> Hailey Baldwin <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
#CongratsJustinAndHailey #JustinBieber #HaileyBaldwin https://t.co/IV…",FALSE,0,,2018-07-11 08:04:03,FALSE,,"1016956268521517059",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","rylbloss",1129,TRUE,FALSE,,
"RT @yourbiebernews3: Comments from friends! <U+2764><U+FE0F> #justinbieber #haileybaldwin https://t.co/BjmymcjdRg",FALSE,0,,2018-07-11 08:02:50,FALSE,,"1016955963260141569",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JBwakeup",485,TRUE,FALSE,,
"RT @TVGroove: <U+30B8><U+30E3><U+30B9><U+30C6><U+30A3><U+30F3>·<U+30D3><U+30FC><U+30D0><U+30FC><U+3001><U+30D7><U+30ED><U+30DD><U+30FC><U+30BA><U+3067><U+898B><U+305B><U+305F><U+3010><U+7D33><U+58EB><U+3011><U+3067><U+3010><U+53E4><U+98A8><U+3011><U+306A><U+4E00><U+9762>! <U+30B3><U+30C3><U+30BD><U+30EA><U+4E8B><U+524D><U+306B><U+3057><U+3066><U+3044><U+305F><U+3053><U+3068><U+3063><U+3066><U+FF1F> #JustinBieber #HaileyBaldwin 

<U+2606><U+52E2><U+3044><U+30D7><U+30ED><U+30DD><U+30FC><U+30BA><U+3058><U+3083><U+306A><U+304B><U+3063><U+305F><ed><U+00A0><U+00BD><ed><U+00B8><U+00B3><U+8A73><U+3057><U+304F><U+306F><U+3053><U+3061><U+3089><U+2193><U+2193><U+2193> https://t.co/aJY…",FALSE,0,,2018-07-11 08:02:46,FALSE,,"1016955947405545472",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AustinMahoneJP",2,TRUE,FALSE,,
"RT @punchchaya: <U+0E27><U+0E32><U+0E08><U+0E32><U+0E28><U+0E31><U+0E01><U+0E14><U+0E34><U+0E4C><U+0E2A><U+0E34><U+0E17><U+0E18><U+0E4C> <U+0E02><U+0E2D><U+0E22><U+0E01><U+0E43><U+0E2B><U+0E49><U+0E40><U+0E18><U+0E2D><U+0E04><U+0E19><U+0E19><U+0E35><U+0E49> Hailey Baldwin <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
#CongratsJustinAndHailey #JustinBieber #HaileyBaldwin https://t.co/IV…",FALSE,0,,2018-07-11 08:02:31,FALSE,,"1016955883710894080",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","fffernCL",1129,TRUE,FALSE,,
"RT @punchchaya: <U+0E27><U+0E32><U+0E08><U+0E32><U+0E28><U+0E31><U+0E01><U+0E14><U+0E34><U+0E4C><U+0E2A><U+0E34><U+0E17><U+0E18><U+0E4C> <U+0E02><U+0E2D><U+0E22><U+0E01><U+0E43><U+0E2B><U+0E49><U+0E40><U+0E18><U+0E2D><U+0E04><U+0E19><U+0E19><U+0E35><U+0E49> Hailey Baldwin <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>
#CongratsJustinAndHailey #JustinBieber #HaileyBaldwin https://t.co/IV…",FALSE,0,,2018-07-11 08:01:39,FALSE,,"1016955667314176002",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","PimmyPichamon",1129,TRUE,FALSE,,
"https://t.co/aUUFbOC5dT

#INeedSomebody aumentiamo le views! <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>

#EmmaMuscat #SelenaGomez #ArianaGrande #Beyonce… https://t.co/FFJZrgvjHQ",FALSE,0,,2018-07-11 08:00:54,TRUE,,"1016955475898888192",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","donatellab3",1,FALSE,FALSE,,
"RT @MikeAdamOnAir: Who has seen the most success in 2017 so far!? RT for #ShawnMendes, LIKE for #JustinBieber! https://t.co/BoOTIXC66o",FALSE,0,,2018-07-11 08:00:39,FALSE,,"1016955414410399749",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","mendesxrose",430,TRUE,FALSE,,
"Justin gains an average of 207,788 fans on Facebook a week. #fact #belieber #JustinBieber #music",FALSE,0,,2018-07-11 08:00:03,FALSE,,"1016955261091794944",,"<a href=\"http://fansyouneed.com\" rel=\"nofollow\">JB Fans University App</a>","JBfansyouneed",0,FALSE,FALSE,,
"RT @LiveJahseh: I’m so sad because i thought Jelena was endgame,anyway here’s they’re story in 48 seconds.
#Jelena #JustinBieber #SelenaGom…",FALSE,0,,2018-07-11 07:59:46,FALSE,,"1016955190707044354",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Augsu_B",10,TRUE,FALSE,,
