"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @kyliesnapsongs: True Thompson <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#KhloeKardashian #TristanThompson #TrueThompson https://t.co/7FtzXmte3f",FALSE,0,,2018-07-11 08:04:04,FALSE,,"1016956273667997696",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: Happy Mother's Day <ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A6> #MothersDay

#KylieJenner #KourtneyKardashian #KimKardashian #KhloeKardashian https://t.co/oNm…",FALSE,0,,2018-07-11 08:02:18,FALSE,,"1016955828191014912",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",2,TRUE,FALSE,,
"RT @kyliesnapsongs: Little princess True <ed><U+00A0><U+00BD><ed><U+00B1><U+0097>
Khloé Kardashian via Instagram stories

#KhloeKardashian #TristanThompson #TrueThompson

https:/…",FALSE,0,,2018-07-11 07:52:35,FALSE,,"1016953382072934402",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"#BaeWatch- #TristanThompson &amp; #KhloeKardashian showing us that they are still going strong!
.
#OBHotFlick… https://t.co/TOz0R1bnbW",FALSE,0,,2018-07-11 07:45:37,TRUE,,"1016951631726960640",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","OnoBello",0,FALSE,FALSE,,
"RT @kyliesnapsongs: Daddy's girl <ed><U+00A0><U+00BD><ed><U+00B1><U+00A8><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7>

#TrueThompson #TristanThompson #KhloeKardashian

https://t.co/jPcMt3zXoE https://t.co/85e2NqaAnQ",FALSE,0,,2018-07-11 07:40:19,FALSE,,"1016950296709419008",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",5,TRUE,FALSE,,
"RT @kyliesnapsongs: <ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A9><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7><U+200D><ed><U+00A0><U+00BD><ed><U+00B1><U+00A7>

#KimKardashian #KhloeKardashian #TrueThompson #ChicagoWest https://t.co/JQJ5oh5Hy7",FALSE,0,,2018-07-11 07:39:40,FALSE,,"1016950132896686085",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"RT @kyliesnapsongs: #JCole - Kevin's Heart

#KylieJenner #KhloeKardashian #KendallJenner #KimKardashian

https://t.co/5Cd7PJsUb8 https://t.…",FALSE,0,,2018-07-11 07:39:25,FALSE,,"1016950070418313216",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",2,TRUE,FALSE,,
"RT @kyliesnapsongs: Happy True <ed><U+00A0><U+00BC><ed><U+00BC><U+00BC>

#TrueThompson #KhloeKardashian #TristanThompson

https://t.co/OFrY05qh3U https://t.co/NTSwa2WTwH",FALSE,0,,2018-07-11 07:36:12,FALSE,,"1016949260271669248",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",2,TRUE,FALSE,,
"RT @kyliesnapsongs: Khloé &amp; True <ed><U+00A0><U+00BC><ed><U+00BE><U+0080>

#KhloeKardashian #TrueThompson #TristanThompson https://t.co/p6VBAj4EJm",FALSE,0,,2018-07-11 07:35:54,FALSE,,"1016949184480645120",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LilithaNjamela",1,TRUE,FALSE,,
"KHLOE KARDASHIAN Reveals Nickname for 'True' https://t.co/vHlW9DKNKq #kardashian #khloekardashian #true https://t.co/vl03yzK8i3",FALSE,1,,2018-07-11 06:34:43,FALSE,,"1016933788494917638",,"<a href=\"http://www.ajaymatharu.com/\" rel=\"nofollow\">Tweet Old Post</a>","AaronRFernandes",0,FALSE,FALSE,,
