"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"from the #legendary #magicjohnson #lebronjames #lebron #losangeleslakers #lalakers #kingjames #nbafinals #allstars… https://t.co/XCkHyL2RbD",FALSE,0,,2018-07-11 07:54:49,TRUE,,"1016953947968491520",,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","RichieACool1",0,FALSE,FALSE,,
"RT @lesterbibbs: Welcome to L.A. 
#kingjames #labronjames #LA #lalakers #longliveKing002 https://t.co/J1q9oqvMxC",FALSE,0,,2018-07-11 07:51:42,FALSE,,"1016953162949853185",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","scyzFFnCLKakgrd",49,TRUE,FALSE,,
"RT @fadde: This man @KingJames got some reach.  The suburbs of #LosAngeles #westlakevillage @BlazePizza is showing <U+2764><U+FE0F> to @KingJames and @Bl…",FALSE,0,,2018-07-11 07:21:01,FALSE,,"1016945441655664640",,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","LbjKyrie25",5,TRUE,FALSE,,
"@kingjames working! <ed><U+00A0><U+00BD><ed><U+00B1><U+0091><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>
.
.
#LeBronJames #Lakers #KingJames #Lebron #SportBuka https://t.co/RhG2ZRMDjC",FALSE,0,"KingJames",2018-07-11 07:11:12,FALSE,,"1016942971491618816","23083404","<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","SportBuka",0,FALSE,FALSE,,
"super cute moves for a Big Guy<ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D>#KingJames https://t.co/hM3YSbFDub",FALSE,1,,2018-07-11 06:58:12,FALSE,,"1016939698449629184",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Conch7340Nancy",0,FALSE,FALSE,,
"Can’t give them away <ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> #LakersNation #KingJames #GoLakers #Showtime https://t.co/PfexkI7DJQ",FALSE,0,,2018-07-11 06:21:07,FALSE,,"1016930366790119424",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MarshallMoore75",0,FALSE,FALSE,,
"@jcb6ix this is for youuu! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BE><ed><U+00B4><U+00A3> #CMHtoLAX #KingJames #StaplesCenter #SikeOnBeingALakersFan https://t.co/y1ey7uZ9hx",FALSE,0,"jcb6ix",2018-07-11 05:28:41,FALSE,,"1016917170125615104","2326121484","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","TreenaRenee",0,FALSE,FALSE,,
"Definitivamente es un Portadón.

#KingJames #LakeShow #Lakers @Lakers @SInow @KingJames #LeBronJames https://t.co/6CM0p3g3S2",FALSE,1,,2018-07-11 05:27:14,FALSE,,"1016916805363871744",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","AlvaroMdL6",0,FALSE,FALSE,,
"@MedallinSports @KingJames - Is the current legend. @Lakers #KingJames",FALSE,0,"MedallinSports",2018-07-11 05:23:53,FALSE,"1016914824566067200","1016915964452106241","456563326","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","connectsukrit",0,FALSE,FALSE,,
"RT @All_SportNews: #KingJames <ed><U+00A0><U+00BD><ed><U+00B1><U+0091> 2<U+FE0F><U+20E3>3<U+FE0F><U+20E3> #Lakers https://t.co/EmiOS1pyKs",FALSE,0,,2018-07-11 05:12:15,FALSE,,"1016913034286108672",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jnarbel",6,TRUE,FALSE,,
".#Mike_Bresnahan caught up with #StephensonLance to discuss his thoughts on playing with #KingJames and why he deci… https://t.co/0EkNu6gGLe",FALSE,0,,2018-07-11 04:51:03,TRUE,,"1016907699668176896",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","LakersSocial",0,FALSE,FALSE,,
"Melhor decisão de LeBron James foi ir pro Lakers, se juntar com Kobe Bryant #KingJames https://t.co/rAH14oEMik",FALSE,0,,2018-07-11 04:49:54,FALSE,,"1016907409615392768",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Leozeinn",0,FALSE,FALSE,,
"Can’t believe Lebron teased fans with an appearance and never showed up! Hope these false promises don’t translate… https://t.co/0LkR33bXg5",FALSE,1,,2018-07-11 04:49:11,TRUE,,"1016907229453144064",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Gabby_Gonta",0,FALSE,FALSE,,
"#NBA #Lebron #KingJames @KingJames lebron @LeBronTeam https://t.co/kf5ZEGIxzf",FALSE,0,,2018-07-11 04:46:03,FALSE,,"1016906442547351557",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Mazi_Kobain",0,FALSE,FALSE,,
"Yo this dude is trying to take Lebrons number lol #KingJames https://t.co/Fj8MWpamEO",FALSE,1,,2018-07-11 04:44:18,FALSE,,"1016906000438386688",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","price2j",0,FALSE,FALSE,,
"RT @billbradleyLV: What did @Lakers coach #LukeWalton think when his club signed @KingJames? Our @GManzano24 has the answer for #LakerNatio…",FALSE,0,,2018-07-11 04:31:09,FALSE,,"1016902690025103361",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","GManzano24",1,TRUE,FALSE,,
"@Kingkeraun Live from South Africa... #KingJames",FALSE,0,"Kingkeraun",2018-07-11 04:23:24,FALSE,"1016888240542867456","1016900740042944512","206570333","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Sherweezie",0,FALSE,FALSE,,
"What did @Lakers coach #LukeWalton think when his club signed @KingJames? Our @GManzano24 has the answer for… https://t.co/8snilOxuII",FALSE,1,,2018-07-11 04:22:29,TRUE,,"1016900508848570368",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","billbradleyLV",1,FALSE,FALSE,,
"@ramonashelburne @JeanieBuss @KingJames @Lakers Great article, Ramona! Can’t wait to see what #KingJames does for the #lakers <ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD>",FALSE,0,"ramonashelburne",2018-07-11 04:19:45,FALSE,"1016877055231733760","1016899821997715456","17507250","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","kenan_j1983",0,FALSE,FALSE,,
"Check out the interview of \"El Vacilon de la NBA\" to the NBA LEGEND Isiah Thomas @IsiahThomas where he explains why… https://t.co/EyUPrBU3dm",FALSE,0,,2018-07-11 04:12:08,TRUE,,"1016897906199220224",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","SoloMagma",0,FALSE,FALSE,,
"Scudda season #yeezy500 #yeezyseason #scuddaseason #kingjames #kingscudda #followforfollowback #lafitness… https://t.co/7HHc0lTGvV",FALSE,1,,2018-07-11 04:10:29,TRUE,,"1016897491751579649",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","IKINGSCUDDA",0,FALSE,FALSE,"-73.98531","40.75933"
"RT @All_SportNews: #KingJames <ed><U+00A0><U+00BD><ed><U+00B1><U+0091> 2<U+FE0F><U+20E3>3<U+FE0F><U+20E3> #Lakers https://t.co/EmiOS1pyKs",FALSE,0,,2018-07-11 03:47:19,FALSE,,"1016891658905014273",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","BoySwagg27",6,TRUE,FALSE,,
"TETESI : Baada ya mwamba LeBron James #kingjames kujiunga na Timu ya LA LAKERS kwa mkataba mnono wa miaka minne taa… https://t.co/va714U2Mm0",FALSE,0,,2018-07-11 03:43:23,TRUE,,"1016890669716135936",,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","ShaamePembe",0,FALSE,FALSE,,
"Rob Pelinka &amp; #MagicJohnson explain what #KingJames will bring to the #Lakers on and off the court. Watch the full… https://t.co/pfwe7h28s1",FALSE,0,,2018-07-11 03:25:05,TRUE,,"1016886064881909760",,"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>","LakersSocial",0,FALSE,FALSE,,
