"x"
"1" "from the legendary magicjohnson lebronjames lebron losangeleslakers lalakers kingjames nbafinals allstars…"
"2" "rtwelcome to la 
kingjames labronjames la lalakers longliveking"
"3" "rtthis mangot some reachthe suburbs of losangeles westlakevillageis showing <U+2764><U+FE0F> toand …"
"4" "working <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>


lebronjames lakers kingjames lebron spobuka"
"5" "super cute moves for a big guy<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64>kingjames"
"6" "can’t give them away <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33> lakersnation kingjames golakers showtime"
"7" "this is for youuu <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33> cmhtolax kingjames staplescenter sikeonbeingalakersfan"
"8" "definitivamente es un poadón

kingjames lakeshow lakerslebronjames"
"9" "is the current legendkingjames"
"10" "rtkingjames <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E31> <U+FE0F><U+20E3><U+FE0F><U+20E3> lakers"
"11" "mikebresnahan caught up with stephensonlance to discuss his thoughts on playing with kingjames and why he deci…"
"12" "melhor decisão de lebron james foi ir pro lakers se juntar com kobe bryant kingjames"
"13" "can’t believe lebron teased fans with an appearance and never showed up hope these false promises don’t translate…"
"14" "nba lebron kingjameslebron"
"15" "yo this dude is trying to take lebrons number lol kingjames"
"16" "rtwhat didcoach lukewalton think when his club signedourhas the answer for lakernatio…"
