"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Lavernecox: A little over an hour til I am live co-hosting @theview. Tune in. #TheView #ladygaga #TonyBennett #DWTS http://t.co/eMKnfqw…",FALSE,0,,2018-07-11 07:53:44,FALSE,,"1016953673187057664",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","itsstonybennett",72,TRUE,FALSE,,
"RT @ThePlaylist: 2019 Best Actress Oscars Predictions https://t.co/DrDJ3ogUn9
#SaoirseRonan #ViolaDavis #LadyGaga https://t.co/PJbCLQI1Yz",FALSE,0,,2018-07-11 07:36:32,FALSE,,"1016949344841453568",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","LuxxxSOClAL",64,TRUE,FALSE,,
"True! <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>
Wish it played longer <ed><U+00A0><U+00BD><ed><U+00B8><U+0083>
#IronMan #TonyStark #applause #ladygaga https://t.co/CTXd2xA01P",FALSE,0,,2018-07-11 07:33:43,FALSE,,"1016948636821925888",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","RirizTimeline",0,FALSE,FALSE,,
"RT @ThePlaylist: 2019 Best Actress Oscars Predictions https://t.co/DrDJ3ogUn9
#SaoirseRonan #ViolaDavis #LadyGaga https://t.co/PJbCLQI1Yz",FALSE,0,,2018-07-11 07:33:40,FALSE,,"1016948623379259394",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ichi1054",64,TRUE,FALSE,,
"Million Reasons
<U+8074><U+3044><U+3066><U+305F><U+3089><U+5207><U+306A><U+304F><U+306A><U+3063><U+3066><U+304F><U+308B><U+3002>
<U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3001><U+75C5><U+6C17><U+3067><U+8F9B><U+3044><U+306E><U+306B><U+9B42><U+3067><U+6B4C><U+3063><U+3066><U+308B><U+3002>

#LadyGaga
#MillionReasons",FALSE,0,,2018-07-11 07:25:32,FALSE,,"1016946576827113473",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","nyonco18",0,FALSE,FALSE,,
"<U+3010><U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3011>
<U+7D20><U+6575><U+3060><U+3068><U+601D><U+3063><U+305F><U+3089>RT<U+266A>

#<U+30EC><U+30C7><U+30A3><U+30FC><U+30AC><U+30AC>
#ladygaga 

https://t.co/CBSWe7J3Sp",FALSE,0,,2018-07-11 07:11:02,FALSE,,"1016942928311095296",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","pic_ladygaga",0,FALSE,FALSE,,
"#singing #ladygaga #edgeofglory",FALSE,0,"ellglynn",2018-07-11 07:04:16,FALSE,"1016835462953160704","1016941226132738048","992095346124836864","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","ellglynn",0,FALSE,FALSE,,
"Alguien fan de #ladyGaga que me ayude? Escuché una canción e hice un #Shazam y me salio Lady Gaga “Again Again” y n… https://t.co/685TqcPbXo",FALSE,0,,2018-07-11 06:55:29,TRUE,,"1016939013125570560",,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","BiggieNeta",0,FALSE,FALSE,,
"RT @kat_loves_gaga: PEOPLE: You're Not A Real Little Monster <ed><U+00A0><U+00BD><ed><U+00B1><U+00BE> ME: <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>  #ladygaga #monster4life @ladygaga https://t.co/Y3uFoTIoWd",FALSE,0,,2018-07-11 06:43:11,FALSE,,"1016935918568132608",,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","kat_loves_gaga",17,TRUE,FALSE,,
"RT @Batman24_7: I cannot wait for this movie!!! #AStarIsBorn #LadyGaga #BradleyCooper @ladygaga #love #music #drama 
<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BC><ed><U+00BE><U+009E><ed><U+00A0><U+00BC><ed><U+00BE><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0095><ed><U+00A0><U+00BC><ed><U+00BD><U+00BF><ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC><ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BC><ed><U+00BE><U+00B6><ed><U+00A0><U+00BC><ed><U+00BE><U+00B5><ed><U+00A0><U+00BC><ed><U+00BE><U+00BC> https://…",FALSE,0,,2018-07-11 06:00:01,FALSE,,"1016925055735889920",,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Mobile Web (M2)</a>","TheDickChokers",2,TRUE,FALSE,,
"<U+3010><U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3011>
<U+7D20><U+6575><U+3060><U+3068><U+601D><U+3063><U+305F><U+3089>RT<U+266A>

#<U+30EC><U+30C7><U+30A3><U+30FC><U+30AC><U+30AC>
#ladygaga 

https://t.co/uVCOlSowzv",FALSE,0,,2018-07-11 05:11:02,FALSE,,"1016912727682322438",,"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>","pic_ladygaga",0,FALSE,FALSE,,
"RT @GagaHeart3: Lady Gaga Steps Out in Style While Shopping in New York City - Just Jared https://t.co/EsiFfjgSeE #ladygaga",FALSE,0,,2018-07-11 04:47:25,FALSE,,"1016906785230188545",,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Tsadiah",1,TRUE,FALSE,,
