"x"
"1" "rta little over an hour til i am live cohostingtune in theview ladygaga tonybennett dwts …"
"2" "rtbest actress oscars predictions 
saoirseronan violadavis ladygaga"
"3" "true <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64>
wish it played longer <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E33>
ironman tonystark applause ladygaga"
"4" "rtbest actress oscars predictions 
saoirseronan violadavis ladygaga"
"5" "million reasons
<U+8074><U+3044><U+3066><U+305F><U+3089><U+5207><U+306A><U+304F><U+306A><U+3063><U+3066><U+304F><U+308B><U+3002>
<U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3001><U+75C5><U+6C17><U+3067><U+8F9B><U+3044><U+306E><U+306B><U+9B42><U+3067><U+6B4C><U+3063><U+3066><U+308B><U+3002>

ladygaga
millionreasons"
"6" "<U+3010><U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3011>
<U+7D20><U+6575><U+3060><U+3068><U+601D><U+3063><U+305F><U+3089>rt<U+266A>

<U+30EC><U+30C7><U+30A3><U+30FC><U+30AC><U+30AC>
ladygaga 

"
"7" "singing ladygaga edgeofglory"
"8" "alguien fan de ladygaga que me ayude escuché una canción e hice un shazam y me salio lady gaga “again again” y n…"
"9" "rtpeople youre not a real little monster <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E65> me <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E66>ladygaga monsterlife"
"10" "rti cannot wait for this movie astarisborn ladygaga bradleycooperlove music drama 
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E63> …"
"11" "<U+3010><U+30EC><U+30C7><U+30A3><U+30FC>·<U+30AC><U+30AC><U+3011>
<U+7D20><U+6575><U+3060><U+3068><U+601D><U+3063><U+305F><U+3089>rt<U+266A>

<U+30EC><U+30C7><U+30A3><U+30FC><U+30AC><U+30AC>
ladygaga 

"
"12" "rtlady gaga steps out in style while shopping in new york cityjust jaredladygaga"
"13" "lady gaga steps out in style while shopping in new york cityjust jaredladygaga"
"14" "is lady gaga pregnantladygaga"
"15" "arréglate y actúa normal que viene tu crush <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E30><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>

ladygaga…"
"16" "rti cannot wait for this movie astarisborn ladygaga bradleycooperlove music drama 
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+393C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E63> …"
"17" "jewels n’ drugs is an underappreciated banger 
